ID,Factor,Response,InputFactor,Monotone,Key,Type
1,Date,N,N,0,N,Factor
2,Season,N,N,0,N,Factor
3,Round,N,N,0,N,Factor
4,Venue,N,N,0,N,Factor
5,Player,N,N,0,N,Factor
6,Team,N,N,0,N,Factor
7,Opposition,N,N,0,N,Factor
8,Status,N,N,0,N,Factor
9,Match_id,N,N,0,N,Numeric
10,Contested_possessions,N,Y,0,N,Numeric
11,Uncontested_possessions,N,Y,0,N,Numeric
12,Effective_disposals,N,Y,0,N,Numeric
13,Disposal_efficiency,N,Y,0,N,Numeric
14,Contested_marks,N,Y,0,N,Numeric
15,Goal_assists,N,Y,0,N,Numeric
16,Marks_inside_50,N,Y,0,N,Numeric
17,One_percenters,N,Y,0,N,Numeric
18,Bounces,N,Y,0,N,Numeric
19,Time_on_ground,N,Y,0,N,Numeric
20,Kicks,N,Y,0,N,Numeric
21,Handballs,N,Y,0,N,Numeric
22,Disposals,N,Y,0,N,Numeric
23,Marks,N,Y,0,N,Numeric
24,Goals,N,Y,0,N,Numeric
25,Behinds,N,Y,0,N,Numeric
26,Tackles,N,Y,0,N,Numeric
27,Hitouts,N,Y,0,N,Numeric
28,Inside_50s,N,Y,0,N,Numeric
29,Clearances,N,Y,0,N,Numeric
30,Clangers,N,Y,0,N,Numeric
31,Rebound_50s,N,Y,0,N,Numeric
32,Frees_for,N,Y,0,N,Numeric
33,Frees_against,N,Y,0,N,Numeric
34,AF,N,Y,0,N,Numeric
35,SC,N,Y,0,N,Numeric
36,Centre_clearances,N,Y,0,N,Numeric
37,Stoppage_clearances,N,Y,0,N,Numeric
38,Score_involvements,N,Y,0,N,Numeric
39,Metres_gained,N,Y,0,N,Numeric
40,Turnovers,N,Y,0,N,Numeric
41,Intercepts,N,Y,0,N,Numeric
42,Tackles_inside_50,N,Y,0,N,Numeric
43,Round_type,N,N,0,N,Factor
44,Margin,N,Y,0,N,Numeric
45,Team_behinds,N,Y,0,N,Numeric
46,Team_goals,N,Y,0,N,Numeric
47,Team_points,N,Y,0,N,Numeric
48,Outcome,N,Y,0,N,Factor
49,Num_Votes,Y,N,0,N,Numeric
50,Position,N,Y,0,N,Factor
51,DOB,N,N,0,N,Factor
52,AA_team,N,Y,0,N,Factor
53,AA_squad,N,Y,0,N,Factor
54,AFL_player_top_50_rank,N,Y,-1,N,Numeric
55,AFL_player_top_50_flag,N,Y,0,N,Factor
