"","var","rel.inf"
"Match_AF_rank","Match_AF_rank",20.1634106415364
"Match_SC_rank","Match_SC_rank",15.6830278148974
"Season_SC_rank","Season_SC_rank",13.9982149804144
"Season_G_rank","Season_G_rank",8.077890500534
"Margin","Margin",7.23516358062227
"SC","SC",3.75448451872772
"Match_D_rank","Match_D_rank",2.81710589403072
"AF","AF",2.31459125007415
"Season_D_rank","Season_D_rank",2.20149088057875
"Team_D_rank","Team_D_rank",2.13282387743787
"AFL_player_top_50_rank","AFL_player_top_50_rank",1.42446229899512
"Metres_gained","Metres_gained",1.02105198857279
"Outcome","Outcome",0.926786649450562
"Clearances","Clearances",0.785020881523547
"Hitouts","Hitouts",0.777278614078752
"Prev_season_BR_rank","Prev_season_BR_rank",0.704898928475216
"Prop_goals","Prop_goals",0.656742782234021
"Season_M_rank","Season_M_rank",0.605128885450842
"Score_involvements","Score_involvements",0.570188862032629
"Prev_season_avg_votes_per_seasons_since_2012","Prev_season_avg_votes_per_seasons_since_2012",0.563861307866666
"Match_G_rank","Match_G_rank",0.561366874445082
"Clangers","Clangers",0.545875816380376
"Player_age","Player_age",0.52512393921308
"Team_points","Team_points",0.446651067421395
"Intercepts","Intercepts",0.442799537330811
"Season_H_rank","Season_H_rank",0.428839381893859
"Disposals","Disposals",0.423106507573965
"Season_AF_rank","Season_AF_rank",0.379952094885453
"Effective_disposals","Effective_disposals",0.37678537317548
"Disposal_efficiency","Disposal_efficiency",0.368684819301574
"Season_CP_rank","Season_CP_rank",0.353211368960761
"Centre_clearances","Centre_clearances",0.351709289602025
"Season_UP_rank","Season_UP_rank",0.343102045658517
"Time_on_ground","Time_on_ground",0.33857487060786
"Position","Position",0.333372990546147
"Frees_against","Frees_against",0.297645084496567
"Contested_marks","Contested_marks",0.289106713128209
"Tackles","Tackles",0.270702103006536
"Season_ED_rank","Season_ED_rank",0.268681451178786
"Contested_possessions","Contested_possessions",0.24427210722624
"One_percenters","One_percenters",0.22661523308875
"Stoppage_clearances","Stoppage_clearances",0.216813385330581
"Kicks","Kicks",0.213335562752999
"Inside_50s","Inside_50s",0.212216366383201
"Team_goals","Team_goals",0.210349922356456
"Team_AF_rank","Team_AF_rank",0.206963772745325
"Marks","Marks",0.200015180509523
"Prev_season_top_5_BR_rank","Prev_season_top_5_BR_rank",0.197221558665635
"Team_K_rank","Team_K_rank",0.192846299372513
"Avg_AA_team","Avg_AA_team",0.186293296040908
"Season_K_rank","Season_K_rank",0.174597482160208
"Prev_season_AFL_player_top_50_rank","Prev_season_AFL_player_top_50_rank",0.167775779984845
"Match_CP_rank","Match_CP_rank",0.166189038964668
"Avg_AA_squad","Avg_AA_squad",0.161634300509454
"Team_behinds","Team_behinds",0.160423569955449
"Prev_season_team_BR_rank","Prev_season_team_BR_rank",0.157814888625371
"Team_ED_rank","Team_ED_rank",0.155234944505983
"Marks_inside_50","Marks_inside_50",0.151433788571977
"Turnovers","Turnovers",0.141640652241854
"Team_SC_rank","Team_SC_rank",0.132308423341676
"Goals","Goals",0.132143367217551
"Prev_season_AA_team","Prev_season_AA_team",0.122681984427274
"Uncontested_possessions","Uncontested_possessions",0.120090013518643
"Tackles_inside_50","Tackles_inside_50",0.115281295771405
"Rebound_50s","Rebound_50s",0.110836610134189
"Match_K_rank","Match_K_rank",0.109375177569086
"Handballs","Handballs",0.103392934096447
"Prev_season_top_30_BR_rank","Prev_season_top_30_BR_rank",0.0952727954408457
"Match_M_rank","Match_M_rank",0.0929419226900961
"Prev_season_total_BR_votes","Prev_season_total_BR_votes",0.0839540817689536
"Match_H_rank","Match_H_rank",0.0819025354668889
"Team_H_rank","Team_H_rank",0.0810495761471357
"Prev_season_top_10_BR_rank","Prev_season_top_10_BR_rank",0.0800559739133736
"Prev_season_more_than_5_BR","Prev_season_more_than_5_BR",0.0780649101448296
"Behinds","Behinds",0.0752225928617179
"Prev_season_avg_games_polled","Prev_season_avg_games_polled",0.0740945422193969
"Goal_assists","Goal_assists",0.0727805128098424
"Match_UP_rank","Match_UP_rank",0.072004915259315
"AA_squad","AA_squad",0.0648522050392332
"Frees_for","Frees_for",0.0645794323043167
"Prev_season_AFL_player_top_50_flag","Prev_season_AFL_player_top_50_flag",0.0592924607658628
"Team_CP_rank","Team_CP_rank",0.0572592720751256
"Team_G_rank","Team_G_rank",0.0543882765721038
"Prev_season_top_20_BR_rank","Prev_season_top_20_BR_rank",0.0494662419015823
"AA_team","AA_team",0.0458628999420098
"Match_ED_rank","Match_ED_rank",0.0440823689731243
"Bounces","Bounces",0.0432463423316963
"Prev_season_top_50_BR_rank","Prev_season_top_50_BR_rank",0.0413326468249251
"Team_UP_rank","Team_UP_rank",0.0389134284521591
"Prev_season_more_than_15_BR","Prev_season_more_than_15_BR",0.0222030138321311
"Team_M_rank","Team_M_rank",0.0220598056811729
"Prev_season_AA_squad","Prev_season_AA_squad",0.0165336135269067
"Avg_AFL_top_50","Avg_AFL_top_50",0.0147451227541096
"Prev_season_more_than_10_BR","Prev_season_more_than_10_BR",0.00935790737539196
"AFL_player_top_50_flag","AFL_player_top_50_flag",0.00916979389135411
"Prev_season_more_than_20_BR","Prev_season_more_than_20_BR",0.00659740662577023
