"","season","match_round","player_name","player_team","betfair_votes"
"1",2019,1,"Trent Cotchin","Richmond","2"
"2",2019,1,"Patrick Cripps","Carlton","1.5"
"3",2019,1,"Toby Nankervis","Richmond","1.5"
"4",2019,1,"Nic Newman","Carlton","1"
"5",2019,1,"Tim Kelly","Geelong","2.5"
"6",2019,1,"Patrick Dangerfield","Geelong","1.5"
"7",2019,1,"Adam Treloar","Collingwood","1"
"8",2019,1,"Gary Ablett","Geelong","1"
"9",2019,1,"Tom Rockliff","Port Adelaide","2.5"
"10",2019,1,"Justin Westhoff","Port Adelaide","2"
"11",2019,1,"Travis Boak","Port Adelaide","1"
"12",2019,1,"Christian Salem","Melbourne","0.5"
"13",2019,1,"James Worpel","Hawthorn","3"
"14",2019,1,"James Sicily","Hawthorn","1.5"
"15",2019,1,"Jaeger O'Meara","Hawthorn","1.5"
"16",2019,1,"Marcus Bontempelli","Western Bulldogs","3"
"17",2019,1,"Jack Macrae","Western Bulldogs","1.5"
"18",2019,1,"Tom Liberatore","Western Bulldogs","1"
"19",2019,1,"Aaron Naughton","Western Bulldogs","0.5"
"20",2019,1,"Hugh McCluggage","Brisbane Lions","2"
"21",2019,1,"Lachie Neale","Brisbane Lions","1.5"
"22",2019,1,"Dom Sheed","West Coast","1.5"
"23",2019,1,"Jarrod Berry","Brisbane Lions","1"
"24",2019,1,"Sebastian Ross","St Kilda","2"
"25",2019,1,"Jack Billings","St Kilda","2"
"26",2019,1,"Alex Sexton","Gold Coast","1.5"
"27",2019,1,"Brayden Fiorini","Gold Coast","0.5"
"28",2019,1,"Stephen Coniglio","Greater Western Sydney","3"
"29",2019,1,"Tim Taranto","Greater Western Sydney","2"
"30",2019,1,"Lachie Whitfield","Greater Western Sydney","1"
"31",2019,1,"Nat Fyfe","Fremantle","2.5"
"32",2019,1,"Cam McCarthy","Fremantle","2"
"33",2019,1,"Bradley Hill","Fremantle","1"
"34",2019,1,"Darcy Tucker","Fremantle","0.5"
"35",2019,2,"Adam Treloar","Collingwood","2"
"36",2019,2,"Scott Pendlebury","Collingwood","1"
"37",2019,2,"Jordan deGoey","Collingwood","1"
"38",2019,2,"Jack Crisp","Collingwood","1"
"39",2019,2,"Dayne Beams","Collingwood","1"
"40",2019,2,"Brad Crouch","Adelaide","2"
"41",2019,2,"Rory Sloane","Adelaide","1.5"
"42",2019,2,"Josh P. Kennedy","Sydney","1.5"
"43",2019,2,"Jake Lloyd","Sydney","1"
"44",2019,2,"Jade Gresham","St Kilda","2.5"
"45",2019,2,"Jack Billings","St Kilda","2"
"46",2019,2,"Dylan Shiel","Essendon","1.5"
"47",2019,2,"Tom Rockliff","Port Adelaide","2"
"48",2019,2,"Travis Boak","Port Adelaide","2"
"49",2019,2,"Patrick Cripps","Carlton","1"
"50",2019,2,"Scott Lycett","Port Adelaide","1"
"51",2019,2,"Patrick Dangerfield","Geelong","3"
"52",2019,2,"Clayton Oliver","Melbourne","2"
"53",2019,2,"Tim Kelly","Geelong","0.5"
"54",2019,2,"Tom Stewart","Geelong","0.5"
"55",2019,2,"Luke Shuey","West Coast","2.5"
