season,player_name,player_team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,total_votes,games_played,three_vote_games,two_vote_games,one_vote_games,games_polled
2020,Lachie Neale,Brisbane Lions,0,3,3,3,3,0,0,3,3,1,3,3,0,DNP,0,3,0,3,31,17,10,,1,11
2020,Travis Boak,Port Adelaide,3,2,3,0,0,0,0,0,3,0,2,0,3,0,DNP,2,3,0,21,17,5,3,,8
2020,Christian Petracca,Melbourne,0,3,DNP,0,0,3,2,0,0,0,3,3,0,3,0,0,0,3,20,17,6,1,,7
2020,Jack Steele,St Kilda,0,0,0,0,3,0,3,3,1,3,0,0,2,1,DNP,2,0,2,20,17,4,3,2,9
2020,Patrick Dangerfield,Geelong,0,0,0,0,1,3,0,0,0,0,2,2,1,3,DNP,0,0,3,15,17,3,2,2,7
2020,Dustin Martin,Richmond,2,0,DNP,0,0,0,0,2,3,3,0,0,1,0,0,DNP,1,3,15,16,3,2,2,7
2020,Jack Macrae,Western Bulldogs,0,0,3,0,0,0,2,3,2,0,2,0,1,0,DNP,2,0,0,15,17,2,4,1,7
2020,Luke Parker,Sydney,2,2,0,0,0,0,2,0,0,0,DNP,3,0,1,3,0,2,0,15,17,2,4,1,7
2020,Cameron Guthrie,Geelong,0,0,0,3,0,0,0,3,0,3,0,0,3,1,DNP,1,0,0,14,17,4,,2,6
2020,Clayton Oliver,Melbourne,0,0,DNP,0,1,0,1,2,0,3,2,2,0,0,0,0,3,0,14,17,2,3,2,7
2020,Zach Merrett,Essendon,0,3,DNP,0,DNP,0,0,3,0,2,0,0,2,3,0,0,0,0,13,16,3,2,,5
2020,Scott Pendlebury,Collingwood,0,3,2,2,0,0,0,DNP,DNP,DNP,DNP,0,2,1,0,DNP,3,0,13,13,2,3,1,6
2020,Max Gawn,Melbourne,0,2,DNP,2,2,2,3,0,0,0,DNP,DNP,DNP,0,2,0,0,0,13,14,1,5,,6
