season,match_round,footywire_player,player_team,AF,SC,player_name
2020,1,Dion Prestia,Richmond,89,118,Dion Prestia
2020,1,Dustin Martin,Richmond,90,126,Dustin Martin
2020,1,Trent Cotchin,Richmond,63,94,Trent Cotchin
2020,1,Liam Baker,Richmond,46,91,Liam Baker
2020,1,Shane Edwards,Richmond,52,86,Shane Edwards
2020,1,Josh Caddy,Richmond,67,84,Josh Caddy
2020,1,Jayden Short,Richmond,66,86,Jayden Short
2020,1,David Astbury,Richmond,49,90,David Astbury
2020,1,Kane Lambert,Richmond,59,90,Kane Lambert
2020,1,Marlion Pickett,Richmond,60,94,Marlion Pickett
2020,1,Shai Bolton,Richmond,83,102,Shai Bolton
2020,1,Daniel Rioli,Richmond,69,99,Daniel Rioli
2020,1,Ivan Soldo,Richmond,71,100,Ivan Soldo
2020,1,Sydney Stack,Richmond,26,55,Sydney Stack
2020,1,Tom Lynch,Richmond,22,55,Tom J. Lynch
2020,1,Nathan Broad,Richmond,36,53,Nathan Broad
2020,1,Jason Castagna,Richmond,54,79,Jason Castagna
2020,1,Jack Graham,Richmond,23,40,Jack Graham
2020,1,Dylan Grimes,Richmond,36,50,Dylan Grimes
2020,1,Nick Vlastuin,Richmond,38,78,Nick Vlastuin
2020,1,Toby Nankervis,Richmond,30,27,Toby Nankervis
2020,1,Jack Riewoldt,Richmond,50,74,Jack Riewoldt
2020,1,Patrick Cripps,Carlton,92,112,Patrick Cripps
2020,1,Marc Murphy,Carlton,78,101,Marc Murphy
2020,1,Sam Docherty,Carlton,95,117,Sam Docherty
2020,1,Kade Simpson,Carlton,72,82,Kade Simpson
2020,1,Sam P-Seton,Carlton,59,113,Sam Petrevski-Seton
2020,1,Sam Walsh,Carlton,65,55,Sam Walsh
2020,1,Jack Martin,Carlton,86,107,Jack Martin
2020,1,Zac Fisher,Carlton,54,80,Zac Fisher
2020,1,Edward Curnow,Carlton,52,57,Ed Curnow
2020,1,Levi Casboult,Carlton,82,104,Levi Casboult
2020,1,Nic Newman,Carlton,49,39,Nic Newman
2020,1,Jack Newnes,Carlton,46,67,Jack Newnes
2020,1,Jacob Weitering,Carlton,49,102,Jacob Weitering
2020,1,Liam Jones,Carlton,37,64,Liam Jones
2020,1,David Cuningham,Carlton,50,57,David Cuningham
2020,1,Lachlan Plowman,Carlton,24,36,Lachie Plowman
2020,1,Mitch McGovern,Carlton,45,69,Mitch McGovern
2020,1,Paddy Dow,Carlton,38,27,Paddy Dow
2020,1,Michael Gibbons,Carlton,20,27,Michael Gibbons
2020,1,Jack Silvagni,Carlton,34,56,Jack Silvagni
2020,1,Will Setterfield,Carlton,24,24,Will Setterfield
2020,1,Matthew Kreuzer,Carlton,16,33,Matthew Kreuzer
2020,1,Bailey Smith,Western Bulldogs,95,106,Bailey Smith
2020,1,Jackson Macrae,Western Bulldogs,84,103,Jack Macrae
2020,1,Lachlan Hunter,Western Bulldogs,71,84,Lachie Hunter
2020,1,Caleb Daniel,Western Bulldogs,63,92,Caleb Daniel
2020,1,Josh Dunkley,Western Bulldogs,59,67,Josh Dunkley
2020,1,Hayden Crozier,Western Bulldogs,79,115,Hayden Crozier
2020,1,Bailey Williams,Western Bulldogs,67,77,Bailey Williams
2020,1,Jason Johannisen,Western Bulldogs,55,61,Jason Johannisen
2020,1,Alex Keath,Western Bulldogs,71,79,Alex Keath
2020,1,Marcus Bontempelli,Western Bulldogs,51,76,Marcus Bontempelli
2020,1,Easton Wood,Western Bulldogs,47,60,Easton Wood
2020,1,Mitchell Wallis,Western Bulldogs,40,59,Mitch Wallis
2020,1,Matthew Suckling,Western Bulldogs,55,67,Matthew Suckling
2020,1,Ryan Gardner,Western Bulldogs,49,44,Ryan Gardner
2020,1,Timothy English,Western Bulldogs,56,63,Tim English
2020,1,Zaine Cordy,Western Bulldogs,33,68,Zaine Cordy
2020,1,Sam Lloyd,Western Bulldogs,57,48,Sam Lloyd
2020,1,Josh Bruce,Western Bulldogs,33,40,Josh Bruce
2020,1,Bailey Dale,Western Bulldogs,13,16,Bailey Dale
2020,1,Lewis Young,Western Bulldogs,14,0,Lewis Young
2020,1,Ben Cavarra,Western Bulldogs,23,32,Ben Cavarra
2020,1,Aaron Naughton,Western Bulldogs,6,18,Aaron Naughton
2020,1,Christopher Mayne,Collingwood,94,107,Chris Mayne
2020,1,Steele Sidebottom,Collingwood,107,125,Steele Sidebottom
2020,1,Taylor Adams,Collingwood,105,112,Taylor Adams
2020,1,Scott Pendlebury,Collingwood,90,109,Scott Pendlebury
2020,1,Jeremy Howe,Collingwood,110,156,Jeremy Howe
2020,1,Brodie Grundy,Collingwood,114,179,Brodie Grundy
2020,1,Brayden Maynard,Collingwood,76,104,Brayden Maynard
2020,1,John Noble,Collingwood,67,74,John Noble
2020,1,Will H-Elliott,Collingwood,73,96,Will Hoskin-Elliott
