"","date","match_id","match_round","venue_name","match_home_team","match_home_team_goals","match_home_team_behinds","match_home_team_score","match_away_team","match_away_team_goals","match_away_team_behinds","match_away_team_score"
"1",2021-03-18,15875,1,"MCG","Richmond",15,15,105,"Carlton",11,14,80
"2",2021-03-19,15876,1,"MCG","Collingwood",7,11,53,"Western Bulldogs",10,9,69
"3",2021-03-20,15877,1,"MCG","Melbourne",11,14,80,"Fremantle",8,10,58
"4",2021-03-20,15878,1,"Adelaide Oval","Adelaide",15,13,103,"Geelong",13,13,91
"5",2021-03-20,15879,1,"Marvel Stadium","Essendon",13,13,91,"Hawthorn",14,8,92
"6",2021-03-20,15880,1,"Gabba","Brisbane Lions",14,10,94,"Sydney",19,11,125
"7",2021-03-21,15881,1,"Marvel Stadium","North Melbourne",9,11,65,"Port Adelaide",17,15,117
"8",2021-03-21,15882,1,"GIANTS Stadium","Greater Western Sydney",11,12,78,"St Kilda",13,8,86
"9",2021-03-21,15883,1,"Optus Stadium","West Coast",12,11,83,"Gold Coast",8,10,58
"10",2021-03-25,15884,2,"MCG","Carlton",13,7,85,"Collingwood",16,10,106
"11",2021-03-26,15885,2,"GMHBA Stadium","Geelong",12,9,81,"Brisbane Lions",11,14,80
"12",2021-03-27,15886,2,"SCG","Sydney",18,13,121,"Adelaide",11,22,88
"13",2021-03-27,15887,2,"Adelaide Oval","Port Adelaide",18,11,119,"Essendon",9,11,65
"14",2021-03-27,15888,2,"Marvel Stadium","St Kilda",11,7,73,"Melbourne",12,19,91
"15",2021-03-27,15889,2,"Metricon Stadium","Gold Coast",14,14,98,"North Melbourne",5,9,39
"16",2021-03-28,15890,2,"MCG","Hawthorn",7,7,49,"Richmond",11,12,78
"17",2021-03-28,15891,2,"Marvel Stadium","Western Bulldogs",14,16,100,"West Coast",14,9,93
"18",2021-03-28,15892,2,"Optus Stadium","Fremantle",11,21,87,"Greater Western Sydney",7,14,56
"19",2021-04-01,15893,3,"Marvel Stadium","Collingwood",11,6,72,"Brisbane Lions",11,7,73
"20",2021-04-02,15894,3,"Marvel Stadium","North Melbourne",5,9,39,"Western Bulldogs",25,17,167
"21",2021-04-02,15895,3,"Adelaide Oval","Adelaide",14,11,95,"Gold Coast",12,13,85
"22",2021-04-03,15896,3,"MCG","Richmond",10,12,72,"Sydney",17,15,117
"23",2021-04-03,15897,3,"Marvel Stadium","Essendon",22,11,143,"St Kilda",9,14,68
"24",2021-04-03,15898,3,"Optus Stadium","West Coast",16,12,108,"Port Adelaide",11,5,71
"25",2021-04-04,15899,3,"Marvel Stadium","Carlton",16,13,109,"Fremantle",9,10,64
"26",2021-04-04,15900,3,"UNSW Canberra Oval","Greater Western Sydney",11,2,68,"Melbourne",15,12,102
"27",2021-04-05,15901,3,"MCG","Geelong",10,9,69,"Hawthorn",9,10,64
"28",2021-04-08,15902,4,"SCG","Sydney",11,17,83,"Essendon",12,8,80
"29",2021-04-09,15903,4,"Adelaide Oval","Port Adelaide",11,13,79,"Richmond",11,11,77
"30",2021-04-10,15904,4,"Mars Stadium","Western Bulldogs",10,13,73,"Brisbane Lions",8,6,54
"31",2021-04-10,15905,4,"Marvel Stadium","St Kilda",15,12,102,"West Coast",13,4,82
"32",2021-04-10,15906,4,"Metricon Stadium","Gold Coast",8,11,59,"Carlton",9,16,70
"33",2021-04-10,15907,4,"MCG","Collingwood",9,6,60,"Greater Western Sydney",14,6,90
"34",2021-04-11,15908,4,"Marvel Stadium","North Melbourne",10,8,68,"Adelaide",16,13,109
"35",2021-04-11,15909,4,"MCG","Melbourne",12,13,85,"Geelong",9,6,60
"36",2021-04-11,15910,4,"Optus Stadium","Fremantle",13,18,96,"Hawthorn",12,9,81
"37",2021-04-15,15911,5,"Marvel Stadium","St Kilda",7,6,48,"Richmond",20,14,134
"38",2021-04-16,15912,5,"Optus Stadium","West Coast",16,7,103,"Collingwood",11,10,76
"39",2021-04-17,15913,5,"Marvel Stadium","Western Bulldogs",17,16,118,"Gold Coast",8,8,56
"40",2021-04-17,15914,5,"SCG","Sydney",10,9,69,"Greater Western Sydney",9,17,71
