season,footywire_player,player_team,lookup,player_name
2013,Nathan Van Berlo,Adelaide,2013Nathan Van BerloAdelaide,Nathan van Berlo
2013,Mitchell Grigg,Adelaide,2013Mitchell GriggAdelaide,Mitch Grigg
2013,David MacKay,Adelaide,2013David MacKayAdelaide,David Mackay
2014,Cameron E-Yolmen,Adelaide,2014Cameron E-YolmenAdelaide,Cam Ellis-Yolmen
2014,Mitchell Grigg,Adelaide,2014Mitchell GriggAdelaide,Mitch Grigg
2014,David MacKay,Adelaide,2014David MacKayAdelaide,David Mackay
2015,Nathan Van Berlo,Adelaide,2015Nathan Van BerloAdelaide,Nathan van Berlo
2015,Cameron E-Yolmen,Adelaide,2015Cameron E-YolmenAdelaide,Cam Ellis-Yolmen
2015,Mitchell Grigg,Adelaide,2015Mitchell GriggAdelaide,Mitch Grigg
2015,David MacKay,Adelaide,2015David MacKayAdelaide,David Mackay
2016,Nathan Van Berlo,Adelaide,2016Nathan Van BerloAdelaide,Nathan van Berlo
2016,Cameron E-Yolmen,Adelaide,2016Cameron E-YolmenAdelaide,Cam Ellis-Yolmen
2016,David MacKay,Adelaide,2016David MacKayAdelaide,David Mackay
2016,Reilly O'Brien,Adelaide,2016Reilly O'BrienAdelaide,Reilly OBrien
2017,David MacKay,Adelaide,2017David MacKayAdelaide,David Mackay
2018,Cameron E-Yolmen,Adelaide,2018Cameron E-YolmenAdelaide,Cam Ellis-Yolmen
2018,David MacKay,Adelaide,2018David MacKayAdelaide,David Mackay
2019,Cameron E-Yolmen,Adelaide,2019Cameron E-YolmenAdelaide,Cam Ellis-Yolmen
2019,David MacKay,Adelaide,2019David MacKayAdelaide,David Mackay
2019,Reilly O'Brien,Adelaide,2019Reilly O'BrienAdelaide,Reilly OBrien
2020,David MacKay,Adelaide,2020David MacKayAdelaide,David Mackay
2021,David MacKay,Adelaide,2021David MacKayAdelaide,David Mackay
2013,Mitchell Golby,Brisbane Lions,2013Mitchell GolbyBrisbane Lions,Mitch Golby
2013,Joshua Green,Brisbane Lions,2013Joshua GreenBrisbane Lions,Josh Green
2013,Matthew Maguire,Brisbane Lions,2013Matthew MaguireBrisbane Lions,Matt Maguire
2013,Nial McKeever,Brisbane Lions,2013Nial McKeeverBrisbane Lions,Niall McKeever
2013,Jesse O'Brien,Brisbane Lions,2013Jesse O'BrienBrisbane Lions,Jesse OBrien
2014,Mitchell Golby,Brisbane Lions,2014Mitchell GolbyBrisbane Lions,Mitch Golby
2014,Joshua Green,Brisbane Lions,2014Joshua GreenBrisbane Lions,Josh Green
2014,Matthew Maguire,Brisbane Lions,2014Matthew MaguireBrisbane Lions,Matt Maguire
2014,Zac O'Brien,Brisbane Lions,2014Zac O'BrienBrisbane Lions,Zac OBrien
2014,Nicholas Robertson,Brisbane Lions,2014Nicholas RobertsonBrisbane Lions,Nick Robertson
