player_team,season,player_name
Fremantle,2014,Matthew Pavlich
Fremantle,2014,Luke McPharlin
Collingwood,2014,Luke Ball
Fremantle,2014,Aaron Sandilands
Collingwood,2014,Dane Swan
Collingwood,2014,Nick Maxwell
Fremantle,2014,Michael Johnson
Fremantle,2014,David Mundy
Fremantle,2014,Ryan Crowley
Collingwood,2014,Clinton Young
Fremantle,2014,Danyle Pearce
Collingwood,2014,Heritier Lumumba
Fremantle,2014,Zac Dawson
Fremantle,2014,Paul Duffield
Collingwood,2014,Scott Pendlebury
Collingwood,2014,Tyson Goldsack
Collingwood,2014,Martin Clarke
Collingwood,2014,Nathan Brown
Fremantle,2014,Chris Mayne
Fremantle,2014,Stephen Hill
Collingwood,2014,Dayne Beams
Collingwood,2014,Brent Macaffer
Fremantle,2014,Matt de Boer
Collingwood,2014,Steele Sidebottom
Fremantle,2014,Michael Walters
Fremantle,2014,Hayden Ballantyne
Fremantle,2014,Michael Barlow
Fremantle,2014,Nat Fyfe
Fremantle,2014,Tendai Mzungu
Collingwood,2014,Ben Sinclair
Collingwood,2014,Taylor Adams
Fremantle,2014,Lee Spurr
Collingwood,2014,Jamie Elliott
Fremantle,2014,Cam Sutcliffe
Fremantle,2014,Tommy Sheridan
Collingwood,2014,Jack Frost
Collingwood,2014,Ben Kennedy
Collingwood,2014,Jarrod Witts
Collingwood,2014,Brodie Grundy
Collingwood,2014,Tom Langdon
Sydney,2014,Rhyce Shaw
Greater Western Sydney,2014,Josh Hunt
Sydney,2014,Ted Richards
Sydney,2014,Jarrad McVeigh
Sydney,2014,Nick Malceski
Greater Western Sydney,2014,Heath Shaw
Sydney,2014,Ben McGlynn
Sydney,2014,Heath Grundy
Greater Western Sydney,2014,Dylan Addison
Sydney,2014,Craig Bird
Sydney,2014,Nick Smith
Greater Western Sydney,2014,Shane Mumford
Sydney,2014,Josh P. Kennedy
Greater Western Sydney,2014,Callan Ward
Sydney,2014,Mike Pyke
Sydney,2014,Jeremy Laidler
Sydney,2014,Dan Hannebery
Greater Western Sydney,2014,Tom Scully
