ID,Factor,Response,InputFactor,Key,Type,New_factor,Old_factor,Check,Include
1,date,N,N,N,Factor,0,0,1,N
2,season,N,N,N,Factor,0,0,1,Y
3,match_round,N,N,N,Factor,0,0,1,N
4,venue_name,N,N,N,Factor,0,0,1,N
5,player_name,N,N,N,Factor,0,0,1,N
6,player_team,N,N,N,Factor,0,0,1,N
7,player_opposition,N,N,N,Factor,0,0,1,N
8,status,N,N,N,Factor,0,1,0,N
9,match_id,N,N,N,Numeric,0,0,1,N
10,kicks,N,Y,N,Numeric,0,0,1,N
11,kicks_prop,N,Y,N,Numeric,1,0,1,N
12,marks,N,Y,N,Numeric,0,0,1,N
13,marks_prop,N,Y,N,Numeric,1,0,1,N
14,handballs,N,Y,N,Numeric,0,0,1,N
15,handballs_prop,N,Y,N,Numeric,1,0,1,N
16,disposals,N,Y,N,Numeric,0,0,1,N
17,disposals_prop,N,Y,N,Numeric,1,0,1,N
18,effective_disposals,N,Y,N,Numeric,0,0,1,Y
19,disposal_efficiency_percentage,N,Y,N,Numeric,0,0,1,Y
20,goals,N,Y,N,Numeric,0,0,1,N
21,goals_prop,N,Y,N,Numeric,1,0,1,N
22,behinds,N,Y,N,Numeric,0,0,1,N
23,behinds_prop,N,Y,N,Numeric,1,0,1,N
24,hitouts,N,Y,N,Numeric,0,0,1,N
25,tackles,N,Y,N,Numeric,0,0,1,N
26,tackles_prop,N,Y,N,Numeric,1,0,1,N
27,rebounds,N,Y,N,Numeric,0,0,1,N
28,inside_fifties,N,Y,N,Numeric,0,0,1,N
29,inside_fifties_prop,N,Y,N,Numeric,1,0,1,N
30,clearances,N,Y,N,Numeric,0,0,1,N
31,clearances_prop,N,Y,N,Numeric,1,0,1,N
32,clangers,N,Y,N,Numeric,0,0,1,Y
33,free_kicks_for,N,Y,N,Numeric,0,0,1,Y
34,free_kicks_against,N,Y,N,Numeric,0,0,1,Y
35,brownlow_votes,Y,N,N,Numeric,0,0,1,Y
36,contested_possessions,N,Y,N,Numeric,0,0,1,N
37,contested_possessions_prop,N,Y,N,Numeric,1,0,1,N
38,uncontested_possessions,N,Y,N,Numeric,0,0,1,N
39,uncontested_possessions_prop,N,Y,N,Numeric,1,0,1,N
40,contested_marks,N,Y,N,Numeric,0,0,1,N
41,contested_marks_prop,N,Y,N,Numeric,1,0,1,N
42,marks_inside_fifty,N,Y,N,Numeric,0,0,1,N
43,marks_inside_fifty_prop,N,Y,N,Numeric,1,0,1,N
44,one_percenters,N,Y,N,Numeric,0,0,1,Y
45,bounces,N,Y,N,Numeric,0,0,1,Y
46,goal_assists,N,Y,N,Numeric,0,0,1,N
47,goal_assists_prop,N,Y,N,Numeric,1,0,1,N
48,time_on_ground_percentage,N,Y,N,Numeric,0,0,1,Y
49,afl_fantasy_score,N,Y,N,Numeric,0,0,1,Y
50,supercoach_score,N,Y,N,Numeric,0,0,1,Y
51,centre_clearances,N,Y,N,Numeric,0,0,1,Y
52,stoppage_clearances,N,Y,N,Numeric,0,0,1,Y
53,score_involvements,N,Y,N,Numeric,0,0,1,Y
54,metres_gained,N,Y,N,Numeric,0,0,1,Y
55,turnovers,N,Y,N,Numeric,0,0,1,N
56,turnovers_prop,N,Y,N,Numeric,1,0,1,N
57,intercepts,N,Y,N,Numeric,0,0,1,Y
58,tackles_inside_fifty,N,Y,N,Numeric,0,0,1,Y
59,contest_def_losses,N,Y,N,Numeric,1,0,1,N
60,contest_def_one_on_ones,N,Y,N,Numeric,1,0,1,N
61,contest_off_one_on_ones,N,Y,N,Numeric,1,0,1,N
62,contest_off_wins,N,Y,N,Numeric,1,0,1,N
63,def_half_pressure_acts,N,Y,N,Numeric,1,0,1,Y
64,effective_kicks,N,Y,N,Numeric,1,0,1,Y
65,f50_ground_ball_gets,N,Y,N,Numeric,1,0,1,Y
66,ground_ball_gets,N,Y,N,Numeric,1,0,1,Y
67,hitouts_to_advantage,N,Y,N,Numeric,1,0,1,N
68,hitout_win_percentage,N,Y,N,Numeric,1,0,1,N
69,intercept_marks,N,Y,N,Numeric,1,0,1,Y
70,marks_on_lead,N,Y,N,Numeric,1,0,1,Y
71,pressure_acts,N,Y,N,Numeric,1,0,1,Y
72,rating_points,N,Y,N,Numeric,1,0,1,Y
73,ruck_contests,N,Y,N,Numeric,1,0,1,N
74,score_launches,N,Y,N,Numeric,1,0,1,Y
75,shots_at_goal,N,Y,N,Numeric,1,0,1,N
76,shots_at_goal_prop,N,Y,N,Numeric,1,0,1,N
77,spoils,N,Y,N,Numeric,1,0,1,Y
78,round_type,N,N,N,Factor,0,1,0,Y
79,match_margin,N,Y,N,Numeric,0,0,1,Y
80,team_behinds,N,Y,N,Numeric,0,0,1,Y
81,team_goals,N,Y,N,Numeric,0,0,1,Y
82,team_score,N,Y,N,Numeric,0,0,1,Y
83,match_outcome,N,Y,N,Factor,0,0,1,Y
84,player_position_final,N,Y,N,Factor,0,0,1,Y
85,dob,N,N,N,Factor,0,1,0,N
86,aa_team,N,Y,N,Factor,0,0,1,Y
87,aa_squad,N,Y,N,Factor,0,0,1,Y
88,coaches_votes,N,Y,N,Numeric,1,0,1,Y
89,captain,N,Y,N,Factor,1,0,1,Y
90,num_games,N,Y,N,Numeric,1,0,1,Y
91,prev_season_br_votes,N,Y,N,Numeric,1,0,1,N
92,prev_season_games_polled,N,Y,N,Numeric,1,0,1,N
93,rolling_avg_votes_per_game,N,Y,N,Numeric,1,0,1,N
94,rolling_avg_games_polled,N,Y,N,Numeric,1,0,1,N
95,betfair_votes,N,Y,N,Numeric,1,0,1,N
