"","season","match_round","player_temp","player_team","betfair_votes"
"15",2019,1,"Jaegar O'Meara",NA,"1.5"
"24",2019,1,"Seb Ross",NA,"2"
"42",2019,2,"Josh Kennedy",NA,"1.5"
"62",2019,2,"Jaegar O'Meara",NA,"1.5"
"80",2019,3,"Josh Kennedy",NA,"1"
"98",2019,3,"Jaegar O'Meara",NA,"2.5"
"120",2019,4,"Anthony Mcd-Tipungwuti",NA,"3"
"126",2019,4,"Tom J Lynch",NA,"1"
"137",2019,4,"Touk Miler",NA,"2"
"140",2019,4,"Seb Ross",NA,"2.5"
"254",2019,7,"Cam Ellis-Yolmen",NA,"1"
"276",2019,8,"Darcy Macpherson",NA,"1"
"347",2019,10,"Cam Ellis Yolmen",NA,"0.5"
"352",2019,10,"Cam Guthrie",NA,"0.5"
"410",2019,12,"Edward Curnow",NA,"1.5"
"452",2019,14,"Josh J Kennedy",NA,"0.5"
"454",2019,14,"Zac Jones",NA,"1"
"486",2019,15,"Jaeger O'Maera",NA,"0.5"
"489",2019,15,"Josh Kennedy",NA,"1.5"
"510",2019,15,"Edward Curnow",NA,"1.5"
"561",2019,17,"Anthony Mcd-Tipungwuti",NA,"2.5"
"589",2019,18,"Tom J Lynch",NA,"2"
"593",2019,18,"Edward Curnow",NA,"2.5"
"612",2019,18,"Jaegar O'Meara",NA,"1.5"
"618",2019,18,"Bailey Fritsch",NA,"2"
"624",2019,19,"Tom J Lynch",NA,"2"
"634",2019,19,"Josh J Kennedy",NA,"3"
"638",2019,19,"Seb Ross",NA,"3"
"698",2019,21,"Broody Mihocek",NA,"1"
"701",2019,21,"Darcy Byrne Jones",NA,"1.5"
"737",2019,22,"Jamie Elliot",NA,"2"
"764",2019,23,"Josh Kennedy",NA,"3"
"767",2019,23,"Seb Ross",NA,"0.5"
"783",2019,23,"Jaeger O'Maera",NA,"0.5"
"786",2019,23,"Mack Macrae",NA,"2"
"818",2020,1,"Josh Kennedy",NA,"1"
"874",2020,3,"Jaegar O'Meara",NA,"2"
"883",2020,3,"Josh Kennedy",NA,"2"
"901",2020,3,"Darcy Macpherson",NA,"0.5"
"920",2020,4,"Brad Hill",NA,"0.5"
"924",2020,4,"David Cunningham",NA,"2"
"955",2020,5,"Josh Kennedy (SYD)",NA,"0.5"
"1006",2020,6,"Edward Curnow",NA,"1.5"
"1041",2020,7,"Josh J Kennedy",NA,"2"
"1048",2020,7,"Zac Jones",NA,"0.5"
"1058",2020,8,"Matt Kennedy",NA,"2"
"1061",2020,8,"Edward Curnow",NA,"0.5"
"1074",2020,8,"Josh J Kennedy",NA,"3"
"1081",2020,8,"Cam Guthrie",NA,"2"
"1119",2020,10,"Zac Butters",NA,"2.5"
"1128",2020,10,"Cam Guthrie",NA,"3"
"1184",2020,12,"Cam Guthrie",NA,"1"
"1195",2020,12,"Edward Curnow",NA,"2.5"
"1235",2020,13,"Cam Guthrie",NA,"2"
"1260",2020,14,"Cam Guthrie",NA,"1"
"1275",2020,14,"Jamie Elliot",NA,"1.5"
"1291",2020,15,"Tom J Lynch",NA,"1"
"1295",2020,15,"Josh Kennedy",NA,"1.5"
"1310",2020,16,"Brad Hill",NA,"1.5"
"1344",2020,17,"Cam Guthrie",NA,"1"
"1358",2020,17,"Lachlan Stroll",NA,"3"
"1369",2020,17,"Josh Kennedy",NA,"1"
"1399",2020,18,"Josh KKennedy",NA,"0.5"
"1400",2020,18,"Cam Guthrie",NA,"0.5"
"1426",2021,1,"Jaeger O’Meara",NA,"1"
"1450",2021,2,"Cam Guthrie",NA,"1.5"
"1455",2021,2,"Josh Kennedy",NA,"0.5"
"1456",2021,2,"Zac Butters",NA,"3"
"1466",2021,2,"Lachie Wellar",NA,"1"
"1508",2021,3,"Cam Guthrie",NA,"3"
"1510",2021,3,"Jaeger O’Meara",NA,"1"
"1520",2021,4,"Alir Alir",NA,"1"
"1526",2021,4,"Brad Hill",NA,"1"
"1538",2021,4,"Reilly O’Brien",NA,"1"
"1544",2021,4,"Bailey Fritsch",NA,"0.5"
"1582",2021,5,"Brendan Parfitt",NA,"1.5"
"1591",2021,6,"Cam Guthrie",NA,"2"
"1597",2021,6,"Josh Kennedy",NA,"1"
"1610",2021,6,"Jaeger O’Meara",NA,"2"
"1612",2021,6,"Reilly Thilthorpe",NA,"1"
"1621",2021,7,"Tom J Lynch",NA,"1.5"
"1633",2021,7,"Zac Jones",NA,"2.5"
"1634",2021,7,"Brad Hill",NA,"1.5"
"1643",2021,7,"Cam Guthrie",NA,"1.5"
"1660",2021,8,"Cam Guthrie",NA,"1"
"1664",2021,8,"Zac Jones",NA,"1.5"
"1698",2021,9,"Cam Guthrie",NA,"2"
"1703",2021,9,"Will Hoskin Elliott",NA,"1"
"1746",2021,10,"Cam Guthrie",NA,"1"
"1777",2021,11,"Brendan Parfitt",NA,"2"
