player_name,player_team,actual_votes,predicted_votes,coaches_votes,prediction_sum,votes_accuracy
Patrick Dangerfield,Geelong,27,26,90,25.872162898769602,1
Lachie Neale,Brisbane Lions,26,24,82,24.044241713359952,2
Nat Fyfe,Fremantle,33,23,88,21.83569666929543,10
Patrick Cripps,Carlton,26,22,82,22.74091692059301,4
Dustin Martin,Richmond,23,22,71,18.74724707804853,1
Jack Macrae,Western Bulldogs,22,22,75,21.508988813497126,0
Marcus Bontempelli,Western Bulldogs,22,22,107,23.998125006444752,0
Tim Kelly,Geelong,24,21,86,18.39401845994871,3
Luke Shuey,West Coast,15,21,76,16.10745267290622,-6
Brodie Grundy,Collingwood,23,19,82,17.11971554160118,4
Dayne Zorko,Brisbane Lions,19,18,62,17.4885378414765,1
Adam Treloar,Collingwood,18,18,42,17.254178004339337,0
Travis Boak,Port Adelaide,16,18,67,15.835219902917743,-2
Josh Dunkley,Western Bulldogs,15,18,72,20.320795275620185,-3
Michael Walters,Fremantle,11,17,51,12.65031755225209,-6
Dion Prestia,Richmond,8,17,67,12.491176342009567,-9
Shaun Higgins,North Melbourne,18,16,55,12.897563377337065,2
Elliot Yeo,West Coast,17,16,67,13.83976617641747,1
Max Gawn,Melbourne,17,16,70,15.191838472150266,1
Scott Pendlebury,Collingwood,14,16,68,14.70752358820755,-2
Brad Crouch,Adelaide,14,15,51,13.91721380315721,-1
Jeremy Cameron,Greater Western Sydney,13,15,57,16.115843068342656,-2
Zach Merrett,Essendon,16,13,46,11.57589597068727,3
Jarryd Lyons,Brisbane Lions,13,13,37,10.761880292207934,0
Ricky Henderson,Hawthorn,10,13,45,9.439655394962756,-3
Tim Taranto,Greater Western Sydney,9,13,55,16.988793803728186,-4
Matt Crouch,Adelaide,8,13,43,11.851920857909136,-5
Luke Parker,Sydney,16,12,45,11.144466945552267,4
Andrew Gaff,West Coast,13,12,38,11.97122866846621,1
Josh Kelly,Greater Western Sydney,11,12,43,13.071919525507838,-1
Ben Cunnington,North Melbourne,10,12,71,11.75874281686265,-2
Stephen Coniglio,Greater Western Sydney,17,11,45,11.496331316739088,6
Gary Ablett,Geelong,13,11,49,9.613007413689047,2
Jaeger O'Meara,Hawthorn,11,11,33,11.25706928386353,0
Ben Brown,North Melbourne,8,11,38,10.069150403491221,-3
David Mundy,Fremantle,8,11,31,7.574136276438367,-3
James Sicily,Hawthorn,8,11,49,9.126503782215877,-3
Lachie Whitfield,Greater Western Sydney,12,10,44,10.174795240163803,2
Jack Billings,St Kilda,11,10,36,7.633835792308673,1
Mitch Duncan,Geelong,11,10,43,10.573853600537404,1
James Worpel,Hawthorn,10,10,45,9.97928300849162,0
Jake Lloyd,Sydney,3,10,19,7.094861083780415,-7
Sebastian Ross,St Kilda,12,9,35,7.516446105786599,3
Charlie Cameron,Brisbane Lions,11,9,58,9.664850037544966,2
Robbie Gray,Port Adelaide,10,9,34,7.109419896019972,1
Isaac Heeney,Sydney,6,9,29,6.721055610629264,-3
Marc Murphy,Carlton,6,9,24,7.5044167506857775,-3
Kane Lambert,Richmond,4,9,29,4.97522313988884,-5
Clayton Oliver,Melbourne,12,8,47,11.910925220698118,4
David Swallow,Gold Coast,7,8,33,6.216740516509162,-1
Rory Sloane,Adelaide,7,8,33,8.338032165309414,-1
Jade Gresham,St Kilda,5,8,34,6.428856876096688,-3
Liam Shiels,Hawthorn,5,8,31,7.3361473337281495,-3
Mitch Robinson,Brisbane Lions,5,8,35,8.77995632623788,-3
Brody Mihocek,Collingwood,4,8,29,6.093277602092712,-4
David Zaharakis,Essendon,3,8,26,5.341841587534873,-5
Jacob Hopper,Greater Western Sydney,1,8,38,9.101577795459889,-7
Dylan Shiel,Essendon,14,7,34,6.595299819251522,7
Dom Sheed,West Coast,12,7,23,8.74547034331772,5
Jack Ziebell,North Melbourne,10,7,33,7.026560902362689,3
Josh P. Kennedy,Sydney,9,7,26,7.99590511189308,2
Ollie Wines,Port Adelaide,6,7,25,5.827229843009263,-1
Toby Greene,Greater Western Sydney,6,7,20,5.015653562586522,-1
Touk Miller,Gold Coast,5,7,18,5.009918566793203,-2
Tom McDonald,Melbourne,6,6,16,4.7515130891115405,0
Hugh McCluggage,Brisbane Lions,5,6,36,6.213391307741404,-1
Lachie Hunter,Western Bulldogs,5,6,29,6.733439931849716,-1
Tom Hawkins,Geelong,5,6,31,7.549848082126118,-1
Bradley Hill,Fremantle,4,6,45,6.294396522047464,-2
Dyson Heppell,Essendon,3,6,22,5.819681380176917,-3
Scott Lycett,Port Adelaide,3,6,29,5.5866425327258185,-3
Shannon Hurn,West Coast,3,6,21,5.088305667391978,-3
Anthony McDonald-Tipungwuti,Essendon,8,5,24,5.249580754956696,3
Jack Darling,West Coast,8,5,42,9.079395928652957,3
Aaron Naughton,Western Bulldogs,7,5,24,5.148349566923571,2
Steele Sidebottom,Collingwood,7,5,33,7.243675855221227,2
Eddie Betts,Adelaide,5,5,16,3.7659294655022677,0
Justin Westhoff,Port Adelaide,5,5,20,4.29456717245921,0
Todd Goldstein,North Melbourne,5,5,31,5.9177101527457125,0
Brayden Fiorini,Gold Coast,4,5,18,4.659064781037159,-1
Sam Reid,Sydney,4,5,17,3.3550851362815592,-1
Tom J. Lynch,Richmond,3,5,0,3.788150990731083,-2
Brodie Smith,Adelaide,1,5,26,4.653750469093211,-4
Shane Edwards,Richmond,0,5,45,4.24978180002654,-5
Bachar Houli,Richmond,11,4,34,7.656975308433175,7
Tom Rockliff,Port Adelaide,7,4,13,7.230441325693391,3
Sam Walsh,Carlton,6,4,26,5.080989049834898,2
Chad Wingard,Hawthorn,4,4,14,1.9833021384547465,0
Connor Rozee,Port Adelaide,4,4,22,2.775242044503102,0
James Harmes,Melbourne,4,4,19,4.597696773475036,0
Joel Selwood,Geelong,3,4,14,2.9600492941681296,-1
Nic Newman,Carlton,3,4,12,2.383587730815634,-1
Reilly O'Brien,Adelaide,3,4,26,4.494169723242521,-1
Ed Langdon,Fremantle,2,4,16,3.859948602184886,-2
George Hewett,Sydney,2,4,17,3.7581856186152436,-2
Luke Dunstan,St Kilda,2,4,21,3.3037557777715847,-2
Jy Simpkin,North Melbourne,1,4,21,3.449328558082925,-3
Cameron Zurhaar,North Melbourne,6,3,15,2.793152085010661,3
Sam Gray,Port Adelaide,6,3,19,3.353228710624535,3
Ed Curnow,Carlton,5,3,27,5.308702409820398,2
Jack Gunston,Hawthorn,5,3,12,3.4031013467756566,2
Jamie Elliott,Collingwood,5,3,12,2.5907135662273504,2
Oliver Florent,Sydney,5,3,16,1.5413479338458274,2
Shai Bolton,Richmond,5,3,13,1.9285760995699093,2
Zac Williams,Greater Western Sydney,5,3,31,4.688466071034782,2
Bayley Fritsch,Melbourne,4,3,12,2.501030396349961,1
Ben McEvoy,Hawthorn,4,3,23,3.226485125196632,1
Josh Bruce,St Kilda,4,3,21,2.84427185045206,1
Nick Vlastuin,Richmond,4,3,24,3.2304338841931894,1
Caleb Daniel,Western Bulldogs,3,3,30,3.811167440668214,0
Dan Houston,Port Adelaide,3,3,21,3.1250234584731515,0
Dylan Grimes,Richmond,3,3,27,2.780787870287895,0
Jack Lonie,St Kilda,3,3,15,1.8273475148016587,0
Josh J. Kennedy,West Coast,3,3,0,3.440595071821008,0
Taylor Walker,Adelaide,3,3,13,2.2816740797425155,0
Bailey Dale,Western Bulldogs,2,3,11,2.629552556958515,-1
Darcy Byrne-Jones,Port Adelaide,2,3,26,2.678776679269504,-1
Rory Laird,Adelaide,2,3,20,6.056503924890421,-1
Tim Membrey,St Kilda,2,3,22,2.8594613736349856,-1
Trent Dumont,North Melbourne,2,3,8,2.3399420712376013,-1
Harry McKay,Carlton,1,3,14,3.028211665674462,-2
Jarrod Witts,Gold Coast,1,3,11,5.484496433666209,-2
Orazio Fantasia,Essendon,1,3,13,2.1378244891238865,-2
Rory Atkins,Adelaide,1,3,10,2.28054897749098,-2
Angus Brayshaw,Melbourne,0,3,3,1.0567021301831119,-3
Brandon Ellis,Richmond,0,3,13,2.422513361554593,-3
Chris Mayne,Collingwood,0,3,6,2.172121320851147,-3
Levi Casboult,Carlton,0,3,17,2.3216794879408553,-3
Liam Jones,Carlton,0,3,16,2.467011072556488,-3
Sydney Stack,Richmond,0,3,11,1.496354942326434,-3
Tom Lynch,Adelaide,0,3,14,3.1402007477881853,-3
Tom Phillips,Collingwood,0,3,15,4.003636487701442,-3
Eric Hipwood,Brisbane Lions,6,2,11,2.5411304794688476,4
Jared Polec,North Melbourne,5,2,15,3.299915925192181,3
Luke Ryan,Fremantle,5,2,17,2.045920404343633,3
Tom Papley,Sydney,4,2,30,4.288086296670372,2
Jack Steven,St Kilda,3,2,8,0.8564787768409587,1
Michael Hurley,Essendon,3,2,23,1.4127738208917435,1
Cam McCarthy,Fremantle,2,2,5,0.8290888291812735,0
Darcy Parish,Essendon,2,2,7,0.5747373541526031,0
Harris Andrews,Brisbane Lions,2,2,32,1.7738599153235555,0
Jake Stringer,Essendon,2,2,20,2.647744136134861,0
Jarryd Roughead,Hawthorn,2,2,9,1.8720317216357216,0
Kade Simpson,Carlton,2,2,8,1.0654813993605785,0
Lincoln McCarthy,Brisbane Lions,2,2,12,1.8603253869951004,0
Luke Breust,Hawthorn,2,2,16,1.7103385507361963,0
Mitch Wallis,Western Bulldogs,2,2,10,1.9427313738269731,0
Harry Himmelberg,Greater Western Sydney,1,2,10,2.2885432676703203,-1
Jack Crisp,Collingwood,1,2,24,4.968459589057602,-1
Jack Petruccelle,West Coast,1,2,2,1.445374901901232,-1
Jaidyn Stephenson,Collingwood,1,2,11,1.715496580407489,-1
Jarman Impey,Hawthorn,1,2,15,1.1557462397613563,-1
Karl Amon,Port Adelaide,1,2,2,0.4460242195054889,-1
Alex Sexton,Gold Coast,0,2,11,1.5275475886883214,-2
Bryce Gibbs,Adelaide,0,2,0,1.458398140850477,-2
Gryan Miers,Geelong,0,2,8,1.0876566861843457,-2
Jed Anderson,North Melbourne,0,2,9,0.7679503744584508,-2
Jeremy McGovern,West Coast,0,2,18,1.7014401201158762,-2
Nathan Jones,Melbourne,0,2,14,1.9813310797908343,-2
Patrick Lipinski,Western Bulldogs,0,2,9,2.748792985221371,-2
Rowan Marshall,St Kilda,7,1,25,4.451950163813308,6
Alex Keath,Adelaide,6,1,16,1.6021414051647298,5
Charlie Curnow,Carlton,3,1,7,2.20040782057913,2
Lance Franklin,Sydney,3,1,10,2.583913104608655,2
Matthew Kreuzer,Carlton,3,1,11,0.8978477302880492,2
Phil Davis,Greater Western Sydney,3,1,9,0.7318553072691429,2
Tom Stewart,Geelong,3,1,29,3.1701360325096175,2
Jason Castagna,Richmond,2,1,7,0.9914859526907094,1
Sam Petrevski-Seton,Carlton,2,1,9,1.5241459730896167,1
Andrew Brayshaw,Fremantle,1,1,2,0.34931416259496473,0
Brad Sheppard,West Coast,1,1,20,1.6307250884419773,0
Brayden Maynard,Collingwood,1,1,5,1.3738516042067204,0
Dan Hannebery,St Kilda,1,1,8,1.0671044196933508,0
Jack Graham,Richmond,1,1,8,1.5734098504472058,0
Jamie Cripps,West Coast,1,1,17,0.9982091806014068,0
Jordan Dawson,Sydney,1,1,18,1.488642080919817,0
Mitch Brown,Essendon,1,1,10,2.616584675881313,0
Rory Lobb,Fremantle,1,1,6,1.2527074110403191,0
Toby Nankervis,Richmond,1,1,9,0.7381892644916661,0
Andrew McGrath,Essendon,0,1,7,0.7579920620046323,-1
Brandon Matera,Fremantle,0,1,0,1.3920548713213066,-1
Conor McKenna,Essendon,0,1,16,1.7018460340914316,-1
Dane Rampe,Sydney,0,1,23,1.3119628794956952,-1
Daniel Howe,Hawthorn,0,1,4,0.2615835868055001,-1
Darcy Tucker,Fremantle,0,1,3,0.7884424996445887,-1
Dean Kent,St Kilda,0,1,8,0.5838115601800382,-1
Dougal Howard,Port Adelaide,0,1,7,0.39490988227771595,-1
Jack Bowes,Gold Coast,0,1,5,0.3010978715319652,-1
James Cousins,Hawthorn,0,1,3,0.38591648748843,-1
Jamie Macmillan,North Melbourne,0,1,0,0.9233185596822295,-1
Jimmy Webster,St Kilda,0,1,5,0.30450399094843306,-1
Lewis Taylor,Brisbane Lions,0,1,5,0.6947057056240737,-1
Nathan Wilson,Fremantle,0,1,11,1.527852108963998,-1
Noah Balta,Richmond,0,1,0,0.6101692111114971,-1
Paul Seedsman,Adelaide,0,1,4,1.0645468314178288,-1
Peter Ladhams,Port Adelaide,0,1,3,0.36095998191740364,-1
Quinton Narkle,Geelong,0,1,11,2.236611444503069,-1
Taylor Duryea,Western Bulldogs,0,1,7,1.2651046857208712,-1
Tom Hickey,West Coast,0,1,4,1.535421530570602,-1
Tom Liberatore,Western Bulldogs,0,1,7,1.2719021378143225,-1
Zak Jones,Sydney,0,1,10,1.3620866434066556,-1
Trent Cotchin,Richmond,6,0,15,1.1785801275400445,6
Jack Martin,Gold Coast,5,0,8,0.6040314876881894,5
Nick Haynes,Greater Western Sydney,5,0,18,1.1513951579108834,5
Jordan De Goey,Collingwood,4,0,0,1.0520876049413346,4
Jack Viney,Melbourne,3,0,9,0.723789084382588,3
Shaun McKernan,Essendon,3,0,7,0.670267133275047,3
Brandan Parfitt,Geelong,2,0,5,-0.13699942588573322,2
Cameron Ellis-Yolmen,Adelaide,2,0,2,1.076864201342687,2
Dayne Beams,Collingwood,2,0,0,1.14236361393705,2
Matt Taberner,Fremantle,2,0,7,1.1551551884040236,2
Riley Bonner,Port Adelaide,2,0,8,0.6839738175040111,2
Robbie Tarrant,North Melbourne,2,0,9,0.3289471394964494,2
Tim O'Brien,Hawthorn,2,0,8,0.2766288733982947,2
Tom Bellchambers,Essendon,2,0,0,0.19467764577711932,2
Tom Scully,Hawthorn,2,0,5,0.27149668481433764,2
Cameron Guthrie,Geelong,1,0,1,0.329671667132061,1
Darcy Fogarty,Adelaide,1,0,3,0.189731732243672,1
Darcy Moore,Collingwood,1,0,12,0.25501630577491596,1
Dawson Simpson,Greater Western Sydney,1,0,0,-0.38004968722816557,1
Gary Rohan,Geelong,1,0,11,0.6522570654924493,1
Jack Newnes,St Kilda,1,0,3,0.310051086882595,1
Jack Steele,St Kilda,1,0,14,1.6719222259707749,1
Jacob Weitering,Carlton,1,0,8,0.1310397623165045,1
James Frawley,Hawthorn,1,0,6,0.07473021524492651,1
Jarrod Berry,Brisbane Lions,1,0,1,0.40283336440916173,1
Jarryn Geary,St Kilda,1,0,6,0.13438846776261926,1
Jason Johannisen,Western Bulldogs,1,0,9,0.4661052221345017,1
Josh Schache,Western Bulldogs,1,0,7,0.6961885273340158,1
Mabior Chol,Richmond,1,0,5,0.5302387194242328,1
Marty Hore,Melbourne,1,0,0,0.37688889721175656,1
Mason Wood,North Melbourne,1,0,5,0.6843657056888333,1
Matthew Kennedy,Carlton,1,0,0,0.031319983885623515,1
