kicks,marks,handballs,disposals,effective_disposals,disposal_efficiency_percentage,goals,behinds,hitouts,tackles,rebounds,inside_fifties,clearances,clangers,free_kicks_for,free_kicks_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside_fifty,one_percenters,bounces,goal_assists,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,turnovers,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,hitouts_to_advantage,hitout_win_percentage,intercept_marks,marks_on_lead,pressure_acts,rating_points,ruck_contests,score_launches,shots_at_goal,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,num_games,prev_season_br_votes,prev_season_games_polled,rolling_avg_votes_per_game,rolling_avg_games_polled,kicks_prop,marks_prop,handballs_prop,disposals_prop,goals_prop,behinds_prop,tackles_prop,inside_fifties_prop,clearances_prop,contested_possessions_prop,uncontested_possessions_prop,contested_marks_prop,marks_inside_fifty_prop,goal_assists_prop,turnovers_prop,shots_at_goal_prop,match_outcome_Loss,match_outcome_Win,player_position_BPR,player_position_C,player_position_CHB,player_position_CHF,player_position_FB,player_position_FF,player_position_FPL,player_position_FPR,player_position_HBFL,player_position_HBFR,player_position_HFFL,player_position_HFFR,player_position_INT,player_position_R,player_position_RK,player_position_RR,player_position_SUB,player_position_WL,player_position_WR,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,pred_rank,predicted_votes
8,4,3,11,9,82,0,0,0,3,0,3,0,1,0,0,2,9,0,0,0,0,1,76,54,54,0,0,5,240,1,0,0,0,0,3,1,8,7,0,2,0,0,0,0,17,6.2,0,0,0,0,25,14,11,80,0,0,0,0,286,2,1,0.41007194244604317,0.21223021582733814,0.017977528089887642,0.023668639053254437,0.009966777408637873,0.014745308310991957,0,0,0.0379746835443038,0.02631578947368421,0,0.007017543859649123,0.020689655172413793,0,0,0.047619047619047616,0.0070921985815602835,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.0035500144585967064,Marc Murphy,0,15875,1,Carlton,2021,39,0
11,2,16,27,21,78,0,0,0,3,1,3,3,1,1,0,12,13,0,0,3,0,1,81,84,111,1,2,8,283,2,10,0,0,0,0,0,13,8,0,11,0,0,0,0,20,16.1,0,5,0,1,25,15,15,105,0,0,0,0,266,1,1,0.06827309236947791,0.040160642570281124,0.024719101123595506,0.011834319526627219,0.053156146179401995,0.036193029490616625,0,0,0.0379746835443038,0.02631578947368421,0.04054054054054054,0.042105263157894736,0.029885057471264367,0,0,0.047619047619047616,0.014184397163120567,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05259179696440697,Shane Edwards,0,15875,1,Richmond,2021,43,0
9,4,1,10,6,60,4,2,0,5,0,3,0,3,1,1,6,4,1,3,0,0,0,90,85,93,0,0,8,349,2,2,3,0,0,6,1,2,5,2,4,0,0,0,3,17,14.7,3,2,7,0,25,15,15,105,0,0,5,0,284,2,1,0.19850187265917604,0.09737827715355805,0.020224719101123594,0.023668639053254437,0.0033222591362126247,0.013404825737265416,0.16,0.07692307692307693,0.06329113924050633,0.02631578947368421,0,0.021052631578947368,0.009195402298850575,0.058823529411764705,0.11538461538461539,0,0.014184397163120567,0.1111111111111111,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8595607876777649,Jack Riewoldt,0,15875,1,Richmond,2021,4,0
19,7,12,31,21,68,2,2,0,4,0,8,5,2,2,1,14,16,2,5,2,0,4,89,131,158,2,3,12,619,4,2,0,0,0,4,3,4,10,6,8,0,0,0,2,13,29.8,0,2,6,0,25,15,15,105,0,0,10,0,245,15,7,0.8289473684210527,0.38596491228070173,0.04269662921348315,0.04142011834319527,0.03986710963455149,0.04155495978552279,0.08,0.07692307692307693,0.05063291139240506,0.07017543859649122,0.06756756756756757,0.04912280701754386,0.0367816091954023,0.11764705882352941,0.19230769230769232,0.19047619047619047,0.028368794326241134,0.09523809523809523,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3151798248291016,Dustin Martin,0,15875,1,Richmond,2021,1,3
4,4,5,9,8,89,0,0,2,1,2,1,0,2,2,1,4,6,0,0,4,0,1,88,39,49,0,0,3,183,3,4,0,0,0,0,0,3,4,0,2,0,18.2,1,0,5,5,11,2,0,4,25,15,15,105,0,0,0,0,139,0,0,0.007936507936507936,0.007936507936507936,0.008988764044943821,0.023668639053254437,0.016611295681063124,0.012064343163538873,0,0,0.012658227848101266,0.008771929824561403,0,0.014035087719298246,0.013793103448275862,0,0,0.047619047619047616,0.02127659574468085,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002078391145914793,David Astbury,0,15875,1,Richmond,2021,21,0
9,2,1,10,6,60,0,0,0,0,5,0,1,4,2,2,6,4,0,0,7,0,0,98,31,52,0,1,1,173,3,8,0,0,5,0,0,4,5,0,3,0,0,2,0,4,3,0,1,0,7,25,14,11,80,0,0,0,0,143,1,1,0.05673758865248227,0.028368794326241134,0.020224719101123594,0.011834319526627219,0.0033222591362126247,0.013404825737265416,0,0,0,0,0.013513513513513514,0.021052631578947368,0.009195402298850575,0,0,0,0.02127659574468085,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011098471004515886,Liam Jones,0,15875,1,Carlton,2021,24,0
4,2,6,10,8,80,0,0,0,2,0,1,0,2,0,1,6,2,0,0,2,0,0,92,35,40,0,0,2,67,0,8,0,0,1,0,0,8,2,0,6,0,0,2,0,9,5.6,0,2,0,2,25,15,15,105,0,0,0,0,172,0,0,0.019230769230769232,0.00641025641025641,0.008988764044943821,0.011834319526627219,0.019933554817275746,0.013404825737265416,0,0,0.02531645569620253,0.008771929824561403,0,0.021052631578947368,0.004597701149425287,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004049424547702074,Dylan Grimes,0,15875,1,Richmond,2021,14,0
16,8,13,29,16,55,0,0,0,1,4,1,7,5,0,1,14,14,1,0,2,0,1,75,99,94,1,6,6,319,6,4,0,0,0,0,0,15,6,0,12,0,0,0,0,21,6.1,0,1,0,1,25,14,11,80,0,0,0,0,183,5,2,0.09444444444444444,0.05555555555555555,0.035955056179775284,0.047337278106508875,0.04318936877076412,0.0388739946380697,0,0,0.012658227848101266,0.008771929824561403,0.0945945945945946,0.04912280701754386,0.03218390804597701,0.058823529411764705,0,0.047619047619047616,0.0425531914893617,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.04858772084116936,Ed Curnow,0,15875,1,Carlton,2021,42,0
12,3,13,25,17,68,0,1,0,4,4,1,9,5,2,1,12,13,0,0,1,1,0,74,87,82,3,6,9,380,5,2,0,0,0,0,0,12,6,0,9,0,0,1,0,24,13.2,0,3,2,0,25,15,15,105,0,0,0,0,165,3,1,0.2781456953642384,0.1390728476821192,0.02696629213483146,0.01775147928994083,0.04318936877076412,0.03351206434316354,0,0.038461538461538464,0.05063291139240506,0.008771929824561403,0.12162162162162163,0.042105263157894736,0.029885057471264367,0,0,0,0.03546099290780142,0.031746031746031744,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.031031310558319092,Dion Prestia,0,15875,1,Richmond,2021,41,0
6,4,5,11,6,55,1,1,1,0,0,2,0,4,0,2,4,7,0,2,2,0,0,92,42,43,0,0,4,183,5,0,0,0,0,4,1,0,2,2,4,0,11.1,0,2,7,2.3,9,0,3,1,25,15,15,105,0,0,0,0,176,0,0,0.20710059171597633,0.10650887573964497,0.01348314606741573,0.023668639053254437,0.016611295681063124,0.014745308310991957,0.04,0.038461538461538464,0,0.017543859649122806,0,0.014035087719298246,0.016091954022988506,0,0.07692307692307693,0,0.03546099290780142,0.047619047619047616,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.001675264909863472,Tom J. Lynch,0,15875,1,Richmond,2021,22,0
