Feature,Gain,Cover,Frequency
coaches_votes,0.6009302848757075,0.05530969808060962,0.04136197440585009
afl_fantasy_score,0.07307567057056778,0.04401878910807203,0.03336380255941499
disposals_prop,0.02413451460659762,0.05678194940474861,0.03610603290676417
goals_prop,0.016645238178016705,0.037867802732875294,0.021252285191956124
goals,0.012854305654902368,0.014237166884468291,0.008683729433272395
supercoach_score,0.012826653737959737,0.031999413805767755,0.027193784277879343
rating_points,0.01162914996712247,0.031001179409519096,0.02856489945155393
handballs_prop,0.010352365572126978,0.05558744461824037,0.02490859232175503
contested_possessions_prop,0.009919853641487815,0.04478382874958464,0.024223034734917732
match_margin,0.009223019771670516,0.0013693290463199397,0.021480804387568556
metres_gained,0.008648751238025712,0.0333636047166679,0.024223034734917732
inside_fifties_prop,0.007846781100835686,0.019024760195879765,0.01942413162705667
clearances_prop,0.007630491526851406,0.026805780140653424,0.01851005484460695
kicks_prop,0.007357021335766806,0.030968754902770523,0.02056672760511883
marks_prop,0.007236250792581478,0.031266319962734795,0.019652650822669104
uncontested_possessions_prop,0.006760780249340622,0.05870083554379536,0.021937842778793418
tackles_prop,0.00651278398501929,0.017229923326253983,0.01942413162705667
shots_at_goal_prop,0.006292515906394548,0.01707711964681287,0.014853747714808043
marks_inside_fifty_prop,0.0058841697898554925,0.005412562913436396,0.008683729433272395
team_behinds,0.00545825142971023,6.201506054510702e-4,0.012568555758683729
pressure_acts,0.005167849056570357,0.013680141942746235,0.013711151736745886
time_on_ground_percentage,0.005131628116845836,6.487454460482377e-4,0.015082266910420476
match_outcome_Loss,0.005101188244477777,0.0022183660320867302,0.004570383912248629
turnovers_prop,0.004968466415247359,0.018114703862767232,0.015996343692870202
effective_disposals,0.004835938486557451,0.020084237336666335,0.020338208409506398
disposals,0.0047520249675692084,0.01172592713345276,0.019881170018281536
disposal_efficiency_percentage,0.004683267557142651,5.798114553229232e-4,0.016910420475319928
def_half_pressure_acts,0.004681146895558017,8.768020653644866e-4,0.013254113345521023
team_score,0.004274606845223781,0.004701234339697259,0.013025594149908592
kicks,0.004266443805550733,0.01318266830967855,0.07015539305301645
