player_name,player_team,actual_votes,predicted_votes,coaches_votes,prediction_sum,votes_accuracy
Aaron Francis,Essendon,0,0,0,-0.057073556097748224,0
Aaron Hall,North Melbourne,0,8,31,7.285504732222762,-8
Aaron Naughton,Western Bulldogs,0,3,28,3.1945341477403417,-3
Aaron vandenBerg,Melbourne,0,0,0,-0.0020308284438215196,0
Adam Cerra,Fremantle,0,3,21,4.474748884225846,-3
Adam Kennedy,Greater Western Sydney,0,0,0,0.0064837745449040085,0
Adam Saad,Carlton,0,0,1,0.2777613767393632,0
Adam Tomlinson,Melbourne,0,0,1,0.0344484185334295,0
Adam Treloar,Western Bulldogs,0,5,25,5.190187749802135,-5
Aidan Corr,North Melbourne,0,0,0,0.0072833255981095135,0
Aiden Bonar,North Melbourne,0,0,0,-0.04146329034665541,0
Alec Waterman,Essendon,0,0,0,0.15084819772164337,0
Alex Davies,Gold Coast,0,0,0,-0.049511492252349854,0
Alex Keath,Western Bulldogs,0,0,28,0.36278709674661513,0
Alex Neal-Bullen,Melbourne,0,1,2,0.32075383873234387,-1
Alex Pearce,Fremantle,0,0,0,-0.0011542157299118116,0
Alex Sexton,Gold Coast,0,0,0,0.5568517090432579,0
Alex Witherden,West Coast,0,0,0,0.8202692715567537,0
Aliir Aliir,Port Adelaide,0,7,34,3.808922153664753,-7
Andrew Brayshaw,Fremantle,0,9,35,10.513369759952184,-9
Andrew Gaff,West Coast,0,7,23,8.171242411772255,-7
Andrew McGrath,Essendon,0,2,15,1.4564147154742386,-2
Andrew McPherson,Adelaide,0,0,0,0.012564050817672978,0
Andrew Phillips,Essendon,0,0,0,0.024977183085866272,0
Angus Brayshaw,Melbourne,0,0,3,0.34958419991016854,0
Anthony McDonald-Tipungwuti,Essendon,0,2,12,1.6116554485197412,-2
Anthony Scott,Western Bulldogs,0,0,0,0.014927920783520676,0
Anton Tohill,Collingwood,0,0,0,-7.200647960416973e-4,0
Archie Perkins,Essendon,0,1,5,0.6675453953575925,-1
