kicks,marks,handballs,disposals,effective_disposals,disposal_efficiency_percentage,goals,behinds,hitouts,tackles,rebounds,inside_fifties,clearances,clangers,free_kicks_for,free_kicks_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside_fifty,one_percenters,bounces,goal_assists,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,turnovers,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,hitouts_to_advantage,hitout_win_percentage,intercept_marks,marks_on_lead,pressure_acts,rating_points,ruck_contests,score_launches,shots_at_goal,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,num_games,prev_season_br_votes,prev_season_games_polled,rolling_avg_votes_per_game,rolling_avg_games_polled,kicks_prop,marks_prop,handballs_prop,disposals_prop,goals_prop,behinds_prop,tackles_prop,inside_fifties_prop,clearances_prop,contested_possessions_prop,uncontested_possessions_prop,contested_marks_prop,marks_inside_fifty_prop,goal_assists_prop,turnovers_prop,shots_at_goal_prop,match_outcome_Loss,match_outcome_Win,player_position_BPR,player_position_C,player_position_CHB,player_position_CHF,player_position_FB,player_position_FF,player_position_FPL,player_position_FPR,player_position_HBFL,player_position_HBFR,player_position_HFFL,player_position_HFFR,player_position_INT,player_position_R,player_position_RK,player_position_RR,player_position_SUB,player_position_WL,player_position_WR,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,pred_rank,predicted_votes
24,6,11,35,30,86,0,0,0,4,10,2,1,3,1,0,10,21,2,0,2,5,0,91,129,150,0,1,8,903,6,9,0,1,2,0,0,8,21,1,8,0,0,2,0,12,21.9,0,5,0,2,26,5,15,95,0,0,6,0,287,8,4,0.2007168458781362,0.1039426523297491,0.05970149253731343,0.04054054054054054,0.03767123287671233,0.05043227665706052,0,0,0.034782608695652174,0.017543859649122806,0.012195121951219513,0.03367003367003367,0.05303030303030303,0.08333333333333333,0,0,0.046511627906976744,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9305047988891602,Kade Simpson,0,15201,1,Carlton,2018,3,1
10,3,13,23,16,70,0,0,0,1,1,2,6,3,2,1,8,15,0,0,0,1,1,89,68,61,2,4,6,370,7,1,0,0,0,0,0,12,6,0,4,0,0,0,0,21,11.7,0,1,0,0,26,5,15,95,0,0,0,1,237,9,5,0.45414847161572053,0.24017467248908297,0.024875621890547265,0.02027027027027027,0.04452054794520548,0.03314121037463977,0,0,0.008695652173913044,0.017543859649122806,0.07317073170731707,0.026936026936026935,0.03787878787878788,0,0,0.05263157894736842,0.05426356589147287,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4446271234191954e-4,Marc Murphy,0,15201,1,Carlton,2018,22,0
10,5,14,24,17,71,0,0,0,1,3,3,3,3,0,1,10,15,0,0,1,0,0,83,74,73,0,3,0,262,3,5,0,0,1,0,0,7,5,1,8,0,0,1,0,13,9,0,0,0,1,26,5,15,95,0,0,0,0,219,0,0,0.115,0.06,0.024875621890547265,0.033783783783783786,0.04794520547945205,0.0345821325648415,0,0,0.008695652173913044,0.02631578947368421,0.036585365853658534,0.03367003367003367,0.03787878787878788,0,0,0,0.023255813953488372,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.014230828732252121,Dale Thomas,0,15201,1,Carlton,2018,11,0
5,3,11,16,14,88,0,0,0,4,3,4,2,1,0,0,9,7,1,0,2,0,0,75,62,79,0,2,5,270,4,6,0,0,0,0,0,8,5,1,7,0,0,1,1,20,13.8,0,3,0,1,26,19,17,121,1,1,0,0,208,0,0,0.045,0.025,0.012437810945273632,0.02027027027027027,0.03767123287671233,0.023054755043227664,0,0,0.034782608695652174,0.03508771929824561,0.024390243902439025,0.030303030303030304,0.017676767676767676,0.041666666666666664,0,0,0.031007751937984496,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.006188755389302969,Shane Edwards,0,15201,1,Richmond,2018,15,0
12,7,6,18,12,67,4,2,0,1,0,6,0,2,1,0,5,14,1,5,1,0,2,96,100,101,0,0,13,322,3,1,0,0,0,2,1,1,8,0,3,0,0,0,3,6,17.7,1,0,7,0,26,19,17,121,1,1,3,0,226,6,3,0.18807339449541285,0.09174311926605505,0.029850746268656716,0.0472972972972973,0.02054794520547945,0.025936599423631124,0.125,0.1111111111111111,0.008695652173913044,0.05263157894736842,0,0.016835016835016835,0.03535353535353535,0.041666666666666664,0.18518518518518517,0.10526315789473684,0.023255813953488372,0.11290322580645161,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.11248214542865753,Jack Riewoldt,1,15201,1,Richmond,2018,7,0
7,4,10,17,12,71,0,1,0,2,0,2,2,4,0,1,2,15,0,0,1,0,1,83,59,45,0,2,7,197,3,1,0,0,1,0,0,2,3,1,2,0,0,1,0,11,3.8,12,1,1,1,26,19,17,121,0,0,0,0,193,7,3,0.1358695652173913,0.06521739130434782,0.017412935323383085,0.02702702702702703,0.03424657534246575,0.024495677233429394,0,0.05555555555555555,0.017391304347826087,0.017543859649122806,0.024390243902439025,0.006734006734006734,0.03787878787878788,0,0,0.05263157894736842,0.023255813953488372,0.016129032258064516,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0025001587346196175,Shaun Grigg,0,15201,1,Richmond,2018,18,0
7,1,10,17,10,59,0,1,23,1,1,1,4,1,1,0,8,8,0,0,1,0,0,66,73,74,1,3,4,126,2,2,0,0,0,3,0,6,3,1,6,7,46,0,0,14,9.4,50,2,1,0,26,5,15,95,0,0,0,0,162,5,3,0.14556962025316456,0.06962025316455696,0.017412935323383085,0.006756756756756757,0.03424657534246575,0.024495677233429394,0,0.05555555555555555,0.008695652173913044,0.008771929824561403,0.04878048780487805,0.026936026936026935,0.020202020202020204,0,0,0,0.015503875968992248,0.016129032258064516,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0014190785586833954,Matthew Kreuzer,0,15201,1,Carlton,2018,27,0
14,2,10,24,15,63,0,0,0,4,0,5,7,2,2,0,13,12,0,1,1,0,2,81,86,94,2,5,10,293,5,3,1,0,0,1,0,6,5,1,8,0,0,0,0,26,11.5,0,3,3,0,26,19,17,121,0,1,0,1,199,8,5,0.612565445026178,0.2931937172774869,0.03482587064676617,0.013513513513513514,0.03424657534246575,0.0345821325648415,0,0,0.034782608695652174,0.043859649122807015,0.08536585365853659,0.04377104377104377,0.030303030303030304,0,0.037037037037037035,0.10526315789473684,0.03875968992248062,0.04838709677419355,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14056552946567535,Trent Cotchin,0,15201,1,Richmond,2018,6,0
9,3,6,15,12,80,0,0,0,1,5,0,0,2,3,0,8,5,1,0,6,2,0,100,55,83,0,0,4,327,4,10,0,0,5,0,0,2,7,0,5,0,0,2,0,3,15.3,0,4,0,6,26,19,17,121,1,1,0,0,176,8,6,0.18452380952380953,0.10714285714285714,0.022388059701492536,0.02027027027027027,0.02054794520547945,0.021613832853025938,0,0,0.008695652173913044,0,0,0.026936026936026935,0.012626262626262626,0.041666666666666664,0,0,0.031007751937984496,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.042342063039541245,Alex Rance,0,15201,1,Richmond,2018,39,0
20,5,12,32,23,72,1,3,0,1,0,6,6,3,1,1,17,15,2,2,1,0,2,87,110,139,4,2,13,567,5,2,0,0,0,3,3,4,12,1,10,0,0,0,0,10,24.4,0,2,4,1,26,19,17,121,1,1,7,0,179,36,14,0.7719298245614035,0.3684210526315789,0.04975124378109453,0.033783783783783786,0.0410958904109589,0.04610951008645533,0.03125,0.16666666666666666,0.008695652173913044,0.05263157894736842,0.07317073170731707,0.05723905723905724,0.03787878787878788,0.08333333333333333,0.07407407407407407,0.10526315789473684,0.03875968992248062,0.06451612903225806,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.966950535774231,Dustin Martin,0,15201,1,Richmond,2018,2,2
