Feature,Gain,Cover,Frequency
coaches_votes,0.600873481575193,0.0497134459252451,0.04445442299057027
afl_fantasy_score,0.07217967126129636,0.049646522671568626,0.03188145487202514
disposals_prop,0.021833045869068275,0.07293900633169935,0.03300404131118096
goals_prop,0.017253440966088784,0.03182119332107843,0.02088010776829816
supercoach_score,0.01460257951389593,0.0314560036254085,0.029636281993713515
goals,0.01269334291176558,0.015547162224264706,0.010327795240233499
rating_points,0.00945961379366415,0.03731308083129085,0.028962730130220028
handballs_prop,0.009381220664356135,0.05338611877042484,0.025594970812752582
metres_gained,0.008385967792711575,0.03475592320261438,0.023574315222272116
contested_possessions_prop,0.008361880868859679,0.036777439491421565,0.021104625056129322
uncontested_possessions_prop,0.008033920333756947,0.04231936785130719,0.02334979793444095
clearances_prop,0.007318378090007145,0.03017798330269608,0.018410417602155366
marks_prop,0.007298337541195328,0.024019735498366012,0.02020655590480467
kicks_prop,0.007263084822210937,0.033718405330882356,0.019308486753480018
match_margin,0.007238600251974317,0.002598900888480392,0.018634934889986528
shots_at_goal_prop,0.007124821040805456,0.017190563725490195,0.017512348450830714
inside_fifties_prop,0.007047674035784678,0.027650920394199346,0.016838796587337224
turnovers_prop,0.006740701205192498,0.02176499310661765,0.021329142343960484
marks_inside_fifty_prop,0.0062915890964829295,0.0013029130923202614,0.008531656937584195
tackles_prop,0.0062368813992609105,0.014044692095588234,0.019083969465648856
time_on_ground_percentage,0.0060695952933511885,9.653926674836602e-4,0.0163897620116749
disposal_efficiency_percentage,0.005588238219071762,0.0022119140625,0.021329142343960484
def_half_pressure_acts,0.005392162446584152,0.0012287134906045752,0.013246519982038617
effective_disposals,0.005063043311981596,0.018638014450571897,0.018859452177817693
match_outcomeLoss,0.004831820758014094,0.0037318091299019607,0.004041311180960934
team_behinds,0.0045857314761027345,0.002135320925245098,0.01347103726986978
team_score,0.004506651047734813,0.0031620838439542485,0.010327795240233499
effective_kicks,0.0043928918551348235,0.017864423764297387,0.013920071845532105
kicks,0.004306884676232604,0.02364245046977124,0.03794342164346655
disposals,0.004240913506535702,0.01767858966503268,0.016838796587337224
pressure_acts,0.004226583592163905,0.008720320159313726,0.013920071845532105
clangers,0.0039418676859574965,0.003699161305147059,0.008756174225415357
contest_def_one_on_ones,0.0036539435076523527,4.443040236928105e-4,0.002694207453973956
handballs,0.003630394187863487,0.011788098703022876,0.019757521329142345
intercepts,0.0033046819210176322,0.008193135978349673,0.010776829815895825
marks,0.0032655985222240585,0.008547283496732026,0.019757521329142345
season,0.003114594383655209,1.59249897875817e-4,0.0466995958688819
ground_ball_gets,0.0029901184266015895,0.012426534415849674,0.009654243376740009
hitouts,0.002982299945873056,0.014927140778186274,0.00830713964975303
behinds_prop,0.002958970159957336,0.0054643139808006535,0.008082622361921869
team_goals,0.00283231396154567,5.591299019607843e-4,0.009205208801077683
match_outcomeWin,0.002669150531251761,8.523539624183007e-4,0.002694207453973956
score_involvements,0.0026444185669281216,0.009934480953839869,0.012572968118545127
ruck_contests,0.0026432371974877307,8.698427287581699e-4,0.0058374494836102376
uncontested_possessions,0.0025074380986959354,0.006462609783496732,0.009429726088908847
centre_clearances,0.002467264291490486,0.004023214103349673,0.007858105074090705
contested_marks_prop,0.002427025030392141,0.01657915900735294,0.008531656937584195
bounces,0.0023456375447896407,0.00877020143995098,0.006061966771441401
goal_assists_prop,0.002240987071121195,0.014043255974264706,0.00830713964975303
f50_ground_ball_gets,0.0022324669380992175,0.003458626940359477,0.007184553210597216
rebounds,0.002216730551143164,0.010378402011846406,0.009878760664571173
one_percenters,0.0021699989218818523,0.0018007046568627452,0.007858105074090705
score_launches,0.002025732279815551,1.5733506944444445e-4,0.004265828468792097
player_positionC,0.0019557352264673667,0.005102411407271242,0.002694207453973956
free_kicks_against,0.0019195018049509036,1.3528262867647058e-4,0.006286484059272564
contested_possessions,0.0018710685317409946,0.0038639642054738564,0.007409070498428379
spoils,0.001869324583123061,4.144965277777778e-4,0.003367759317467445
free_kicks_for,0.001860215492786505,0.009493144914215686,0.009205208801077683
stoppage_clearances,0.00177703875766318,0.008750319138071895,0.006061966771441401
hitout_win_percentage,0.0016873571658528462,0.0013094873366013072,0.004041311180960934
intercept_marks,0.0016759063652736642,0.012898858762254902,0.006061966771441401
inside_fifties,0.0016495163340097473,0.006639539930555555,0.007409070498428379
clearances,0.0016461138061982915,0.014492634293300654,0.00830713964975303
contest_off_one_on_ones,0.0016143911712046147,0.0024304917279411764,0.004265828468792097
captain,0.001606799663222946,0.005185834099264706,0.002020655590480467
hitouts_to_advantage,0.001566408649806733,0.004914119944852941,0.004265828468792097
tackles_inside_fifty,0.0015401902281608727,0.005025243821486928,0.004714863044454423
shots_at_goal,0.0013822704475280887,0.006365942861519608,0.003592276605298608
turnovers,0.0013045330913981123,0.003550634446486928,0.004939380332285586
tackles,0.001285307597503363,0.011830544066584967,0.009654243376740009
marks_on_lead,0.0012417658251362984,0.003428564133986928,0.004041311180960934
behinds,0.0011740954828847086,0.0017005591299019609,0.005163897620116749
marks_inside_fifty,0.00099738931454395165,0.0049106413398692815,0.004041311180960934
aa_squad,9.445430406349386e-4,0.006425462111928105,0.002020655590480467
contest_off_wins,9.031392261172388e-4,0.0017463554432189542,0.002694207453973956
player_positionWR,8.328470100112975e-4,8.91671772875817e-5,0.002020655590480467
goal_assists,7.211320437305051e-4,4.0658190359477126e-5,0.004041311180960934
aa_team,5.216616114659838e-4,2.0361008986928105e-5,8.98069151324652e-4
player_positionFB,5.107374525330948e-4,3.1872319240196077e-4,8.98069151324652e-4
contested_marks,4.6570374733905537e-4,0.0029913768892973857,0.002694207453973956
contest_def_losses,3.9349214701846197e-4,2.1726919934640524e-4,0.001122586439155815
player_positionINT,3.9087994946502896e-4,2.18609579248366e-5,6.73551863493489e-4
player_positionSUB,3.834585004207063e-4,1.285169015522876e-4,6.73551863493489e-4
player_positionR,3.776724141755844e-4,9.465635212418301e-5,0.001122586439155815
player_positionHFFR,3.644809324428028e-4,5.6359783496732025e-5,0.001347103726986978
player_positionFPR,2.9198732475267143e-4,1.1405994689542484e-4,6.73551863493489e-4
player_positionWL,1.9628687864937225e-4,9.175219566993464e-5,0.001122586439155815
player_positionBPL,1.9219349117823102e-4,1.6882404003267976e-5,2.24517287831163e-4
player_positionRK,1.5876554295410678e-4,1.0308159722222223e-5,4.49034575662326e-4
player_positionFPL,1.39555363396391e-4,7.116779003267974e-6,4.49034575662326e-4
player_positionRR,1.338576146115292e-4,0.0017079950469771241,4.49034575662326e-4
player_positionHBFR,9.997115294405351e-5,2.648845996732026e-6,2.24517287831163e-4
player_positionFF,8.426759999297553e-5,0.0016701133578431373,4.49034575662326e-4
player_positionCHF,5.7546536136491256e-5,3.446691176470588e-5,4.49034575662326e-4
player_positionCHB,5.5962047064846124e-5,1.2063419117647058e-5,2.24517287831163e-4
player_positionHFFL,4.2626548454984283e-5,1.863766339869281e-5,2.24517287831163e-4
player_positionHBFL,2.4683343130762238e-5,5.8529922385620914e-5,2.24517287831163e-4
