player_name,player_team,actual_votes,predicted_votes,coaches_votes,prediction_sum,votes_accuracy
Lachie Neale,Brisbane Lions,0,27,93,19.28807239,-27
Jack Steele,St Kilda,0,23,72,15.12468341,-23
Christian Petracca,Melbourne,0,21,78,15.77924602,-21
Travis Boak,Port Adelaide,0,21,77,13.79566832,-21
Patrick Dangerfield,Geelong,0,18,44,10.88339353,-18
Taylor Adams,Collingwood,0,18,60,9.728519076,-18
Marcus Bontempelli,Western Bulldogs,0,17,59,15.5974766,-17
Clayton Oliver,Melbourne,0,16,34,11.93377075,-16
Jack Macrae,Western Bulldogs,0,16,46,13.20710266,-16
Zach Merrett,Essendon,0,16,55,9.959584159,-16
Luke Parker,Sydney,0,14,44,11.61228822,-14
Scott Pendlebury,Collingwood,0,14,43,8.60196793,-14
Cameron Guthrie,Geelong,0,13,48,9.243916724,-13
Sam Menegola,Geelong,0,13,41,9.382642686,-13
Dustin Martin,Richmond,0,11,42,8.119210366,-11
Nat Fyfe,Fremantle,0,11,39,9.546414635,-11
Ollie Wines,Port Adelaide,0,11,43,9.315316414,-11
Sam Walsh,Carlton,0,11,38,6.24624887,-11
Tom Rockliff,Port Adelaide,0,11,25,6.45327841,-11
Andrew McGrath,Essendon,0,10,37,6.029478706,-10
David Mundy,Fremantle,0,10,36,5.182461624,-10
Matt Crouch,Adelaide,0,10,24,6.648645606,-10
Shai Bolton,Richmond,0,10,32,4.616515159,-10
Andrew Brayshaw,Fremantle,0,9,34,4.921461343,-9
Jed Anderson,North Melbourne,0,9,29,6.488422722,-9
Lachie Whitfield,Greater Western Sydney,0,9,40,7.853530437,-9
Tom Hawkins,Geelong,0,9,35,7.192530365,-9
Adam Treloar,Collingwood,0,8,24,3.990714149,-8
Charlie Dixon,Port Adelaide,0,8,36,5.011964942,-8
Dayne Zorko,Brisbane Lions,0,8,30,6.26200039,-8
Dylan Shiel,Essendon,0,8,24,7.861011097,-8
Josh P. Kennedy,Sydney,0,8,19,4.825568148,-8
Liam Ryan,West Coast,0,8,41,4.258289534,-8
Matt Rowell,Gold Coast,0,8,30,7.412040835,-8
Patrick Cripps,Carlton,0,8,18,6.04127929,-8
Rory Laird,Adelaide,0,8,33,7.404813173,-8
Tim Kelly,West Coast,0,8,34,6.648307104,-8
Toby Greene,Greater Western Sydney,0,8,34,5.386839786,-8
Zak Jones,St Kilda,0,8,37,6.514611726,-8
Caleb Daniel,Western Bulldogs,0,7,35,3.556483191,-7
Jarryd Lyons,Brisbane Lions,0,7,39,7.895769516,-7
Michael Walters,Fremantle,0,7,34,4.253487957,-7
Nic Naitanui,West Coast,0,7,56,4.58402934,-7
Nick Haynes,Greater Western Sydney,0,7,25,4.049659383,-7
Trent Cotchin,Richmond,0,7,26,4.93293921,-7
Andrew Gaff,West Coast,0,6,29,4.668754781,-6
Chad Wingard,Hawthorn,0,6,29,3.151076436,-6
Dan Butler,St Kilda,0,6,25,4.870398933,-6
Dom Sheed,West Coast,0,6,18,4.64617593,-6
Harry Perryman,Greater Western Sydney,0,6,20,4.819120007,-6
Hugh McCluggage,Brisbane Lions,0,6,30,4.995125588,-6
Jack Gunston,Hawthorn,0,6,19,3.893755231,-6
Jarrod Witts,Gold Coast,0,6,31,3.38708353,-6
Joel Selwood,Geelong,0,6,27,3.821948115,-6
Max Gawn,Melbourne,0,6,30,7.000811372,-6
Mitch Duncan,Geelong,0,6,33,5.169519779,-6
Robbie Gray,Port Adelaide,0,6,21,4.119605807,-6
Adam Cerra,Fremantle,0,5,22,3.793472997,-5
Brad Crouch,Adelaide,0,5,12,2.763154445,-5
Isaac Heeney,Sydney,0,5,19,2.192735206,-5
Jack Crisp,Collingwood,0,5,19,2.09265745,-5
Jade Gresham,St Kilda,0,5,22,2.758265237,-5
Jaeger O'Meara,Hawthorn,0,5,16,3.650681118,-5
James Worpel,Hawthorn,0,5,11,2.226230559,-5
Jared Polec,North Melbourne,0,5,15,2.543269249,-5
Jarrod Berry,Brisbane Lions,0,5,23,4.604681404,-5
Josh J. Kennedy,West Coast,0,5,0,4.652420677,-5
Josh Kelly,Greater Western Sydney,0,5,33,4.852103958,-5
Jy Simpkin,North Melbourne,0,5,19,4.28911197,-5
Kane Lambert,Richmond,0,5,20,2.726711975,-5
Lachie Hunter,Western Bulldogs,0,5,20,4.903186848,-5
Levi Casboult,Carlton,0,5,17,2.449064323,-5
Luke Shuey,West Coast,0,5,11,3.284921532,-5
Rowan Marshall,St Kilda,0,5,23,2.050711896,-5
Todd Goldstein,North Melbourne,0,5,32,4.123233318,-5
Brody Mihocek,Collingwood,0,4,14,2.132847476,-4
Dane Rampe,Sydney,0,4,20,3.012985995,-4
Hugh Greenwood,Gold Coast,0,4,21,4.406770126,-4
Jack Martin,Carlton,0,4,19,1.475628845,-4
Jack Viney,Melbourne,0,4,30,3.916003138,-4
Jacob Hopper,Greater Western Sydney,0,4,12,4.253700248,-4
Jake Lloyd,Sydney,0,4,24,2.218333703,-4
Jeremy McGovern,West Coast,0,4,19,1.815489744,-4
Luke Ryan,Fremantle,0,4,30,2.827248886,-4
Marc Murphy,Carlton,0,4,15,3.247495231,-4
Tim English,Western Bulldogs,0,4,19,3.816106237,-4
Zac Bailey,Brisbane Lions,0,4,17,2.61830528,-4
Ben Ainsworth,Gold Coast,0,3,11,1.782443555,-3
Ben Cunnington,North Melbourne,0,3,10,2.698477489,-3
Callum Mills,Sydney,0,3,11,2.576657964,-3
Dan Houston,Port Adelaide,0,3,19,2.585788863,-3
David Zaharakis,Essendon,0,3,12,1.660256572,-3
Dion Prestia,Richmond,0,3,9,2.186247564,-3
Dylan Grimes,Richmond,0,3,16,1.373937938,-3
Ed Curnow,Carlton,0,3,18,2.818907878,-3
Hunter Clark,St Kilda,0,3,9,1.139070862,-3
Jack Billings,St Kilda,0,3,25,3.830839247,-3
Jack Riewoldt,Richmond,0,3,10,2.662248351,-3
Jordan Ridley,Essendon,0,3,28,1.887124058,-3
Josh Bruce,Western Bulldogs,0,3,10,2.463893345,-3
Josh Dunkley,Western Bulldogs,0,3,10,1.83930068,-3
Liam Shiels,Hawthorn,0,3,16,3.146247814,-3
Luke McDonald,North Melbourne,0,3,12,1.919224105,-3
Reilly O'Brien,Adelaide,0,3,11,1.875133674,-3
Rhys Stanley,Geelong,0,3,12,2.091414406,-3
Sam Powell-Pepper,Port Adelaide,0,3,12,1.370369746,-3
Sebastian Ross,St Kilda,0,3,6,1.19289446,-3
Steele Sidebottom,Collingwood,0,3,13,2.592154832,-3
Stephen Coniglio,Greater Western Sydney,0,3,9,4.328776974,-3
Steven Motlop,Port Adelaide,0,3,7,1.811675878,-3
Tom Barrass,West Coast,0,3,15,2.888897487,-3
Tom Green,Greater Western Sydney,0,3,4,1.713214632,-3
Aaron Naughton,Western Bulldogs,0,2,8,1.42838133,-2
Adam Saad,Essendon,0,2,16,0.956232932,-2
Anthony McDonald-Tipungwuti,Essendon,0,2,10,1.259709257,-2
Charlie Cameron,Brisbane Lions,0,2,16,1.152890278,-2
Charlie Constable,Geelong,0,2,0,0.686923774,-2
Connor Blakely,Fremantle,0,2,0,1.324472532,-2
Daniel Rich,Brisbane Lions,0,2,19,2.250650804,-2
Derek Eggmolesse-Smith,Richmond,0,2,8,1.046766885,-2
Eddie Betts,Carlton,0,2,7,0.78448835,-2
Elliot Yeo,West Coast,0,2,19,2.05753137,-2
Hamish Hartlett,Port Adelaide,0,2,10,1.023496585,-2
Isaac Smith,Hawthorn,0,2,9,1.710127596,-2
Jack Lukosius,Gold Coast,0,2,13,2.097680613,-2
Jake Riccardi,Greater Western Sydney,0,2,7,1.257052343,-2
Jayden Short,Richmond,0,2,18,0.856317448,-2
Joe Daniher,Essendon,0,2,4,0.702294044,-2
Jordan Dawson,Sydney,0,2,7,0.540208473,-2
Jordan De Goey,Collingwood,0,2,0,0.624823307,-2
Josh Daicos,Collingwood,0,2,6,1.605213839,-2
Jye Caldwell,Greater Western Sydney,0,2,0,0.663505227,-2
Lachlan Sholl,Adelaide,0,2,9,2.048922631,-2
Matthew Kennedy,Carlton,0,2,4,1.315627417,-2
Noah Anderson,Gold Coast,0,2,12,1.186334531,-2
Noah Balta,Richmond,0,2,23,1.639748302,-2
Oliver Florent,Sydney,0,2,9,1.211561613,-2
Peter Ladhams,Port Adelaide,0,2,10,1.080423901,-2
Sam Petrevski-Seton,Carlton,0,2,8,0.842345966,-2
Shane Edwards,Richmond,0,2,9,1.419878303,-2
Shaun Higgins,North Melbourne,0,2,8,1.85418825,-2
Tim Membrey,St Kilda,0,2,12,1.046616894,-2
Toby McLean,Western Bulldogs,0,2,9,1.32735483,-2
Tom J. Lynch,Richmond,0,2,0,0.107076966,-2
Tom Jonas,Port Adelaide,0,2,19,0.979170867,-2
Tom Liberatore,Western Bulldogs,0,2,27,3.144214266,-2
Tom Mitchell,Hawthorn,0,2,23,2.348779576,-2
Tom Phillips,Collingwood,0,2,0,0.836999373,-2
Touk Miller,Gold Coast,0,2,21,1.01232416,-2
Zac Fisher,Carlton,0,2,6,0.889596668,-2
Zach Tuohy,Geelong,0,2,13,0.84644495,-2
Alex Sexton,Gold Coast,0,1,2,1.449751728,-1
Angus Brayshaw,Melbourne,0,1,19,1.500308623,-1
Bachar Houli,Richmond,0,1,10,0.823400551,-1
Bailey Smith,Western Bulldogs,0,1,26,2.945625129,-1
Ben Keays,Adelaide,0,1,0,0.499474456,-1
Ben King,Gold Coast,0,1,6,0.592869805,-1
Brad Sheppard,West Coast,0,1,6,0.661015638,-1
Brandan Parfitt,Geelong,0,1,7,0.635499266,-1
Brayden Sier,Collingwood,0,1,2,0.846077497,-1
