player_team,actual_votes,predicted_votes,coaches_votes,prediction_sum,votes_accuracy
Port Adelaide,75,75,382,108.47553846037772,0
Western Bulldogs,61,69,315,101.35175103256188,-8
Geelong,64,68,335,106.67369468140532,-4
Brisbane Lions,65,65,330,106.15878343310033,0
West Coast,60,61,273,91.684044558685855,-1
Collingwood,61,59,269,95.66891188689624,2
Melbourne,61,58,257,91.48855151375756,3
St Kilda,60,58,281,73.74043751429417,2
Richmond,56,52,298,76.73055388545617,4
Fremantle,45,51,261,79.60810400542687,-6
Greater Western Sydney,51,46,224,83.62819131487049,5
Carlton,47,46,230,76.18533327746263,1
Sydney,35,42,197,75.99457937783154,-7
Essendon,37,41,209,74.38060226256493,-4
North Melbourne,27,35,144,60.13369702461932,-8
Gold Coast,37,34,189,58.6115931293607,3
Adelaide,16,30,130,50.77837776124943,-14
Hawthorn,30,28,164,51.51418785849819,2
