Feature,Gain,Cover,Frequency
coaches_votes,0.6052878856632511,0.046313157268297225,0.04239799407339868
afl_fantasy_score,0.0709917570329108,0.03983878160246997,0.03305219968087531
rolling_avg_games_polled,0.022059918759227647,0.015735073126785255,0.020743104627307954
disposals_prop,0.019249853602746916,0.06098277913538463,0.03305219968087531
goals_prop,0.018363629033446436,0.027474217340121117,0.023022566674264874
goals,0.01459632946873848,0.010666799514306137,0.009117848187827673
supercoach_score,0.013509743073569844,0.022064335511862286,0.02530202872122179
metres_gained,0.009133674584611845,0.03474009388034604,0.028037383177570093
contested_possessions_prop,0.008959634985332254,0.04784630923822038,0.021654889446090723
inside_fifties_prop,0.008647725815799713,0.023695176453058023,0.019147481194438112
rating_points,0.008300218354380804,0.028538647349547575,0.023250512878960565
num_games,0.007670320357184952,0.009828512611850441,0.023022566674264874
marks_prop,0.007478185943183975,0.03801980721284174,0.0223387280601778
tackles_prop,0.0070503691227064005,0.007415202478344627,0.019603373603829497
kicks_prop,0.00697488268554835,0.03893864523045326,0.020971050832003648
match_margin,0.006817012639305401,0.004039746932906187,0.017095965352176886
handballs_prop,0.006584339390478532,0.04276619550540735,0.020515158422612263
uncontested_possessions_prop,0.006109015171270261,0.060978183509163376,0.020743104627307954
turnovers_prop,0.006102862671553941,0.01638158837671663,0.02005926601322088
marks_inside_fifty_prop,0.0060725453543812105,0.00899807657085605,0.009573740597219056
shots_at_goal_prop,0.005670281539502006,0.021796065831196712,0.013904718486437201
team_score,0.005633316029632452,0.002717961855089629,0.012764987462958741
time_on_ground_percentage,0.005373302405671254,0.0027397910796405746,0.014588557100524277
clearances_prop,0.004910529804344853,0.0338764672055315,0.01777980396626396
team_behinds,0.004425655108838365,6.445684916015409e-4,0.013220879872350126
match_outcome_Loss,0.004095725021343572,0.002266537321064586,0.003419193070435377
kicks,0.004085692359974509,0.01080852990353238,0.05926601322087987
effective_kicks,0.003927660889295326,0.015051984351509748,0.011625256439480283
def_half_pressure_acts,0.003865043223874345,0.0020172245985616774,0.010941417825393207
pressure_acts,0.0038123299544371237,0.015252340889127932,0.013448826077045816
disposals,0.0037519807932779392,0.01757616396760326,0.0166400729427855
effective_disposals,0.0037017153695717495,0.021428511475709514,0.017323911556872577
contested_marks_prop,0.0036670807671112067,0.010121739096023088,0.009801686801914749
contest_def_one_on_ones,0.003520796474575298,2.0613298446573022e-4,0.0045589240939138366
handballs,0.003332651298218818,0.01418433650375161,0.025529974925917482
disposal_efficiency_percentage,0.0032988471664835432,6.072290285538704e-4,0.020515158422612263
spoils,0.003229283862167571,3.050346904355859e-4,0.0045589240939138366
uncontested_possessions,0.0031342545602950993,0.00875530623290423,0.01139731023478459
ground_ball_gets,0.002772161545090739,0.011996052484732228,0.008206063369044905
match_outcome_Win,0.0027503151273206546,0.0022947812738826957,0.0027353544563483018
marks,0.002673598651311898,0.008156757831657169,0.028265329382265784
score_involvements,0.002508032497533796,0.014143326922541135,0.009345794392523364
clangers,0.002458626801392483,0.01002168848349792,0.007978117164349213
ruck_contests,0.00238046757088843,6.251328223741637e-4,0.004786870298609528
free_kicks_for,0.0023349513815404703,0.003619087563306746,0.009117848187827673
hitouts,0.002248911954477913,0.013002398884973423,0.009117848187827673
intercepts,0.0020836182839217474,0.00802179322547888,0.009801686801914749
goal_assists_prop,0.002081159319356095,0.0040608421338245715,0.0063824937314793705
tackles,0.0020413195571818104,0.010571887067208895,0.012309095053567358
