player_name,player_team,actual_votes,predicted_votes,coaches_votes,prediction_sum,votes_accuracy
Lachie Neale,Brisbane Lions,31,30,93,25.020535903051496,1
Jack Macrae,Western Bulldogs,15,26,46,16.674665808677673,-11
Travis Boak,Port Adelaide,21,22,77,18.585516229039058,-1
Jack Steele,St Kilda,20,19,72,12.952067415229976,1
Marcus Bontempelli,Western Bulldogs,10,18,59,16.63364735711366,-8
Christian Petracca,Melbourne,20,17,78,14.981261298060417,3
Zach Merrett,Essendon,13,17,55,13.066122502554208,-4
Luke Parker,Sydney,15,15,44,11.931111933663487,0
Patrick Dangerfield,Geelong,15,14,44,12.26280466094613,1
Nat Fyfe,Fremantle,10,13,39,10.586837962269783,-3
Sam Walsh,Carlton,8,13,38,9.574285044334829,-5
Lachie Whitfield,Greater Western Sydney,4,13,40,9.638431205763482,-9
Cameron Guthrie,Geelong,14,12,48,10.67242395086214,2
Clayton Oliver,Melbourne,14,12,34,11.08399405889213,2
Scott Pendlebury,Collingwood,13,12,43,10.706265471875668,1
Taylor Adams,Collingwood,11,12,60,10.701289950986393,-1
Sam Menegola,Geelong,5,12,41,9.864346516464138,-7
Tom Hawkins,Geelong,11,11,35,9.84654010727536,0
Josh Kelly,Greater Western Sydney,8,11,33,8.2645602975972,-3
Dustin Martin,Richmond,15,10,42,8.290739199146628,5
Tim Kelly,West Coast,11,10,34,7.24282952118665,1
Ollie Wines,Port Adelaide,10,10,43,10.966659752302803,0
Michael Walters,Fremantle,8,10,34,7.27246796421241,-2
Brodie Grundy,Collingwood,6,10,22,6.613345050485805,-4
Adam Treloar,Collingwood,4,10,24,6.009489030577242,-6
Jed Anderson,North Melbourne,3,10,29,6.402119868303998,-7
Max Gawn,Melbourne,13,9,30,8.011348710628226,4
Tom Mitchell,Hawthorn,10,9,23,8.558509971946478,1
Matt Rowell,Gold Coast,9,9,30,6.297104772878811,0
Andrew Gaff,West Coast,8,9,29,8.032050814013928,-1
Dylan Shiel,Essendon,6,9,24,9.150188866071403,-3
Mitch Duncan,Geelong,5,9,33,6.5734216826967895,-4
Rory Laird,Adelaide,4,9,33,7.09138649344095,-5
Patrick Cripps,Carlton,10,8,18,6.9113908726722,2
Tom Rockliff,Port Adelaide,10,8,25,7.96528850030154,2
Charlie Dixon,Port Adelaide,9,8,36,5.8322842411580496,1
Shai Bolton,Richmond,9,8,32,3.172231250704499,1
Trent Cotchin,Richmond,5,8,26,5.246995591558516,-3
David Mundy,Fremantle,3,8,36,4.3223520395113155,-5
Toby Greene,Greater Western Sydney,12,7,34,6.185611490509473,5
Andrew Brayshaw,Fremantle,9,7,34,3.7680625044740736,2
Jarryd Lyons,Brisbane Lions,9,7,39,7.455653982411604,2
Rowan Marshall,St Kilda,8,7,23,4.278199538879562,1
Matt Crouch,Adelaide,3,7,24,5.23255699314177,-4
Liam Ryan,West Coast,1,7,41,4.7879489661427215,-6
Dayne Zorko,Brisbane Lions,0,7,30,6.3178204065188766,-7
Jaeger O'Meara,Hawthorn,0,7,16,4.902902806206839,-7
Josh J. Kennedy,West Coast,0,7,0,4.396702117926907,-7
Hugh Greenwood,Gold Coast,11,6,21,5.338746736757457,5
Dan Butler,St Kilda,8,6,25,4.067032355233096,2
Jy Simpkin,North Melbourne,8,6,19,3.791475096717477,2
Andrew McGrath,Essendon,7,6,37,5.775102831190452,1
Chad Wingard,Hawthorn,6,6,29,4.0731177191773895,0
Jack Viney,Melbourne,6,6,30,5.744205392198637,0
Luke Ryan,Fremantle,6,6,30,3.0032575786462985,0
Steele Sidebottom,Collingwood,6,6,13,3.4052396926563233,0
Nic Naitanui,West Coast,5,6,56,5.140491755941184,-1
Hugh McCluggage,Brisbane Lions,4,6,30,6.154057102045044,-2
Caleb Daniel,Western Bulldogs,3,6,35,3.4762628546450287,-3
Jake Lloyd,Sydney,3,6,24,4.018388011492789,-3
Marc Murphy,Carlton,2,6,15,3.2861100583104417,-4
Dom Sheed,West Coast,11,5,18,4.739022187481169,6
Zak Jones,St Kilda,7,5,37,3.7107713867444545,2
Kane Lambert,Richmond,6,5,20,2.7503888938808814,1
Ed Curnow,Carlton,5,5,18,4.3738545011729,0
Isaac Heeney,Sydney,5,5,19,3.9639195756753907,0
Jack Gunston,Hawthorn,5,5,19,4.325678995111957,0
Robbie Gray,Port Adelaide,5,5,21,4.257876937132096,0
Todd Goldstein,North Melbourne,5,5,32,4.320129107683897,0
Nick Haynes,Greater Western Sydney,4,5,25,3.7209928574156947,-1
Joel Selwood,Geelong,3,5,27,5.073243845254183,-2
Tom Barrass,West Coast,3,5,15,3.011929746484384,-2
Jack Riewoldt,Richmond,2,5,10,2.3361017993011046,-3
Levi Casboult,Carlton,2,5,17,3.1737091886170674,-3
Tom Papley,Sydney,6,4,20,4.148499607108533,2
Jack Crisp,Collingwood,5,4,19,2.865065250894986,1
Harry Perryman,Greater Western Sydney,4,4,20,2.7025772259221412,0
Jacob Hopper,Greater Western Sydney,4,4,12,4.081566042965278,0
Josh Dunkley,Western Bulldogs,4,4,10,3.368719229940325,0
Tim English,Western Bulldogs,4,4,19,3.819044400093844,0
Adam Cerra,Fremantle,3,4,22,3.0982333646679763,-1
Jarrod Witts,Gold Coast,2,4,31,1.8376512830145657,-2
Angus Brayshaw,Melbourne,1,4,19,2.432252342463471,-3
Brad Crouch,Adelaide,1,4,12,2.8839953008282464,-3
Jordan De Goey,Collingwood,0,4,0,1.6437659621005878,-4
Jordan Ridley,Essendon,0,4,28,2.9207473560236394,-4
Josh P. Kennedy,Sydney,0,4,19,5.704648154787719,-4
Reilly O'Brien,Adelaide,0,4,11,2.856830731150694,-4
Jarrod Berry,Brisbane Lions,8,3,23,3.931700144254137,5
Lachie Hunter,Western Bulldogs,6,3,20,6.6239814180880785,3
Luke Shuey,West Coast,6,3,11,2.5047400204930454,3
Jade Gresham,St Kilda,5,3,22,1.6953398550394922,2
David Zaharakis,Essendon,4,3,12,1.551482561364537,1
Ben Cunnington,North Melbourne,3,3,10,3.0194160216487944,0
Dion Prestia,Richmond,3,3,9,2.569340054411441,0
Josh Bruce,Western Bulldogs,3,3,10,1.8126611313637113,0
Sam Powell-Pepper,Port Adelaide,3,3,12,1.2749560558586381,0
Steven Motlop,Port Adelaide,3,3,7,0.9119631741195917,0
Touk Miller,Gold Coast,3,3,21,1.8388218177715316,0
Ben Ainsworth,Gold Coast,2,3,11,2.2645698894630186,-1
Callum Mills,Sydney,2,3,11,1.5119789964519441,-1
Derek Eggmolesse-Smith,Richmond,2,3,8,0.6550479450670537,-1
Jack Billings,St Kilda,2,3,25,3.713528565975139,-1
Nick Hind,St Kilda,2,3,6,0.7032260052801576,-1
Peter Ladhams,Port Adelaide,2,3,10,1.3746890187030658,-1
Charlie Cameron,Brisbane Lions,1,3,16,1.9244777380663436,-2
Sebastian Ross,St Kilda,1,3,6,1.30806659013615,-2
Dan Houston,Port Adelaide,0,3,19,2.9552612060215324,-3
Matt Taberner,Fremantle,0,3,14,2.007702723611146,-3
Nick Blakey,Sydney,0,3,4,0.9251445496920496,-3
Tom Green,Greater Western Sydney,0,3,4,1.3009144939132966,-3
Brody Mihocek,Collingwood,5,2,14,2.3413648008427117,3
Jack Martin,Carlton,4,2,19,1.6846924874698743,2
Steven May,Melbourne,4,2,28,1.7561277566710487,2
Aaron Naughton,Western Bulldogs,3,2,8,2.2801224564318545,1
David Cuningham,Carlton,3,2,8,1.166781546722632,1
Gryan Miers,Geelong,3,2,13,1.915575303894002,1
Isaac Smith,Hawthorn,3,2,9,1.5129695171490312,1
Jack Lukosius,Gold Coast,3,2,13,2.4496087527368218,1
Jayden Short,Richmond,3,2,18,1.3383022353518754,1
Lachlan Sholl,Adelaide,3,2,9,1.9562405748292804,1
Tim Taranto,Greater Western Sydney,3,2,9,1.908982114167884,1
Blake Acres,Fremantle,2,2,7,1.4331034035421908,0
Jeremy McGovern,West Coast,2,2,19,2.1695926735992543,0
Josh Daicos,Collingwood,2,2,6,1.7840766511217225,0
Luke McDonald,North Melbourne,2,2,12,0.2667202189331874,0
Shaun Higgins,North Melbourne,2,2,8,1.6244060827884823,0
Bayley Fritsch,Melbourne,1,2,8,1.5462224852817599,-1
Brodie Smith,Adelaide,1,2,16,1.1732996560167521,-1
Liam Shiels,Hawthorn,1,2,16,2.2492717601999175,-1
Noah Balta,Richmond,1,2,23,1.2532939441443887,-1
Shane Edwards,Richmond,1,2,9,1.021842124289833,-1
Tom Stewart,Geelong,1,2,15,1.6350166029296815,-1
Zac Bailey,Brisbane Lions,1,2,17,0.7847739516582806,-1
Zac Fisher,Carlton,1,2,6,1.0212430588435382,-1
Dylan Grimes,Richmond,0,2,16,1.419838879199233,-2
