Feature,Gain,Cover,Frequency
coaches_votes,0.3989722184943851,0.09238288961449993,0.028106102253985705
afl_fantasy_score,0.060237222462374715,0.06323640890937256,0.03119846069268829
supercoach_score,0.055393949188027376,0.0498298598393329,0.029892798240791645
disposals_prop,0.021942991327306847,0.035584599147468796,0.02570093457943925
num_games,0.01983956400879146,0.035470506909108745,0.04040681693238043
contested_possessions_prop,0.017844689676722134,0.0314073663667805,0.03209180868609126
goals_prop,0.017553284121248063,0.027472362518151605,0.018554150632215504
rating_points,0.01702838602161207,0.0280624800501208,0.032916437603078615
match_margin,0.01569990001944162,0.012892840144888729,0.030098955470038484
marks_prop,0.0142950409319887,0.020306731204308037,0.029480483782297964
metres_gained,0.01393040666836883,0.02301460889944069,0.03092358438702584
uncontested_possessions_prop,0.013802077678945139,0.027492316931169505,0.027762506871907643
inside_fifties_prop,0.013039682559571456,0.022477444725091784,0.027418911489829577
tackles_prop,0.012823282443821886,0.02405444905585269,0.026319406267179768
turnovers_prop,0.012510694997198372,0.0196010067441174,0.026937877954920284
team_score,0.012001187613685231,0.011096394637537846,0.021096756459593184
handballs_prop,0.011939623079000617,0.019098364428532463,0.021852666300164927
kicks_prop,0.011856438274152859,0.026897023285924727,0.025013743815283124
clearances_prop,0.011616860685537045,0.025220500199746324,0.022058823529411766
shots_at_goal_prop,0.010002077247465423,0.015427834991186258,0.017523364485981307
disposal_efficiency_percentage,0.009124788140077686,0.008161143538420932,0.021165475536008796
pressure_acts,0.009036900298141129,0.014043167094125043,0.019791094007696537
time_on_ground_percentage,0.008860762643402813,0.011873269185734218,0.020890599230346345
def_half_pressure_acts,0.007864096355343226,0.014214996873032643,0.015186915887850467
team_behinds,0.007499481568890174,0.00874313293159944,0.016698735568993952
goals,0.007365263814988334,0.015558713712175019,0.0043980208905992305
contested_marks_prop,0.007273301971490277,0.014652843641978924,0.011682242990654205
score_involvements,0.007197008048144404,0.011415913557749435,0.014499725123694338
marks_inside_fifty_prop,0.00651016200949418,0.009417834692433208,0.010995052226498075
clangers,0.006378784872662244,0.009852624106105563,0.01223199560197911
goal_assists_prop,0.006034033881427217,0.01238231132686479,0.012369433754810335
intercepts,0.005666890709493614,0.00665866034977033,0.011132490379329302
disposals,0.0054919785293053355,0.009100794291486778,0.0090021990104453
effective_disposals,0.00536439768315164,0.0039385490420634234,0.011407366684991753
uncontested_possessions,0.005255294587903158,0.01246441459961876,0.010582737768004398
free_kicks_for,0.005008520363273279,0.0030740231870849035,0.01017042330951072
stoppage_clearances,0.0049473017538291435,0.009860913943593229,0.007490379329301814
ground_ball_gets,0.004773285203077522,0.008694053070089695,0.009964266080263882
behinds_prop,0.004730835373399435,0.006325078002478163,0.009620670698185816
contested_possessions,0.0047241833132603,0.006002578096149773,0.007696536558548653
