kicks,marks,handballs,disposals,effective_disposals,disposal_efficiency_percentage,goals,behinds,hitouts,tackles,rebounds,inside_fifties,clearances,clangers,free_kicks_for,free_kicks_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside_fifty,one_percenters,bounces,goal_assists,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,turnovers,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,hitouts_to_advantage,hitout_win_percentage,intercept_marks,marks_on_lead,pressure_acts,rating_points,ruck_contests,score_launches,shots_at_goal,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,num_games,kicks_prop,marks_prop,handballs_prop,disposals_prop,goals_prop,behinds_prop,tackles_prop,inside_fifties_prop,clearances_prop,contested_possessions_prop,uncontested_possessions_prop,contested_marks_prop,marks_inside_fifty_prop,goal_assists_prop,turnovers_prop,shots_at_goal_prop,match_outcome_Loss,match_outcome_Win,player_position_BPR,player_position_C,player_position_CHB,player_position_CHF,player_position_FB,player_position_FF,player_position_FPL,player_position_FPR,player_position_HBFL,player_position_HBFR,player_position_HFFL,player_position_HFFR,player_position_INT,player_position_R,player_position_RK,player_position_RR,player_position_SUB,player_position_WL,player_position_WR,prob_0,prob_1,prob_2,prob_3,expected_votes,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,predicted_votes
8,4,6,14,11,79,0,0,0,3,2,1,0,2,0,1,3,11,0,0,4,1,0,84,57,68,0,0,2,140,1,3,0,0,1,0,0,5,7,0,3,0,0,0,0,6,1.9,0,0,0,1,38,7,14,91,0,0,0,0,10,0.024615384615384615,0.031746031746031744,0.022388059701492536,0.023608768971332208,0,0,0.03125,0.012987012987012988,0,0.013761467889908258,0.029490616621983913,0,0,0,0.010638297872340425,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9995044469833374,3.737000224646181e-4,6.255656626308337e-5,5.928292011958547e-5,6.766619153495412e-4,0,Lachie Ash,0,15830,14,Greater Western Sydney,2020,0
10,2,9,19,13,68,0,0,0,1,0,6,3,2,1,1,4,16,0,0,0,0,0,89,56,76,1,2,3,376,7,0,0,0,0,0,0,7,6,2,3,0,0,0,0,16,4.8,0,0,0,0,41,7,7,49,0,0,0,0,32,0.034013605442176874,0.017094017094017096,0.036885245901639344,0.03531598513011153,0,0,0.013513513513513514,0.07894736842105263,0.06521739130434782,0.02040816326530612,0.047058823529411764,0,0,0,0.06422018348623854,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.996711015701294,0.002507234690710902,6.989398971199989e-4,8.277969754999503e-5,0.004153453577600885,0,Bailey Smith,0,15769,9,Western Bulldogs,2020,0
8,6,5,13,11,85,0,0,0,0,1,0,0,1,0,0,3,10,1,0,5,1,0,98,52,82,0,0,2,142,1,4,0,1,3,0,0,5,7,0,1,0,0,1,0,8,7.9,0,1,0,2,28,8,12,80,0,0,0,0,43,0.025396825396825397,0.04477611940298507,0.0211864406779661,0.023593466424682397,0,0,0,0,0,0.01485148514851485,0.029154518950437316,0.06666666666666667,0,0,0.008695652173913044,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998241662979126,0.0011477730004116893,5.12803322635591e-4,9.779260290088132e-5,0.0024667574543855153,0,Alex Keath,0,15818,13,Western Bulldogs,2020,0
8,3,9,17,9,53,1,1,0,1,0,4,2,4,0,2,7,10,1,2,0,0,0,67,56,86,1,1,3,269,4,1,0,0,0,2,1,5,3,1,6,0,0,0,0,15,6.7,0,0,2,0,6,7,12,79,0,0,0,0,78,0.025889967637540454,0.02702702702702703,0.03896103896103896,0.03148148148148148,0.07142857142857142,0.09090909090909091,0.01282051282051282,0.05194805194805195,0.030303030303030304,0.032407407407407406,0.03164556962025317,0.05263157894736842,0.25,0,0.04040404040404041,0.06896551724137931,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.9964550733566284,0.0022242844570428133,0.0010106946574524045,3.099192981608212e-4,0.005175431666430086,0,Darcy Parish,0,15655,2,Essendon,2020,0
3,2,10,13,11,85,0,0,0,2,0,1,1,1,1,1,3,11,0,0,2,0,0,77,41,56,0,1,4,109,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,9,3.4,0,0,0,1,4,8,11,74,0,0,0,0,53,0.0084985835694051,0.01652892561983471,0.040983606557377046,0.021775544388609715,0,0,0.023255813953488372,0.010869565217391304,0.01818181818181818,0.012048192771084338,0.03254437869822485,0,0,0,0.008130081300813009,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.9999370574951172,3.841803118120879e-5,6.973109520913567e-6,1.757626341714058e-5,1.0509304047445767e-4,0,Nick Holman,0,15784,10,Gold Coast,2020,0
8,4,13,21,14,67,0,0,0,5,0,3,0,1,1,0,10,12,0,0,1,3,1,80,83,114,0,0,6,197,1,1,2,0,0,1,0,0,3,2,8,0,0,0,1,18,10.6,0,0,0,0,33,18,7,60,0,0,0,0,59,0.022598870056497175,0.02857142857142857,0.07344632768361582,0.03954802259887006,0,0,0.054945054945054944,0.04054054054054054,0,0.05,0.03986710963455149,0,0,0.1111111111111111,0.009523809523809525,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9930833578109741,0.005808588117361069,8.146198815666139e-4,2.934262447524816e-4,0.008318106614751741,0,Zac Fisher,1,15817,13,Carlton,2020,0
0,0,8,8,5,63,0,0,1,1,0,0,1,2,0,1,6,1,0,0,6,0,0,90,18,41,0,1,2,-15,2,1,0,0,0,3,1,2,0,0,6,0,20,0,0,9,2.6,5,0,0,5,5,9,7,51,0,0,0,0,121,0,0,0.035555555555555556,0.013816925734024179,0,0,0.00980392156862745,0,0.016129032258064516,0.024390243902439025,0.003215434083601286,0,0,0,0.014184397163120567,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9992969036102295,4.154952766839415e-4,8.502058335579932e-5,2.025075227720663e-4,0.001193059011711739,0,Josh Bruce,0,15760,8,Western Bulldogs,2020,0
10,3,9,19,12,63,0,0,0,1,1,2,2,5,1,1,3,16,0,1,0,1,1,78,59,57,0,2,3,222,5,0,0,1,1,0,0,8,6,1,1,0,0,0,1,18,0.5,0,0,1,0,39,4,14,88,0,0,0,0,151,0.031545741324921134,0.022222222222222223,0.030201342281879196,0.030894308943089432,0,0,0.010416666666666666,0.02702702702702703,0.034482758620689655,0.013215859030837005,0.04113110539845758,0,0.05263157894736842,0.07142857142857142,0.056179775280898875,0.02857142857142857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9996994733810425,1.370995450997725e-4,4.098866702406667e-5,1.225248706759885e-4,5.866514911758713e-4,0,Bradley Hill,0,15656,2,St Kilda,2020,0
14,3,4,18,16,89,0,0,0,1,7,1,0,1,0,0,5,9,0,0,6,0,0,85,63,119,0,0,1,522,4,4,0,0,2,0,0,5,13,0,4,0,0,1,0,5,11.9,0,1,0,5,6,7,11,73,0,0,0,0,28,0.043209876543209874,0.02027027027027027,0.01932367149758454,0.03389830508474576,0,0,0.017857142857142856,0.013157894736842105,0,0.02564102564102564,0.028037383177570093,0,0,0,0.038834951456310676,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.993022620677948,0.0036088391207158566,0.0032949510496109724,7.365328201558441e-5,0.010419701065984555,0,Callum Wilkie,0,15744,6,St Kilda,2020,0
9,5,6,15,7,47,0,0,0,2,0,2,0,2,1,0,8,7,1,1,1,0,1,85,63,80,0,0,4,234,2,2,1,0,0,0,0,6,2,3,5,0,0,0,1,14,12.7,0,1,1,0,27,8,8,56,0,0,0,0,91,0.027190332326283987,0.03355704697986577,0.028985507246376812,0.027881040892193308,0,0,0.028169014084507043,0.02564102564102564,0,0.039603960396039604,0.020895522388059702,0.06666666666666667,0.0625,0.125,0.022222222222222223,0.05,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9967260360717773,0.0029101751279085875,2.2889098909217864e-4,1.3484338705893606e-4,0.003772487267269753,0,Jason Castagna,0,15836,15,Richmond,2020,0
3,2,6,9,8,89,2,0,0,2,0,0,0,3,1,1,8,1,2,0,1,0,0,84,45,76,0,0,5,58,1,0,0,0,0,1,1,2,3,0,4,0,0,0,0,7,9.4,0,0,2,0,35,11,12,83,0,0,0,0,21,0.010526315789473684,0.018867924528301886,0.024096385542168676,0.016853932584269662,0.1111111111111111,0,0.02666666666666667,0,0,0.037914691943127965,0.003194888178913738,0.1111111111111111,0,0,0.01098901098901099,0.05714285714285714,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.996921718120575,0.0025055473670363426,4.198409733362496e-4,1.5287859423551708e-4,0.003803865096415393,0,Darcy Fogarty,0,15834,15,Adelaide,2020,0
9,3,11,20,12,60,0,1,0,7,0,0,3,3,0,2,9,10,0,0,0,0,1,87,81,88,1,2,4,123,5,2,0,1,1,0,0,8,3,2,8,0,0,1,0,17,5.7,0,1,1,0,3,7,9,61,0,0,0,0,172,0.02727272727272727,0.02112676056338028,0.052132701421800945,0.036968576709796676,0,0.06666666666666667,0.07777777777777778,0,0.06521739130434782,0.04205607476635514,0.03125,0,0,0.08333333333333333,0.04424778761061947,0.02857142857142857,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.9861863851547241,0.008025456219911575,0.005243375897407532,5.44801470823586e-4,0.020146612427197397,0,Ed Curnow,0,15756,7,Carlton,2020,0
