Feature,Gain,Cover,Frequency
coaches_votes,0.41430008014958086,0.0922492138406032,0.026857779014750904
afl_fantasy_score,0.05917944665196356,0.060956216469971555,0.03172836070136376
supercoach_score,0.05518795963767885,0.054025513252308026,0.030615084887280822
disposals_prop,0.022267379711363902,0.04614104116537765,0.028318953520734762
goals_prop,0.01740615676500172,0.028501661188257383,0.02094350125243529
rating_points,0.01738200266797521,0.03615498511524103,0.03659894238797662
contested_possessions_prop,0.017278797700787933,0.0305721838137523,0.02998886724185917
num_games,0.017127000156581078,0.02562892670032425,0.03645978291121625
tackles_prop,0.014899212316145686,0.026868195725925838,0.028527692735875312
marks_prop,0.014866080771966581,0.024912837915835297,0.03186752017812413
turnovers_prop,0.014850916877724158,0.026142301978891683,0.02845811299749513
match_margin,0.014343650781514705,0.011910520070502204,0.027553576398552743
handballs_prop,0.013642487282765386,0.021176022160193906,0.026440300584469802
uncontested_possessions_prop,0.013568188806916189,0.023884870811767173,0.027344837183412192
kicks_prop,0.013346917596814336,0.029409490384101462,0.026927358753131087
metres_gained,0.0131822916167228,0.02505261642242888,0.030128026718619538
inside_fifties_prop,0.012502841003062908,0.017345811810544832,0.024561647648204843
team_score,0.011579274583766789,0.011294945706462037,0.02094350125243529
clearances_prop,0.010349638943565801,0.01853776419035163,0.02017812413025327
shots_at_goal_prop,0.010200931511540735,0.010670940828161155,0.017464514333426107
pressure_acts,0.009454053029426531,0.018283535796604973,0.020386863345393823
disposal_efficiency_percentage,0.009018117322540369,0.010492569801095687,0.02073476203729474
time_on_ground_percentage,0.008792178032348268,0.0142837790768755,0.021639298636237127
team_behinds,0.007977107571410728,0.008910672296658192,0.016838296688004455
goals,0.007855108288608633,0.018999541905701252,0.004940161424993042
intercepts,0.006872125945118756,0.010005300959145553,0.013915947676036738
goal_assists_prop,0.006752664814467307,0.01608572114170016,0.014194266629557473
contested_marks_prop,0.0064947308476285895,0.009987358230467223,0.012037294739771779
clangers,0.006241963769731439,0.010847121410656684,0.011550236571110492
score_involvements,0.005908983223654762,0.009318918636827387,0.012315613693292513
marks_inside_fifty_prop,0.005889196317710798,0.006466467843466354,0.01001948232674645
def_half_pressure_acts,0.005642328958115274,0.0120218619251791,0.013776788199276371
ground_ball_gets,0.005594487217600405,0.011048299453380551,0.012593932646813247
effective_disposals,0.005305882064706216,0.004294334425618213,0.01168939604787086
effective_kicks,0.005038504374691181,0.006892767877398106,0.010297801280267187
match_outcome_Win,0.00494847437107624,0.00956023823860221,0.004035624826050654
uncontested_possessions,0.004742378598114216,0.010168073237182855,0.011132758140829391
disposals,0.004715755104522318,0.00890267001240495,0.00904536598942388
behinds_prop,0.004333547440845012,0.0044434234051816185,0.0098107431116059
stoppage_clearances,0.004142114774725719,0.00960886396544397,0.007862510436960757
free_kicks_for,0.004046805298097894,0.0052133012911972495,0.008975786251043696
intercept_marks,0.003988509495292803,0.007710638421303003,0.006679654884497634
score_launches,0.003984005640678106,0.008143299964853953,0.008349568605622042
handballs,0.0038190729551631237,0.0056259844153756094,0.008906206512663512
marks,0.003655358354428298,0.004047696567310627,0.00793209017534094
one_percenters,0.003512424441927136,0.004835070077479724,0.007445032006679655
rebounds,0.0034003809432848527,0.007878082656523094,0.008210409128861675
kicks,0.0033395142934410653,0.006110849954672492,0.00793209017534094
tackles,0.003225240872706989,0.002412307315109789,0.007027553576398553
bounces,0.0031817768027367333,0.013819591317072995,0.007305872529919288
f50_ground_ball_gets,0.0029900608710130565,0.004029380539107507,0.008210409128861675
hitouts,0.002916313779765339,0.005625817342009422,0.004313943779571389
contested_possessions,0.002846791126929379,0.002345710685626514,0.006679654884497634
centre_clearances,0.002756076661832435,0.0040689483138888404,0.005218480378513777
team_goals,0.0027439845042059883,0.0018790466880814548,0.006957973838018369
spoils,0.0027219325092426717,0.0026411713817407565,0.005496799332034511
ruck_contests,0.0026789642270962787,0.005837977440001118,0.005357639855274144
match_outcome_Loss,0.00264242048007486,0.0075092414120246365,0.003339827442248817
free_kicks_against,0.00262267263598861,0.004288600438023315,0.006053437239075981
clearances,0.0024861502041332224,0.004626345314570713,0.004870581686612858
