player_name,player_team,actual_votes,actual_vote_rank,predicted_votes,predicted_vote_rank,coaches_votes,prediction_sum,votes_accuracy
Lachie Neale,Brisbane Lions,31,1,31,1,93,31,0
Travis Boak,Port Adelaide,21,2,22,2,77,22,-1
Christian Petracca,Melbourne,20,3,21,3,78,21,-1
Jack Steele,St Kilda,20,4,17,5,72,17,3
Jack Macrae,Western Bulldogs,15,5,20,4,46,20,-5
Dustin Martin,Richmond,15,6,15,11,42,15,0
Patrick Dangerfield,Geelong,15,7,15,12,44,15,0
Luke Parker,Sydney,15,8,13,16,44,13,2
Cameron Guthrie,Geelong,14,9,16,7,48,16,-2
Clayton Oliver,Melbourne,14,10,14,13,34,14,0
Zach Merrett,Essendon,13,11,16,8,55,16,-3
Max Gawn,Melbourne,13,12,10,24,30,10,3
Scott Pendlebury,Collingwood,13,13,10,25,43,10,3
Toby Greene,Greater Western Sydney,12,14,7,42,34,7,5
Taylor Adams,Collingwood,11,15,16,9,60,16,-5
Tom Hawkins,Geelong,11,16,12,18,35,12,-1
Dom Sheed,West Coast,11,17,7,43,18,7,4
Tim Kelly,West Coast,11,18,7,44,34,7,4
Hugh Greenwood,Gold Coast,11,19,5,59,21,5,6
Marcus Bontempelli,Western Bulldogs,10,20,17,6,59,17,-7
Nat Fyfe,Fremantle,10,21,11,19,39,11,-1
Ollie Wines,Port Adelaide,10,22,11,20,43,11,-1
Tom Mitchell,Hawthorn,10,23,10,26,23,10,0
Tom Rockliff,Port Adelaide,10,24,10,27,25,10,0
Patrick Cripps,Carlton,10,25,8,35,18,8,2
Jarryd Lyons,Brisbane Lions,9,26,16,10,39,16,-7
Andrew Brayshaw,Fremantle,9,27,11,21,34,11,-2
Matt Rowell,Gold Coast,9,28,9,31,30,9,0
Charlie Dixon,Port Adelaide,9,29,8,36,36,8,1
Shai Bolton,Richmond,9,30,7,45,32,7,2
Andrew Gaff,West Coast,8,31,13,17,29,13,-5
Josh Kelly,Greater Western Sydney,8,32,9,32,33,9,-1
Jarrod Berry,Brisbane Lions,8,33,6,49,23,6,2
Jy Simpkin,North Melbourne,8,34,6,50,19,6,2
Michael Walters,Fremantle,8,35,6,51,34,6,2
Sam Walsh,Carlton,8,36,6,52,38,6,2
Rowan Marshall,St Kilda,8,37,5,60,23,5,3
Elliot Yeo,West Coast,8,38,4,76,19,4,4
Dan Butler,St Kilda,8,39,3,88,25,3,5
Zak Jones,St Kilda,7,40,10,28,37,10,-3
Andrew McGrath,Essendon,7,41,7,46,37,7,0
Bailey Smith,Western Bulldogs,7,42,7,47,26,7,0
Dylan Shiel,Essendon,6,43,9,33,24,9,-3
Chad Wingard,Hawthorn,6,44,8,37,29,8,-2
Lachie Hunter,Western Bulldogs,6,45,8,38,20,8,-2
Jack Viney,Melbourne,6,46,7,48,30,7,-1
Luke Ryan,Fremantle,6,47,6,53,30,6,0
Kane Lambert,Richmond,6,48,5,61,20,5,1
Brodie Grundy,Collingwood,6,49,4,77,22,4,2
Tom Papley,Sydney,6,50,4,78,20,4,2
Darcy Moore,Collingwood,6,51,3,89,27,3,3
Josh J. Kennedy,West Coast,6,52,3,90,0,3,3
Luke Shuey,West Coast,6,53,2,117,11,2,4
Steele Sidebottom,Collingwood,6,54,2,118,13,2,4
Sam Menegola,Geelong,5,55,14,14,41,14,-9
