effective_disposals,disposal_efficiency_percentage,clangers,free_kicks_for,free_kicks_against,one_percenters,bounces,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,intercepts,tackles_inside_fifty,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,intercept_marks,marks_on_lead,pressure_acts,rating_points,score_launches,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,num_games,match_outcome_Loss,match_outcome_Win,player_position_final_C,player_position_final_F,player_position_final_HB,player_position_final_HF,player_position_final_INT,player_position_final_RK,player_position_final_W,prob_0,prob_1,prob_2,prob_3,expected_votes,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,predicted_votes
11,85,1,1,0,0,0,81,77,97,0,2,1,307,3,1,3,10,0,1,3,1,14,9.2,0,0,22,8,7,50,0,0,0,0,46,1,0,1,0,0,0,0,0,0,0.9898570775985718,0.009709623642265797,2.9879604699090123e-4,1.3449131802190095e-4,0.010710689690313302,0,Matthew Kennedy,0,15802,11,Carlton,2020,0
15,68,6,0,3,0,1,73,66,70,3,0,2,469,1,0,17,7,1,7,0,1,20,7.7,1,0,30,5,5,35,0,0,0,0,26,1,0,1,0,0,0,0,0,0,0.9980691075325012,0.0013653419446200132,2.1531352831516415e-4,3.502941981423646e-4,0.0028468515956774354,0,Luke Davies-Uniacke,0,15825,13,North Melbourne,2020,0
20,83,4,1,1,1,1,84,88,93,0,0,5,559,8,0,6,14,0,5,1,0,10,11.3,2,1,1,11,7,53,0,0,2,1,94,1,0,0,0,1,0,0,0,0,0.6990352869033813,0.20254062116146088,0.09142901003360748,0.006995060481131077,0.4063838226720691,0,Sam Docherty,1,15651,2,Carlton,2020,0
6,86,1,0,0,0,0,83,23,31,0,0,1,116,0,0,1,3,0,2,0,0,9,3.1,0,0,3,11,8,59,0,0,0,0,7,1,0,0,0,1,0,0,0,0,0.9999032020568848,8.728274406166747e-5,2.9788427582388977e-6,6.5254866967734415e-6,1.1281688966846559e-4,0,Fischer McAsey,0,15765,8,Adelaide,2020,0
14,82,2,1,0,1,0,77,72,85,1,0,5,129,0,0,8,6,0,3,0,1,11,7.6,0,0,24,6,11,72,0,0,0,0,41,1,0,0,0,0,0,0,0,1,0.9985793828964233,0.0012240235228091478,1.4643713075201958e-4,5.011632674722932e-5,0.001667246764554875,0,Patrick Lipinski,0,15801,11,Western Bulldogs,2020,0
11,65,4,2,1,1,0,88,66,77,4,2,3,244,3,1,8,4,1,6,0,0,19,9.9,0,1,7,11,7,53,0,0,0,0,41,1,0,1,0,0,0,0,0,0,0.9965274930000305,0.0030365861020982265,3.0421323026530445e-4,1.3167792349122465e-4,0.004040046333102509,0,James Worpel,0,15763,8,Hawthorn,2020,0
6,43,1,1,1,0,0,77,44,44,1,1,2,258,0,1,7,3,0,0,0,0,10,0.2,0,0,66,3,18,111,0,0,0,0,110,0,1,1,0,0,0,0,0,0,0.9999604225158691,1.4024817573954351e-5,1.0371227290306706e-5,1.5182820789050311e-5,8.03157345217187e-5,0,Dom Sheed,0,15766,8,West Coast,2020,0
4,80,2,1,2,4,0,80,45,88,0,1,1,10,0,0,8,0,0,0,0,0,13,10.9,0,1,17,10,6,46,0,0,0,0,195,1,0,0,0,0,0,0,1,0,0.9975342750549316,0.002127460902556777,2.6297144358977675e-4,7.525238470407203e-5,0.0028791609438485466,0,Shane Mumford,0,15748,6,Greater Western Sydney,2020,0
5,100,4,0,3,3,0,81,10,23,0,0,0,29,3,0,5,2,0,2,1,0,6,1.5,0,3,24,6,11,72,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0.9996820688247681,2.139173011528328e-4,8.607341442257166e-5,1.7993716028286144e-5,4.4004527808283456e-4,0,Ryan Gardner,0,15801,11,Western Bulldogs,2020,0
14,93,1,0,0,1,0,91,56,70,0,1,2,126,3,0,4,4,1,3,1,0,10,8.7,1,1,24,2,10,62,0,0,0,0,27,0,1,0,0,0,0,0,0,1,0.9988357424736023,7.68945668824017e-4,2.745280507951975e-4,1.2085669004591182e-4,0.0016805718405521475,0,Josh Daicos,0,15806,11,Collingwood,2020,0
15,68,3,0,0,0,1,83,79,75,0,0,7,484,3,0,6,8,0,3,0,0,14,9.3,1,0,14,14,11,80,0,0,3,0,164,0,1,0,0,0,0,0,0,1,0.9827985167503357,0.01032631192356348,0.001722112763673067,0.0051530697382986546,0.029229746665805578,0,Bradley Hill,1,15841,16,St Kilda,2020,0
7,70,2,1,1,1,1,83,58,80,3,0,4,78,0,0,7,3,0,3,0,0,9,8.2,2,1,16,7,9,61,0,0,0,0,106,0,1,0,0,0,0,0,1,0,0.9972225427627563,9.974745335057378e-4,5.51838893443346e-4,0.0012281303061172366,0.00578554323874414,0,Scott Lycett,0,15865,18,Port Adelaide,2020,0
