effective_disposals,disposal_efficiency_percentage,rebounds,clangers,free_kicks_for,free_kicks_against,one_percenters,bounces,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,marks_on_lead,pressure_acts,rating_points,score_launches,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,num_games,match_outcome_Loss,match_outcome_Win,player_position_final_C,player_position_final_F,player_position_final_HB,player_position_final_HF,player_position_final_INT,player_position_final_RK,player_position_final_W,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,pred_rank,predicted_votes
11,85,1,1,1,0,0,0,81,77,97,0,2,1,307,3,1,0,0,0,0,3,10,0,1,1,14,9.2,0,0,22,8,7,50,0,0,0,0,46,1,0,1,0,0,0,0,0,0,0.11204704642295837,Matthew Kennedy,0,15802,11,Carlton,2020,14,0
15,68,1,6,0,3,0,1,73,66,70,3,0,2,469,1,0,0,0,0,0,17,7,1,7,1,20,7.7,1,0,30,5,5,35,0,0,0,0,26,1,0,1,0,0,0,0,0,0,0.028332816436886787,Luke Davies-Uniacke,0,15825,13,North Melbourne,2020,14,0
20,83,7,4,1,1,1,1,84,88,93,0,0,5,559,8,0,1,3,0,0,6,14,0,5,0,10,11.3,2,1,1,11,7,53,0,0,2,1,94,1,0,0,0,1,0,0,0,0,0.043932460248470306,Sam Docherty,1,15651,2,Carlton,2020,15,0
6,86,0,1,0,0,0,0,83,23,31,0,0,1,116,0,0,0,0,1,0,1,3,0,2,0,9,3.1,0,0,3,11,8,59,0,0,0,0,7,1,0,0,0,1,0,0,0,0,-0.006155076902359724,Fischer McAsey,0,15765,8,Adelaide,2020,34,0
14,82,2,2,1,0,1,0,77,72,85,1,0,5,129,0,0,0,0,0,0,8,6,0,3,1,11,7.6,0,0,24,6,11,72,0,0,0,0,41,1,0,0,0,0,0,0,0,1,-0.008005007170140743,Patrick Lipinski,0,15801,11,Western Bulldogs,2020,31,0
11,65,0,4,2,1,1,0,88,66,77,4,2,3,244,3,1,0,0,1,0,8,4,1,6,0,19,9.9,0,1,7,11,7,53,0,0,0,0,41,1,0,1,0,0,0,0,0,0,-4.033755976706743e-5,James Worpel,0,15763,8,Hawthorn,2020,33,0
6,43,3,1,1,1,0,0,77,44,44,1,1,2,258,0,1,0,0,1,0,7,3,0,0,0,10,0.2,0,0,66,3,18,111,0,0,0,0,110,0,1,1,0,0,0,0,0,0,0.06426150351762772,Dom Sheed,0,15766,8,West Coast,2020,16,0
4,80,0,2,1,2,4,0,80,45,88,0,1,1,10,0,0,0,0,1,0,8,0,0,0,0,13,10.9,0,1,17,10,6,46,0,0,0,0,195,1,0,0,0,0,0,0,1,0,0.049587301909923553,Shane Mumford,0,15748,6,Greater Western Sydney,2020,19,0
5,100,1,4,0,3,3,0,81,10,23,0,0,0,29,3,0,2,4,0,0,5,2,0,2,0,6,1.5,0,3,24,6,11,72,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0.01051553338766098,Ryan Gardner,0,15801,11,Western Bulldogs,2020,20,0
14,93,0,1,0,0,1,0,91,56,70,0,1,2,126,3,0,0,1,0,0,4,4,1,3,0,10,8.7,1,1,24,2,10,62,0,0,0,0,27,0,1,0,0,0,0,0,0,1,-0.0030582549516111612,Josh Daicos,0,15806,11,Collingwood,2020,34,0
