Feature,Gain,Cover,Frequency
coaches_votes,0.6583983535767045,0.04762361532794665,0.03655408294142796
afl_fantasy_score,0.08883958187163421,0.09725130691463627,0.07674219752030782
supercoach_score,0.023435292426718594,0.06924565612087843,0.05536554082941428
rating_points,0.017370956400450423,0.07538465688117318,0.05579307396323215
effective_disposals,0.015559836538190099,0.045988560177076185,0.09256092347156905
num_games,0.015538674282876861,0.04139745882860664,0.0506626763574177
metres_gained,0.014779198476882765,0.0790593586214221,0.05643437366395896
match_margin,0.010773950460489474,0.01926293554689805,0.037195382642154766
pressure_acts,0.010324773147483217,0.0470401607576649,0.03292005130397606
score_involvements,0.009825427405999652,0.018817884964539247,0.02907225309961522
disposal_efficiency_percentage,0.009458205636259539,0.029448356431570944,0.04959384352287302
time_on_ground_percentage,0.008842859166508179,0.02890502384560791,0.03548525010688328
effective_kicks,0.007408123151013696,0.025302137085694152,0.02394185549380077
def_half_pressure_acts,0.007145344794449145,0.013128317860520473,0.023728088926891835
clangers,0.007124926714117544,0.028452555753543125,0.027575887131252672
team_score,0.006995455008746793,0.028009528128376864,0.024583155194527577
one_percenters,0.006432357651098471,0.0075223663204600204,0.01795639162035058
team_behinds,0.006374162214754872,0.013060211635038293,0.02436938862761864
ground_ball_gets,0.006040275685496536,0.0394126006631928,0.02543822146216332
stoppage_clearances,0.005654463039925549,0.03128014416941592,0.021376656690893545
intercepts,0.005152797949804533,0.01996692464990197,0.018597691321077383
free_kicks_for,0.005022631690999143,0.013771955407280287,0.019452757588713124
score_launches,0.004753708582517047,0.015308897134312558,0.01581872595126122
match_outcome_Win,0.004378651138600624,0.004613522457353534,0.0027789653698161608
bounces,0.004100124792034642,0.017805394889672973,0.013894826849080803
aa_squad,0.003656439964167827,0.004954053584764435,0.005771697306541257
team_goals,0.003410814254779946,0.004720570608792109,0.01410859341598974
centre_clearances,0.00325455857377867,0.024651924928058584,0.013253527148353997
spoils,0.0031330396637493517,0.005938222258935149,0.008550662676357419
player_position_final_HB,0.0030403687263409747,9.512956197919388e-4,0.0021376656690893546
match_outcome_Loss,0.0030202059183860523,0.004378185103954713,0.006412997007268063
intercept_marks,0.0029081955516452734,0.026249723950633103,0.00983326207781103
tackles_inside_fifty,0.002850704643125538,0.014921669411707191,0.01175716117999145
f50_ground_ball_gets,0.002644041337622056,0.015837394700863636,0.01261222744762719
free_kicks_against,0.0024823906310647566,0.0047475433713593095,0.014963659683625482
aa_team,0.0021205624166544573,0.0038589594245361106,0.005985463873450192
marks_on_lead,0.001926892369191515,0.014391317467729618,0.012398460880718255
player_position_final_W,0.0012964714385166499,8.208148808731083e-4,0.0027789653698161608
player_position_final_F,0.00120729364765263,7.39053694341283e-4,0.001923899102180419
player_position_final_C,0.001090677501101609,0.003427732382992999,0.0025651988029072254
player_position_final_RK,8.124715895580789e-4,0.003786638704902805,0.0017101325352714834
player_position_final_HF,7.589978711966531e-4,9.008902697444837e-4,0.0025651988029072254
captain,6.557420977118348e-4,0.007664479063235956,0.0027789653698161608
