Feature,Gain,Cover,Frequency
coaches_votes,0.6418971150263186,0.02886266568346505,0.02265509210247724
afl_fantasy_score,0.07773480040909256,0.04039505418567068,0.03874655939021808
goals_prop,0.0189357112490195,0.04169385138212994,0.02879525725174677
disposals_prop,0.018620886475140926,0.05066910646326936,0.03874655939021808
supercoach_score,0.016934273347400712,0.035434539036577055,0.03662926106288376
turnovers_prop,0.011572897198635392,0.03882466271565276,0.0296421765826805
marks_prop,0.010991106949636098,0.04252751598967031,0.05780224433622697
handballs_prop,0.010533554371112155,0.04890231069238501,0.0467922930340885
kicks_prop,0.01039094462647726,0.035630943337443495,0.08680923142070718
inside_fifties_prop,0.00904662077684712,0.02109129310231467,0.0296421765826805
num_games,0.008909836278055886,0.03354770904919751,0.027313148422612746
uncontested_possessions_prop,0.008355564882348728,0.04300040359819423,0.030065636248147364
metres_gained,0.008100567192636745,0.03804966651729825,0.027948337920813044
contested_possessions_prop,0.00783532001159508,0.04286772532799518,0.029006987084480202
shots_at_goal_prop,0.00754051582260388,0.02295570096779273,0.017361846284141436
match_margin,0.007520648699399667,0.011768579425393508,0.02159644293881008
rating_points,0.007507846510922663,0.024703109189664514,0.02773660808807961
clearances_prop,0.007016237567185324,0.0349565938065716,0.023925471098877833
tackles_prop,0.006352184782146191,0.038054892726162505,0.031971204742748255
team_score,0.00597491249133804,0.006432957349752396,0.01587973745500741
effective_disposals,0.005950515470069243,0.02011281193301956,0.02244336226974381
pressure_acts,0.005867447699012019,0.013794494003515383,0.019479144611475756
contested_marks_prop,0.005044885401578794,0.024680012718232152,0.014397628625873385
time_on_ground_percentage,0.005040377860158067,0.010132776050881021,0.020114334109676054
disposal_efficiency_percentage,0.004878052100471512,0.008480282525479454,0.02244336226974381
def_half_pressure_acts,0.004675474532663173,0.00859374183404865,0.01482108829134025
goal_assists_prop,0.004114080371056684,0.018939949511450622,0.014609358458606819
match_outcome_Win,0.003945288797844747,0.00814546798340156,0.0023290281600677537
intercepts,0.0035040735053628704,0.01024269502441314,0.011856870633072199
clangers,0.0034565166178439017,0.006533941192000461,0.013127249629472792
stoppage_clearances,0.0031780924908469893,0.013962069861937048,0.010586491636671608
score_launches,0.003134535470542458,0.011554810624107119,0.011009951302138471
score_involvements,0.0030983926453111276,0.008783571226989086,0.013762439127673089
ground_ball_gets,0.0029053489196671587,0.017275317694493364,0.011009951302138471
team_behinds,0.00288994085578168,0.0035492701683614756,0.01079822146940504
free_kicks_for,0.002829305839951061,0.00945353748591031,0.009316112640271015
one_percenters,0.0027595720258527558,0.004386306523556209,0.008680923142070718
behinds_prop,0.002672352887907424,0.00648909694819748,0.011856870633072199
match_outcome_Loss,0.0024123546753468663,0.0014324869909546126,0.0031759474910014822
effective_kicks,0.002401648107830832,0.015105429491530339,0.010374761803938174
marks_inside_fifty_prop,0.002340795009257285,0.022451287518700555,0.011009951302138471
player_position_final_HB,0.0023218597538639373,4.325952240543175e-4,0.0016938386618674571
spoils,0.0023022380597128027,0.001294245337125875,0.004658056320135507
team_goals,0.0020405259946111583,0.0026104070340050864,0.006987084480203261
bounces,0.0018052811540799007,0.013522056793043141,0.00783400381113699
aa_squad,0.0016832536074469881,0.003480992278360697,0.002117298327334321
free_kicks_against,0.0012693870451421993,0.003234686112209739,0.005716705483802668
intercept_marks,0.0012028445353039078,0.016471830228459505,0.0063518949820029645
f50_ground_ball_gets,0.0011472479397073578,0.007210650946230403,0.005081515985602371
aa_team,0.0011387037080397102,0.0020260831655045937,0.0025407579928011857
tackles_inside_fifty,0.0011262991853848588,0.008475056316615198,0.005081515985602371
centre_clearances,0.0011187431858498246,0.00783358132537331,0.004869786152868939
player_position_final_C,0.001028752992471426,0.0017910723539957402,0.0019055684946008892
captain,9.87200297067503e-4,0.0030962758709982834,0.0016938386618674571
marks_on_lead,7.628675814261411e-4,5.664536059323877e-4,0.0035994071564683463
player_position_final_W,6.844759508443396e-4,1.663957467426389e-4,0.0014821088291340249
player_position_final_RK,2.7727234143909516e-4,0.0015026193421652891,0.0010586491636671606
player_position_final_F,2.058166329689564e-4,1.3790447906330153e-4,6.351894982002964e-4
player_position_final_HF,2.6634082370686765e-5,0.0016784559823401345,4.234596654668643e-4
