player_name,player_team,actual_votes,predicted_votes,coaches_votes,prediction_sum,votes_accuracy
Lachie Neale,Brisbane Lions,31,32,93,32,-1
Jack Macrae,Western Bulldogs,15,24,46,24,-9
Travis Boak,Port Adelaide,21,23,77,23,-2
Christian Petracca,Melbourne,20,22,78,22,-2
Jack Steele,St Kilda,20,22,72,22,-2
Clayton Oliver,Melbourne,14,21,34,21,-7
Taylor Adams,Collingwood,11,21,60,21,-10
Marcus Bontempelli,Western Bulldogs,10,19,59,19,-9
Sam Menegola,Geelong,5,19,41,19,-14
Dustin Martin,Richmond,15,17,42,17,-2
Zach Merrett,Essendon,13,16,55,16,-3
Cameron Guthrie,Geelong,14,15,48,15,-1
Tom Hawkins,Geelong,11,15,35,15,-4
Ollie Wines,Port Adelaide,10,14,43,14,-4
Andrew Gaff,West Coast,8,14,29,14,-6
Jarryd Lyons,Brisbane Lions,9,13,39,13,-4
Patrick Dangerfield,Geelong,15,12,44,12,3
Scott Pendlebury,Collingwood,13,12,43,12,1
Nat Fyfe,Fremantle,10,12,39,12,-2
Hugh McCluggage,Brisbane Lions,4,12,30,12,-8
David Mundy,Fremantle,3,12,36,12,-9
Luke Parker,Sydney,15,11,44,11,4
Tom Rockliff,Port Adelaide,10,10,25,10,0
Andrew Brayshaw,Fremantle,9,10,34,10,-1
Sam Walsh,Carlton,8,10,38,10,-2
Mitch Duncan,Geelong,5,10,33,10,-5
Lachie Whitfield,Greater Western Sydney,4,10,40,10,-6
Tom Mitchell,Hawthorn,10,9,23,9,1
Matt Rowell,Gold Coast,9,9,30,9,0
Josh Kelly,Greater Western Sydney,8,9,33,9,-1
Dylan Shiel,Essendon,6,9,24,9,-3
Lachie Hunter,Western Bulldogs,6,9,20,9,-3
Adam Treloar,Collingwood,4,9,24,9,-5
Josh P. Kennedy,Sydney,4,9,19,9,-5
Rory Laird,Adelaide,4,9,33,9,-5
Jack Billings,St Kilda,2,9,25,9,-7
Max Gawn,Melbourne,13,8,30,8,5
Toby Greene,Greater Western Sydney,12,8,34,8,4
Dom Sheed,West Coast,11,8,18,8,3
Tim Kelly,West Coast,11,8,34,8,3
Charlie Dixon,Port Adelaide,9,8,36,8,1
Jarrod Berry,Brisbane Lions,8,8,23,8,0
Zak Jones,St Kilda,7,8,37,8,-1
Chad Wingard,Hawthorn,6,8,29,8,-2
Jack Viney,Melbourne,6,8,30,8,-2
Jack Crisp,Collingwood,5,8,19,8,-3
Todd Goldstein,North Melbourne,5,8,32,8,-3
Trent Cotchin,Richmond,5,8,26,8,-3
Liam Ryan,West Coast,1,8,41,8,-7
Patrick Cripps,Carlton,10,7,18,7,3
Shai Bolton,Richmond,9,7,32,7,2
Bailey Smith,Western Bulldogs,7,7,26,7,0
Luke Shuey,West Coast,6,7,11,7,-1
