kicks,marks,handballs,disposals,effective_disposals,disposal_efficiency_percentage,goals,behinds,hitouts,tackles,rebounds,inside_fifties,clearances,clangers,free_kicks_for,free_kicks_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside_fifty,one_percenters,bounces,goal_assists,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,turnovers,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,hitouts_to_advantage,hitout_win_percentage,intercept_marks,marks_on_lead,pressure_acts,rating_points,ruck_contests,score_launches,shots_at_goal,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,num_games,rolling_avg_votes_per_game,kicks_prop,marks_prop,handballs_prop,disposals_prop,goals_prop,behinds_prop,tackles_prop,inside_fifties_prop,clearances_prop,contested_possessions_prop,uncontested_possessions_prop,contested_marks_prop,marks_inside_fifty_prop,goal_assists_prop,turnovers_prop,shots_at_goal_prop,match_outcome_Loss,match_outcome_Win,player_position_BPR,player_position_C,player_position_CHB,player_position_CHF,player_position_FB,player_position_FF,player_position_FPL,player_position_FPR,player_position_HBFL,player_position_HBFR,player_position_HFFL,player_position_HFFR,player_position_INT,player_position_R,player_position_RK,player_position_RR,player_position_SUB,player_position_WL,player_position_WR,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,pred_rank,predicted_votes
11,4,8,19,14,74,1,0,0,4,0,5,3,3,2,2,9,11,1,0,1,0,0,77,79,84,0,3,4,274,3,3,1,0,0,0,0,4,9,0,7,0,0,1,1,12,10.3,0,2,1,1,0,10,14,94,0,0,0,0,236,0.4,0.025404157043879907,0.021505376344086023,0.031496062992125984,0.027656477438136828,0.037037037037037035,0,0.038834951456310676,0.050505050505050504,0.046153846153846156,0.03515625,0.026378896882494004,0.047619047619047616,0,0,0.02158273381294964,0.019230769230769232,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2482982128858566e-5,Callan Ward,0,16017,13,Greater Western Sydney,2021,26,0
12,4,8,20,14,70,0,0,0,2,4,0,0,5,1,0,4,12,0,0,3,0,0,84,73,58,0,0,3,268,6,6,0,1,1,0,0,5,7,0,3,0,0,0,0,6,2.8,0,2,0,3,38,10,9,64,0,0,0,0,195,0.03888888888888889,0.027906976744186046,0.017467248908296942,0.02666666666666667,0.0273972602739726,0,0,0.024096385542168676,0,0,0.01818181818181818,0.02330097087378641,0,0,0,0.047619047619047616,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009681198745965958,Jeremy Howe,0,16104,23,Collingwood,2021,22,0
8,3,8,16,14,88,0,0,0,5,4,3,2,5,1,3,8,11,0,0,4,0,1,79,61,97,1,1,3,242,2,4,0,0,0,0,0,12,7,0,5,0,0,1,0,19,9.1,0,0,0,1,31,11,19,125,0,0,0,0,71,0.14492753623188406,0.01909307875894988,0.02040816326530612,0.03225806451612903,0.0239880059970015,0,0,0.054945054945054944,0.02608695652173913,0.03225806451612903,0.028469750889679714,0.030470914127423823,0,0,0.03333333333333333,0.013513513513513514,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.009736449457705021,Oliver Florent,0,15880,1,Sydney,2021,20,0
12,7,12,24,19,79,2,2,0,2,1,5,4,2,1,1,9,15,0,2,0,0,0,81,101,128,0,4,9,279,0,2,1,0,0,2,1,3,9,3,6,0,0,0,2,12,14.8,0,1,4,0,9,18,9,72,0,0,6,0,57,0.13636363636363635,0.029484029484029485,0.041176470588235294,0.04460966542750929,0.03550295857988166,0.1111111111111111,0.125,0.01818181818181818,0.04854368932038835,0.05555555555555555,0.03435114503816794,0.03740648379052369,0,0.09523809523809523,0,0,0.09090909090909091,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.3716785907745361,Cameron Zurhaar,0,16028,15,North Melbourne,2021,4,0
6,6,5,11,8,73,0,0,0,0,3,0,0,1,0,1,7,6,0,0,6,0,0,75,43,65,0,0,1,129,1,9,0,2,5,0,0,3,5,0,6,0,0,2,0,3,6.2,0,1,0,3,7,8,10,68,0,0,0,0,55,0,0.014814814814814815,0.031413612565445025,0.015151515151515152,0.014965986394557823,0,0,0,0,0,0.027131782945736434,0.01293103448275862,0,0,0,0.007633587786259542,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00863743107765913,Jayden Laverde,0,15953,9,Essendon,2021,27,0
19,9,2,21,18,86,0,1,0,0,4,1,0,2,0,1,4,11,2,0,6,0,0,100,86,92,0,0,3,452,1,6,0,3,9,0,0,4,16,0,2,0,0,3,0,6,7.6,0,2,1,6,31,14,12,86,1,1,2,0,163,0.11486486486486487,0.04738154613466334,0.05421686746987952,0.007722007722007722,0.031818181818181815,0,0.07142857142857142,0,0.011764705882352941,0,0.013937282229965157,0.03125,0.0625,0,0,0.007407407407407408,0.024390243902439025,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42219048738479614,Steven May,0,16043,17,Melbourne,2021,8,0
12,8,2,14,12,86,5,0,0,4,0,4,0,5,0,4,8,7,5,3,0,0,0,86,98,130,0,0,7,429,3,0,0,0,0,6,4,3,10,1,3,0,0,0,3,12,24.7,2,0,6,0,2,9,10,69,0,1,9,0,303,0.6159420289855072,0.02977667493796526,0.05517241379310345,0.006993006993006993,0.020319303338171262,0.2631578947368421,0,0.0380952380952381,0.03636363636363636,0,0.02857142857142857,0.017721518987341773,0.19230769230769232,0.14285714285714285,0,0.0234375,0.11538461538461539,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.356736660003662,Lance Franklin,0,15914,5,Sydney,2021,1,3
8,2,6,14,9,64,0,0,0,2,1,4,4,4,2,1,8,7,0,0,2,0,0,71,49,49,2,2,0,225,4,2,0,0,0,0,0,7,5,1,3,0,0,0,0,14,2.5,0,0,0,0,97,9,5,39,0,0,0,0,9,0,0.02040816326530612,0.011764705882352941,0.02564102564102564,0.022364217252396165,0,0,0.020833333333333332,0.0449438202247191,0.05333333333333334,0.032388663967611336,0.018421052631578946,0,0,0,0.03333333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.013681698590517044,Xavier O'Neill,0,15921,6,West Coast,2021,27,0
3,3,5,8,7,88,0,0,16,2,0,1,1,2,1,0,3,5,0,0,6,0,0,81,53,47,0,1,1,-9,0,2,1,0,0,3,0,2,3,1,2,4,37.2,1,1,10,4.9,43,1,0,4,12,8,14,92,0,0,0,1,241,0.09134615384615384,0.0069124423963133645,0.015957446808510637,0.01639344262295082,0.010825439783491205,0,0,0.014184397163120567,0.01,0.011494252873563218,0.010452961672473868,0.011312217194570135,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.001903314609080553,Ben McEvoy,0,16075,20,Hawthorn,2021,27,0
5,4,5,10,7,70,2,1,0,3,0,1,1,2,0,1,4,5,1,2,1,0,0,83,59,60,0,1,5,147,1,0,1,0,1,2,1,5,2,1,3,0,0,0,1,14,7.3,1,1,3,1,14,5,11,71,0,0,0,0,4,0,0.012594458438287154,0.022222222222222223,0.01730103806228374,0.014577259475218658,0.09090909090909091,0.125,0.028037383177570093,0.0136986301369863,0.014285714285714285,0.01639344262295082,0.01126126126126126,0.07142857142857142,0.08333333333333333,0,0.009523809523809525,0.08823529411764706,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.012566099874675274,Cooper Sharman,0,16090,22,St Kilda,2021,34,0
9,7,3,12,9,75,3,1,0,4,0,2,0,3,0,2,8,6,3,4,2,0,1,89,83,103,0,0,6,216,3,2,4,0,0,3,2,1,6,3,5,0,0,0,3,12,17,0,0,5,1,41,9,9,63,0,0,0,0,40,0.041666666666666664,0.021479713603818614,0.03867403314917127,0.010238907849829351,0.016853932584269662,0.13636363636363635,0.07692307692307693,0.03076923076923077,0.019801980198019802,0,0.03018867924528302,0.013824884792626729,0.14285714285714285,0.2,0.07692307692307693,0.02142857142857143,0.11363636363636363,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.09829217195510864,Darcy Fogarty,0,16094,22,Adelaide,2021,39,0
