player_team,actual_votes,predicted_votes,coaches_votes,prediction_sum,votes_accuracy
Melbourne,0,145,477,145,-145
Port Adelaide,0,115,429,115,-115
Brisbane Lions,0,110,432,110,-110
Western Bulldogs,0,110,424,110,-110
Geelong,0,108,410,108,-108
Essendon,0,106,362,106,-106
Sydney,0,94,394,94,-94
Greater Western Sydney,0,90,351,90,-90
West Coast,0,81,300,81,-81
St Kilda,0,79,320,79,-79
Fremantle,0,75,287,75,-75
Hawthorn,0,74,259,74,-74
Carlton,0,73,264,73,-73
Adelaide,0,69,262,69,-69
Gold Coast,0,69,234,69,-69
Collingwood,0,61,198,61,-61
Richmond,0,55,250,55,-55
North Melbourne,0,45,206,45,-45
