Feature,Gain,Cover,Frequency
coaches_votes,0.637187283386729,0.03135925451345647,0.02456778889899909
afl_fantasy_score,0.057213240473245025,0.02772053994557632,0.027979981801637854
supercoach_score,0.03064325139114767,0.02186246004771865,0.027525022747952686
disposals_prop,0.018504913249868568,0.03550719855679497,0.027070063694267517
goals_prop,0.011050185058763798,0.019507758956245437,0.016606005459508643
contested_possessions_prop,0.010902837422281639,0.037856959098956734,0.025477707006369428
shots_at_goal_prop,0.009198799687839012,0.029447261929926777,0.016606005459508643
handballs_prop,0.00811021776215806,0.03428423615402233,0.022520473157415833
goals,0.007973415453420708,0.00636289816857366,0.008871701546860783
clearances_prop,0.007543295726645933,0.025947412087336207,0.017060964513193812
uncontested_possessions_prop,0.00747257098598577,0.03997080841149694,0.02343039126478617
match_margin,0.007274632737878128,0.006319668362098505,0.019790718835304824
rating_points,0.007189318021470492,0.03277525123575489,0.027070063694267517
kicks_prop,0.006942056952843508,0.036658346546361936,0.027070063694267517
num_games,0.006725970488090514,0.01200059427750289,0.025477707006369428
tackles_prop,0.006662795133575917,0.031401425630793456,0.025477707006369428
match_outcome_Loss,0.006642321588177417,0.0032791131572827404,0.0043221110100090995
turnovers_prop,0.0065349891598145355,0.03656394676487538,0.021610555050045496
marks_prop,0.0058341564949445915,0.03806252123995083,0.02456778889899909
inside_fifties_prop,0.00580756241601013,0.032299194019959114,0.020928116469517744
disposal_efficiency_percentage,0.005316632997066535,0.004696697913288419,0.02024567788898999
team_score,0.005135031426072561,0.006114988462052876,0.01251137397634213
pressure_acts,0.0050701081283053015,0.015532204794238473,0.01364877161055505
time_on_ground_percentage,0.004491732590110951,0.006201095178623796,0.01797088262056415
metres_gained,0.004417204138458325,0.027438575738444496,0.020018198362147407
effective_kicks,0.0043942088294853755,0.007551629622545562,0.00932666060054595
marks_inside_fifty_prop,0.0039625827628211145,0.008235542805801476,0.007961783439490446
effective_disposals,0.0038187049592392033,0.020671611215470412,0.01569608735213831
contest_def_one_on_ones,0.003797953177732294,0.001929108057930058,0.002957233848953594
handballs,0.003655966962220271,0.007851062200457141,0.027070063694267517
def_half_pressure_acts,0.0036347778989782253,0.010191647436754794,0.014558689717925387
kicks,0.0034860316207964708,0.0067004435554592545,0.06619654231119199
marks,0.0033550661873937154,0.007207732100830965,0.029799818016378526
team_behinds,0.0033285541898395374,0.008705953679527034,0.014786169244767972
score_launches,0.00295099819890762,0.009129605782983548,0.0077343039126478615
goal_assists_prop,0.0029463574004942863,0.012788258996299175,0.009099181073703366
score_involvements,0.002923621889847463,0.017002724007152505,0.010464058234758872
intercept_marks,0.0028684761594323905,0.013352363858752518,0.0077343039126478615
intercepts,0.0028484356952724107,0.01227179514506335,0.00932666060054595
ground_ball_gets,0.002810876469057324,0.013567454201990124,0.011373976342129208
clangers,0.0027103697959367907,0.007216730958505385,0.009781619654231119
one_percenters,0.002702244774598448,0.005514888168901853,0.008644222020018199
behinds_prop,0.00257831576692811,0.0077279013640503755,0.007279344858962694
disposals,0.0024863446257700284,0.009218712118779275,0.01364877161055505
contested_possessions,0.002407384828734538,0.010242111619007422,0.011146496815286623
team_goals,0.00239018706925528,0.0012279029520840825,0.008416742493175615
tackles,0.002345569469343592,0.011089062929541062,0.013421292083712465
free_kicks_for,0.002321681383100979,0.00718444093979129,0.00818926296633303
uncontested_possessions,0.0023080968290827937,0.007547747762372282,0.008644222020018199
ruck_contests,0.002264543349464993,0.005897604292349242,0.005686988171064604
free_kicks_against,0.0021839432481481863,0.0011236220719746282,0.009099181073703366
player_position_final_C,0.0020715010285256834,0.0039843765714916895,0.002502274795268426
clearances,0.0020151607103083063,0.0074912843416700394,0.008416742493175615
