Feature,Gain,Cover,Frequency,na_prop,zero_prop
coaches_votes,63.3%,0.036822658,0.024810476,0,86%
afl_fantasy_score,5.6%,0.034291756,0.030323915,0,0%
supercoach_score,3.4%,0.024452924,0.028026648,0,0%
disposals_prop,1.9%,0.025192928,0.026188835,0,0%
goals_prop,1.2%,0.030925923,0.02044567,0,68%
contested_possessions_prop,1.0%,0.034555891,0.025269929,0,2%
match_margin,0.9%,0.004522065,0.021594303,0,2%
shots_at_goal_prop,0.9%,0.032177436,0.016540317,0,50%
turnovers_prop,0.8%,0.029594835,0.027567195,0,8%
handballs_prop,0.8%,0.035374765,0.029405008,0,2%
kicks_prop,0.8%,0.032188199,0.038594073,0,1%
goals,0.8%,0.011831406,0.008040432,0,68%
num_games,0.8%,0.017581693,0.023661842,0,0%
uncontested_possessions_prop,0.8%,0.047891829,0.026878015,0,1%
rating_points,0.8%,0.019530333,0.027107742,0.001122209,0%
clearances_prop,0.7%,0.035972555,0.019986216,0,46%
marks_prop,0.7%,0.025829359,0.029634735,0,5%
tackles_prop,0.7%,0.0406603,0.026878015,0,14%
match_outcome_Loss,0.6%,0.002530373,0.003675626,0,51%
inside_fifties_prop,0.6%,0.025051773,0.022283483,0,18%
team_score,0.6%,0.01363695,0.014702504,0,0%
disposal_efficiency_percentage,0.6%,0.004632166,0.019526763,0,0%
metres_gained,0.6%,0.026090495,0.022513209,0,0%
pressure_acts,0.5%,0.024232017,0.02044567,0,0%
uncontested_possessions,0.4%,0.009737906,0.012634964,0,1%
time_on_ground_percentage,0.4%,0.006949043,0.016540317,0,0%
kicks,0.4%,0.008732355,0.060418102,0,1%
disposals,0.4%,0.010255238,0.015621411,0,0%
marks_inside_fifty_prop,0.4%,0.020996576,0.008959338,0,70%
contest_def_one_on_ones,0.4%,0.003566448,0.003445899,0,67%
handballs,0.4%,0.007156364,0.021824029,0,2%
marks,0.3%,0.002616125,0.025040202,0,5%
def_half_pressure_acts,0.3%,0.011409706,0.010567425,0,5%
behinds_prop,0.3%,0.017394839,0.010567425,0,72%
effective_kicks,0.3%,0.012480893,0.011256605,0,2%
one_percenters,0.3%,0.00573529,0.009648518,0,24%
clangers,0.3%,0.008077927,0.009418792,0,11%
intercepts,0.3%,0.01088761,0.009648518,0,15%
ground_ball_gets,0.3%,0.011464051,0.010337698,0,5%
team_behinds,0.3%,0.006615565,0.014013324,0,0%
effective_disposals,0.3%,0.015576415,0.011945785,0,0%
team_goals,0.3%,0.004525065,0.009648518,0,0%
intercept_marks,0.3%,0.023222056,0.007351252,0,61%
contested_possessions,0.2%,0.004487659,0.009878245,0,2%
tackles,0.2%,0.006789538,0.011026878,0,14%
rebounds,0.2%,0.004105836,0.007810705,0,37%
goal_assists_prop,0.2%,0.0132733,0.009189065,0,72%
contested_marks_prop,0.2%,0.018114728,0.007810705,0,67%
player_position_final_C,0.2%,0.004285808,0.002297266,0,83%
score_involvements,0.2%,0.008118509,0.009189065,0,6%
match_outcome_Win,0.2%,0.005373051,0.002526993,0,51%
contest_off_one_on_ones,0.2%,0.002526139,0.003216173,0,67%
bounces,0.2%,0.022569921,0.008959338,0,85%
free_kicks_against,0.2%,0.002268179,0.003905353,0,45%
shots_at_goal,0.2%,0.004535652,0.004594533,0,50%
clearances,0.1%,0.007339159,0.007580979,0,46%
stoppage_clearances,0.1%,0.002297115,0.004594533,0,51%
score_launches,0.1%,0.010186778,0.006662072,0,43%
inside_fifties,0.1%,0.00174026,0.007121525,0,18%
spoils,0.1%,0.001788606,0.006202619,0,44%
tackles_inside_fifty,0.1%,0.00452877,0.005053986,0,70%
aa_team,0.1%,0.004500539,0.002526993,0,95%
f50_ground_ball_gets,0.1%,0.004287572,0.005972892,0,60%
free_kicks_for,0.1%,0.008287189,0.006891799,0,45%
centre_clearances,0.1%,0.006219274,0.004364806,0,73%
player_position_final_HB,0.1%,7.44E-04,0.001148633,0,84%
behinds,0.1%,0.004659338,0.004364806,0,72%
aa_squad,0.1%,0.001780313,0.00206754,0,90%
player_position_final_HF,0.1%,4.81E-04,0.001837813,0,83%
contested_marks,0.1%,0.004838781,0.002526993,0,67%
player_position_final_RK,0.0%,0.001514236,0.00137836,0,95%
marks_on_lead,0.0%,0.00511615,0.004364806,0,76%
contest_off_wins,0.0%,0.008381939,0.002526993,0,85%
player_position_final_W,0.0%,2.26E-04,0.001608086,0,88%
player_position_final_F,0.0%,0.001762316,0.001608086,0,83%
goal_assists,0.0%,0.001523411,0.001837813,0,72%
marks_inside_fifty,0.0%,0.003937862,0.002986446,0,70%
captain,0.0%,0.004422375,9.19E-04,0,96%
contest_def_losses,0.0%,1.87E-05,4.59E-04,0,85%
