kicks,kicks_prop,marks,marks_prop,handballs,handballs_prop,disposals,disposals_prop,effective_disposals,disposal_efficiency_percentage,goals,goals_prop,behinds,behinds_prop,tackles,tackles_prop,rebounds,inside_fifties,inside_fifties_prop,clearances,clearances_prop,clangers,free_kicks_for,free_kicks_against,contested_possessions,contested_possessions_prop,uncontested_possessions,uncontested_possessions_prop,contested_marks,contested_marks_prop,marks_inside_fifty,marks_inside_fifty_prop,one_percenters,bounces,goal_assists,goal_assists_prop,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,turnovers_prop,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,intercept_marks,marks_on_lead,pressure_acts,rating_points,score_launches,shots_at_goal,shots_at_goal_prop,spoils,margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,num_games,match_outcome_Loss,match_outcome_Win,player_position_final_C,player_position_final_F,player_position_final_HB,player_position_final_HF,player_position_final_INT,player_position_final_RK,player_position_final_W,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,pred_rank,predicted_votes
6,0.013015184381778741,4,0.019801980198019802,5,0.019230769230769232,11,0.015256588072122053,9,82,0,0,0,0,1,0.007874015748031496,5,0,0,0,0,1,0,0,1,0.0038461538461538464,9,0.020224719101123594,0,0,0,0,11,0,0,0,90,44,53,0,0,3,143,0.022900763358778626,5,0,1,5,0,0,5,4,0,1,1,0,6,8.7,2,0,0,11,-37,10,11,76,0,0,0,0,87,1,0,0,0,0,0,0,0,1,-0.010759859345853329,Tim O'Brien,0,15983,11,Hawthorn,2021,34,0
9,0.021377672209026127,6,0.032432432432432434,5,0.01607717041800643,14,0.01912568306010929,12,86,2,0.09090909090909091,0,0,0,0,0,2,0.02,0,0,1,0,0,6,0.021505376344086023,8,0.017699115044247787,1,0.03571428571428571,2,0.09523809523809523,0,0,1,0.0625,68,67,71,0,0,7,244,0.013513513513513514,3,0,0,0,1,0,0,7,3,5,1,2,17,16.1,1,2,0.041666666666666664,0,62,12,16,108,0,0,0,0,29,0,1,0,0,0,1,0,0,0,0.038683559745550156,Sam Switkowski,0,16045,17,Fremantle,2021,17,0
15,0.032397408207343416,2,0.00980392156862745,21,0.06461538461538462,36,0.04568527918781726,26,72,0,0,0,0,5,0.033112582781456956,1,4,0.0380952380952381,9,0.10588235294117647,7,1,3,18,0.06040268456375839,17,0.03497942386831276,0,0,0,0,1,0,1,0.05555555555555555,79,105,94,3,6,1,334,0.056338028169014086,2,0,0,0,0,0,11,7,0,10,0,0,23,19.3,0,0,0,0,-40,6,9,60,0,1,0,0,218,1,0,1,0,0,0,0,0,0,0.10153953731060028,Luke Parker,0,15922,6,Sydney,2021,10,0
27,0.06264501160092807,3,0.021739130434782608,14,0.044444444444444446,41,0.054959785522788206,24,59,0,0,0,0,5,0.028409090909090908,2,12,0.10714285714285714,11,0.12087912087912088,9,1,2,17,0.049707602339181284,23,0.05764411027568922,0,0,0,0,0,0,1,0.06666666666666667,83,133,129,3,8,7,940,0.05555555555555555,4,0,0,0,1,0,6,14,1,12,0,0,17,18.1,4,0,0,0,-1,10,9,64,0,1,8,0,100,1,0,1,0,0,0,0,0,0,1.5596145391464233,Jacob Hopper,0,16048,17,Greater Western Sydney,2021,3,1
22,0.045174537987679675,8,0.03225806451612903,10,0.035211267605633804,32,0.041504539559014265,21,66,0,0,0,0,4,0.04040404040404041,5,5,0.04807692307692308,4,0.056338028169014086,5,1,0,15,0.055970149253731345,18,0.03696098562628337,2,0.05555555555555555,0,0,0,1,0,0,82,127,107,2,2,5,430,0.06944444444444445,4,2,1,1,2,2,9,11,0,11,0,0,16,12.3,0,0,0,0,54,9,14,93,0,0,0,0,83,0,1,1,0,0,0,0,0,0,1.2323085069656372,Dan Houston,0,15928,6,Port Adelaide,2021,6,0
14,0.034739454094292806,6,0.03614457831325301,5,0.0165016501650165,19,0.026912181303116147,15,79,1,0.03225806451612903,0,0,1,0.009174311926605505,5,3,0.026785714285714284,0,0,3,1,1,6,0.020689655172413793,13,0.03178484107579462,0,0,1,0.03125,1,3,0,0,80,78,105,0,0,2,452,0.00641025641025641,6,0,0,2,0,0,5,10,0,5,1,0,5,13.5,1,1,0.01818181818181818,1,3,12,15,102,0,0,0,0,127,0,1,0,0,1,0,0,0,0,-0.09715665876865387,Jarman Impey,0,15926,6,Hawthorn,2021,42,0
1,0.0022371364653243847,2,0.008888888888888889,6,0.018575851393188854,7,0.00909090909090909,6,86,0,0,0,0,1,0.009900990099009901,1,0,0,0,0,2,0,1,4,0.01593625498007968,3,0.005870841487279843,0,0,0,0,8,0,0,0,95,22,35,0,0,1,31,0.006993006993006993,4,0,1,3,0,0,6,1,0,4,0,0,9,6.1,1,0,0,8,-128,9,5,39,0,0,0,0,18,1,0,0,0,0,0,0,0,0,-0.006803759373724461,Ben McKay,0,15894,3,North Melbourne,2021,32,0
12,0.02536997885835095,9,0.04591836734693878,6,0.02097902097902098,18,0.023715415019762844,16,89,0,0,0,0,1,0.008547008547008548,0,1,0.011764705882352941,0,0,0,0,0,2,0.007633587786259542,15,0.03171247357293869,0,0,0,0,8,0,0,0,85,79,91,0,0,3,157,0.006622516556291391,6,0,0,1,0,0,2,10,0,2,2,0,3,9.5,1,0,0,7,-40,10,2,22,0,0,0,0,84,1,0,0,0,1,0,0,0,0,0.021835215389728546,Nathan Broad,0,16026,15,Richmond,2021,20,0
3,0.007009345794392523,3,0.016042780748663103,4,0.011976047904191617,7,0.009186351706036745,5,71,0,0,0,0,3,0.03225806451612903,0,0,0,0,0,1,1,0,4,0.0149812734082397,4,0.008403361344537815,0,0,0,0,1,0,1,0.08333333333333333,71,39,41,0,0,3,55,0.006493506493506494,1,0,0,0,0,0,8,3,0,3,0,0,22,3.7,1,0,0,0,-30,5,7,47,0,0,0,0,3,1,0,0,1,0,0,0,0,0,-0.0016256606904789805,Will Phillips,0,15919,5,North Melbourne,2021,26,0
9,0.020361990950226245,5,0.022123893805309734,6,0.01639344262295082,15,0.018564356435643563,11,73,0,0,0,0,5,0.05555555555555555,2,0,0,0,0,0,3,0,6,0.02654867256637168,10,0.01730103806228374,0,0,0,0,3,0,0,0,91,77,79,0,0,2,183,0.014084507042253521,8,0,0,0,0,0,10,7,0,4,2,0,11,6.7,3,0,0,2,-33,8,8,56,0,0,0,0,99,1,0,0,0,1,0,0,0,0,0.04680128023028374,Kayne Turner,0,16081,21,North Melbourne,2021,22,0
23,0.050997782705099776,5,0.029239766081871343,1,0.0033112582781456954,24,0.03187250996015936,18,75,0,0,0,0,1,0.012345679012345678,11,1,0.008620689655172414,1,0.013513513513513514,3,1,0,5,0.017543859649122806,13,0.02947845804988662,0,0,0,0,2,1,0,0,91,91,94,0,1,3,740,0.06338028169014084,6,0,1,4,0,0,12,17,0,4,0,0,14,9.6,2,0,0,2,-25,14,11,80,0,0,0,1,109,1,0,0,0,1,0,0,0,0,-0.1158231571316719,Sam Docherty,0,15875,1,Carlton,2021,45,0
12,0.029197080291970802,6,0.03260869565217391,5,0.020242914979757085,17,0.025835866261398176,11,65,0,0,0,0,1,0.009259259259259259,1,4,0.043010752688172046,2,0.02564102564102564,4,2,0,4,0.015037593984962405,13,0.032663316582914576,0,0,0,0,0,0,1,0.07692307692307693,83,70,61,1,1,6,407,0.03225806451612903,2,0,0,0,0,0,6,9,1,2,1,0,6,5.3,2,0,0,0,97,10,21,136,0,0,0,0,109,0,1,0,0,1,0,0,0,0,0.011719862930476665,Jed Bews,0,15921,6,Geelong,2021,24,0
9,0.022388059701492536,2,0.011904761904761904,6,0.024489795918367346,15,0.023183925811437404,10,67,0,0,0,0,4,0.0392156862745098,4,2,0.020618556701030927,0,0,4,1,0,4,0.01652892561983471,10,0.02680965147453083,0,0,0,0,2,0,1,0.04,79,62,59,0,0,2,128,0.03333333333333333,3,0,0,1,0,0,12,4,0,3,0,0,16,3.5,0,0,0,2,-21,7,14,91,0,0,0,0,117,1,0,0,0,1,0,0,0,0,0.006233062595129013,Darcy Byrne-Jones,0,16009,13,Port Adelaide,2021,25,0
5,0.010822510822510822,4,0.01834862385321101,17,0.06367041198501873,22,0.03017832647462277,13,59,0,0,0,0,5,0.040983606557377046,0,1,0.011235955056179775,2,0.02666666666666667,4,0,0,9,0.03202846975088968,13,0.02981651376146789,1,0.043478260869565216,0,0,1,1,1,0.058823529411764705,89,81,79,0,2,3,107,0.02054794520547945,2,0,1,1,0,0,19,3,0,6,0,0,26,2,0,0,0,1,-20,4,13,82,0,0,0,0,228,1,0,0,0,0,0,0,0,1,0.06481139361858368,Jack Redden,0,15905,4,West Coast,2021,17,0
20,0.04329004329004329,15,0.06912442396313365,3,0.010309278350515464,23,0.03054448871181939,18,78,0,0,0,0,0,0,2,1,0.01098901098901099,0,0,4,1,2,3,0.010676156583629894,22,0.04602510460251046,0,0,0,0,3,1,1,0.05263157894736842,86,106,77,0,0,3,279,0.03007518796992481,3,0,3,4,0,0,6,15,0,2,1,0,6,0.4,1,0,0,1,27,7,16,103,0,0,0,0,19,0,1,0,0,1,0,0,0,0,0.15088054537773132,Josh Rotham,0,15912,5,West Coast,2021,11,0
13,0.029885057471264367,7,0.03365384615384615,13,0.039755351681957186,26,0.03412073490813648,17,65,1,0.04,1,0.043478260869565216,5,0.06097560975609756,1,7,0.06542056074766354,3,0.04477611940298507,1,2,0,10,0.038461538461538464,14,0.02857142857142857,1,0.03125,0,0,3,0,1,0.06666666666666667,74,115,120,2,1,8,304,0.029411764705882353,2,0,0,0,1,0,11,8,3,6,1,1,20,12.5,3,2,0.03636363636363636,1,-15,9,12,81,0,0,0,0,180,1,0,0,0,0,1,0,0,0,0.17832328379154205,Chad Wingard,0,15910,4,Hawthorn,2021,7,0
21,0.0457516339869281,7,0.061946902654867256,3,0.010752688172043012,24,0.032520325203252036,20,83,0,0,0,0,2,0.012578616352201259,10,1,0.009009009009009009,0,0,4,2,2,7,0.021538461538461538,9,0.024456521739130436,2,0.125,0,0,16,1,0,0,100,94,160,0,0,2,445,0.03076923076923077,13,0,5,10,0,0,4,17,0,3,6,0,5,16.9,2,0,0,16,-6,12,8,60,0,0,0,0,77,1,0,0,0,0,0,0,0,0,0.5085872411727905,Dougal Howard,0,16016,13,St Kilda,2021,7,0
6,0.015,4,0.022598870056497175,6,0.01892744479495268,12,0.016736401673640166,9,75,1,0.043478260869565216,2,0.16666666666666666,4,0.034482758620689655,0,1,0.01020408163265306,2,0.02631578947368421,4,3,1,7,0.026923076923076925,6,0.013157894736842105,0,0,2,0.09090909090909091,2,0,1,0.0625,92,67,59,0,2,5,94,0.023076923076923078,2,1,0,0,2,2,3,3,3,3,0,1,8,2.4,1,3,0.07142857142857142,2,-38,9,8,57,0,0,0,0,189,1,0,0,1,0,0,0,0,0,-0.03149935603141785,Tom J. Lynch,0,16068,19,Richmond,2021,40,0
