player_name,player_team,actual_votes,predicted_votes,coaches_votes,prediction_sum,votes_accuracy
Clayton Oliver,Melbourne,0,32,114,32,-32
Marcus Bontempelli,Western Bulldogs,0,31,101,31,-31
Ollie Wines,Port Adelaide,0,27,101,27,-27
Touk Miller,Gold Coast,0,27,97,27,-27
Christian Petracca,Melbourne,0,25,86,25,-25
Jack Steele,St Kilda,0,24,100,24,-24
Jarryd Lyons,Brisbane Lions,0,23,66,23,-23
Tom Mitchell,Hawthorn,0,23,61,23,-23
Zach Merrett,Essendon,0,22,91,22,-22
Sam Walsh,Carlton,0,21,92,21,-21
Darcy Parish,Essendon,0,19,81,19,-19
Jack Macrae,Western Bulldogs,0,18,60,18,-18
David Mundy,Fremantle,0,17,69,17,-17
Rory Laird,Adelaide,0,17,74,17,-17
Cameron Guthrie,Geelong,0,16,55,16,-16
Max Gawn,Melbourne,0,16,63,16,-16
Dayne Zorko,Brisbane Lions,0,15,62,15,-15
Luke Parker,Sydney,0,15,52,15,-15
Travis Boak,Port Adelaide,0,15,50,15,-15
Karl Amon,Port Adelaide,0,14,44,14,-14
Hugh McCluggage,Brisbane Lions,0,13,66,13,-13
Jack Crisp,Collingwood,0,13,36,13,-13
Tim Taranto,Greater Western Sydney,0,13,46,13,-13
Josh Kelly,Greater Western Sydney,0,12,55,12,-12
Ben Cunnington,North Melbourne,0,11,46,11,-11
Callum Mills,Sydney,0,11,42,11,-11
Dustin Martin,Richmond,0,11,42,11,-11
Jaeger O'Meara,Hawthorn,0,11,41,11,-11
Shai Bolton,Richmond,0,11,35,11,-11
Andrew Brayshaw,Fremantle,0,10,35,10,-10
Callan Ward,Greater Western Sydney,0,10,33,10,-10
Jacob Hopper,Greater Western Sydney,0,10,51,10,-10
Jake Stringer,Essendon,0,10,45,10,-10
Luke Dunstan,St Kilda,0,10,31,10,-10
Taylor Walker,Adelaide,0,10,38,10,-10
Tim Kelly,West Coast,0,10,37,10,-10
Brodie Grundy,Collingwood,0,9,27,9,-9
Dom Sheed,West Coast,0,9,35,9,-9
Isaac Heeney,Sydney,0,9,41,9,-9
Joel Selwood,Geelong,0,9,30,9,-9
Lance Franklin,Sydney,0,9,32,9,-9
Mitch Duncan,Geelong,0,9,30,9,-9
Nat Fyfe,Fremantle,0,9,28,9,-9
Aaron Hall,North Melbourne,0,8,31,8,-8
Harry McKay,Carlton,0,8,28,8,-8
Jy Simpkin,North Melbourne,0,8,33,8,-8
Patrick Dangerfield,Geelong,0,8,36,8,-8
Taylor Adams,Collingwood,0,8,30,8,-8
Adam Treloar,Western Bulldogs,0,7,25,7,-7
Bailey Smith,Western Bulldogs,0,7,26,7,-7
Ben Keays,Adelaide,0,7,31,7,-7
Brad Crouch,St Kilda,0,7,23,7,-7
Daniel Rich,Brisbane Lions,0,7,29,7,-7
Sean Darcy,Fremantle,0,7,46,7,-7
Toby Greene,Greater Western Sydney,0,7,41,7,-7
Tom Hawkins,Geelong,0,7,34,7,-7
Tom Stewart,Geelong,0,7,54,7,-7
Aliir Aliir,Port Adelaide,0,6,34,6,-6
Andrew Gaff,West Coast,0,6,23,6,-6
Bayley Fritsch,Melbourne,0,6,20,6,-6
Chad Wingard,Hawthorn,0,6,38,6,-6
Charlie Cameron,Brisbane Lions,0,6,29,6,-6
Christian Salem,Melbourne,0,6,42,6,-6
Jack Riewoldt,Richmond,0,6,30,6,-6
Jeremy Cameron,Geelong,0,6,23,6,-6
Steven May,Melbourne,0,6,27,6,-6
Tom Liberatore,Western Bulldogs,0,6,40,6,-6
Tom Papley,Sydney,0,6,26,6,-6
Zac Bailey,Brisbane Lions,0,6,28,6,-6
Zach Tuohy,Geelong,0,6,22,6,-6
Bailey Dale,Western Bulldogs,0,5,28,5,-5
Charlie Dixon,Port Adelaide,0,5,30,5,-5
Daniel Howe,Hawthorn,0,5,9,5,-5
Ed Curnow,Carlton,0,5,15,5,-5
Jack Darling,West Coast,0,5,23,5,-5
Jack Graham,Richmond,0,5,25,5,-5
Josh P. Kennedy,Sydney,0,5,16,5,-5
Lachie Whitfield,Greater Western Sydney,0,5,23,5,-5
Oscar Allen,West Coast,0,5,16,5,-5
Peter Wright,Essendon,0,5,27,5,-5
Rory Sloane,Adelaide,0,5,18,5,-5
Tom McDonald,Melbourne,0,5,39,5,-5
Bachar Houli,Richmond,0,4,5,4,-4
Brayden Maynard,Collingwood,0,4,28,4,-4
Dan Houston,Port Adelaide,0,4,16,4,-4
Jack Redden,West Coast,0,4,7,4,-4
Jack Ziebell,North Melbourne,0,4,18,4,-4
Jamie Cripps,West Coast,0,4,13,4,-4
Jordan Dawson,Sydney,0,4,25,4,-4
Josh Dunkley,Western Bulldogs,0,4,19,4,-4
Liam Ryan,West Coast,0,4,10,4,-4
Max King,St Kilda,0,4,15,4,-4
Nic Naitanui,West Coast,0,4,70,4,-4
Noah Anderson,Gold Coast,0,4,23,4,-4
Oliver Florent,Sydney,0,4,12,4,-4
Sam Menegola,Geelong,0,4,19,4,-4
Shannon Hurn,West Coast,0,4,20,4,-4
Tim Membrey,St Kilda,0,4,17,4,-4
Tom Green,Greater Western Sydney,0,4,20,4,-4
Tom Hickey,Sydney,0,4,37,4,-4
Willem Drew,Port Adelaide,0,4,17,4,-4
Adam Cerra,Fremantle,0,3,21,3,-3
Andrew McGrath,Essendon,0,3,15,3,-3
Bradley Hill,St Kilda,0,3,13,3,-3
Brandan Parfitt,Geelong,0,3,23,3,-3
Brandon Ellis,Gold Coast,0,3,19,3,-3
Caleb Serong,Fremantle,0,3,22,3,-3
Cooper Sharman,St Kilda,0,3,8,3,-3
Darcy Moore,Collingwood,0,3,24,3,-3
Devon Smith,Essendon,0,3,10,3,-3
Jack Billings,St Kilda,0,3,13,3,-3
Jack Silvagni,Carlton,0,3,10,3,-3
Jaidyn Stephenson,North Melbourne,0,3,19,3,-3
Jake Lloyd,Sydney,0,3,20,3,-3
Jamie Elliott,Collingwood,0,3,15,3,-3
Jordan Ridley,Essendon,0,3,21,3,-3
Josh Bruce,Western Bulldogs,0,3,16,3,-3
Lachie Neale,Brisbane Lions,0,3,17,3,-3
Liam Baker,Richmond,0,3,9,3,-3
Luke Shuey,West Coast,0,3,9,3,-3
Matt Taberner,Fremantle,0,3,9,3,-3
Mitch Robinson,Brisbane Lions,0,3,9,3,-3
Nick Hind,Essendon,0,3,9,3,-3
Nick Larkey,North Melbourne,0,3,11,3,-3
Oscar McInerney,Brisbane Lions,0,3,23,3,-3
Patrick Cripps,Carlton,0,3,23,3,-3
Paul Seedsman,Adelaide,0,3,26,3,-3
Sam Docherty,Carlton,0,3,16,3,-3
Sam Taylor,Greater Western Sydney,0,3,24,3,-3
Sam Wicks,Sydney,0,3,10,3,-3
Scott Pendlebury,Collingwood,0,3,17,3,-3
Shane Edwards,Richmond,0,3,5,3,-3
Tim English,Western Bulldogs,0,3,9,3,-3
Zac Williams,Carlton,0,3,10,3,-3
Zak Butters,Port Adelaide,0,3,12,3,-3
Zak Jones,St Kilda,0,3,12,3,-3
Alex Neal-Bullen,Melbourne,0,2,2,2,-2
Anthony McDonald-Tipungwuti,Essendon,0,2,12,2,-2
Ben Ainsworth,Gold Coast,0,2,7,2,-2
Ben King,Gold Coast,0,2,14,2,-2
Caleb Daniel,Western Bulldogs,0,2,20,2,-2
Changkuoth Jiath,Hawthorn,0,2,15,2,-2
Cody Weightman,Western Bulldogs,0,2,5,2,-2
Darcy Byrne-Jones,Port Adelaide,0,2,19,2,-2
Dion Prestia,Richmond,0,2,12,2,-2
Eric Hipwood,Brisbane Lions,0,2,16,2,-2
Errol Gulden,Sydney,0,2,11,2,-2
Gary Rohan,Geelong,0,2,14,2,-2
Harris Andrews,Brisbane Lions,0,2,25,2,-2
Harry Schoenberg,Adelaide,0,2,6,2,-2
Jack Higgins,St Kilda,0,2,14,2,-2
Jacob Weitering,Carlton,0,2,39,2,-2
Jade Gresham,St Kilda,0,2,6,2,-2
Jordan Roughead,Collingwood,0,2,6,2,-2
Josh Corbett,Gold Coast,0,2,5,2,-2
Lachlan Sholl,Adelaide,0,2,11,2,-2
Liam Shiels,Hawthorn,0,2,3,2,-2
Luke Davies-Uniacke,North Melbourne,0,2,6,2,-2
Luke Ryan,Fremantle,0,2,18,2,-2
Matthew Kennedy,Carlton,0,2,7,2,-2
Nathan Broad,Richmond,0,2,5,2,-2
Orazio Fantasia,Port Adelaide,0,2,12,2,-2
Paddy Ryder,St Kilda,0,2,11,2,-2
Peter Ladhams,Port Adelaide,0,2,0,2,-2
Reilly O'Brien,Adelaide,0,2,16,2,-2
Ryan Burton,Port Adelaide,0,2,9,2,-2
Sam Reid,Sydney,0,2,8,2,-2
Steven Motlop,Port Adelaide,0,2,9,2,-2
Toby Nankervis,Richmond,0,2,14,2,-2
Tom Clurey,Port Adelaide,0,2,7,2,-2
Tom McCartin,Sydney,0,2,16,2,-2
Trent Cotchin,Richmond,0,2,9,2,-2
Wil Powell,Gold Coast,0,2,8,2,-2
Will Hayward,Sydney,0,2,9,2,-2
Aaron Naughton,Western Bulldogs,0,1,28,1,-1
Alex Keath,Western Bulldogs,0,1,28,1,-1
Bailey Williams,Western Bulldogs,0,1,4,1,-1
Braeden Campbell,Sydney,0,1,5,1,-1
Brody Mihocek,Collingwood,0,1,2,1,-1
Cameron Zurhaar,North Melbourne,0,1,13,1,-1
Charlie Ballard,Gold Coast,0,1,3,1,-1
Chris Burgess,Gold Coast,0,1,1,1,-1
Daniel McStay,Brisbane Lions,0,1,7,1,-1
Dylan Moore,Hawthorn,0,1,7,1,-1
Hayden McLean,Sydney,0,1,2,1,-1
Hugh Greenwood,Gold Coast,0,1,16,1,-1
Isaac Cumming,Greater Western Sydney,0,1,10,1,-1
Jack Lukosius,Gold Coast,0,1,15,1,-1
Jack Scrimshaw,Hawthorn,0,1,12,1,-1
Jacob Koschitzke,Hawthorn,0,1,6,1,-1
Jake Lever,Melbourne,0,1,40,1,-1
James Aish,Fremantle,0,1,10,1,-1
James Harmes,Melbourne,0,1,6,1,-1
James Worpel,Hawthorn,0,1,1,1,-1
Jeremy Finlayson,Greater Western Sydney,0,1,6,1,-1
Joe Daniher,Brisbane Lions,0,1,12,1,-1
Jonathon Ceglar,Hawthorn,0,1,17,1,-1
Kane Lambert,Richmond,0,1,17,1,-1
Mabior Chol,Richmond,0,1,7,1,-1
Marcus Adams,Brisbane Lions,0,1,17,1,-1
Mark Blicavs,Geelong,0,1,4,1,-1
Mitch Georgiades,Port Adelaide,0,1,5,1,-1
Nick Holman,Gold Coast,0,1,4,1,-1
Nick Vlastuin,Richmond,0,1,13,1,-1
Rory Lobb,Fremantle,0,1,16,1,-1
Sam Draper,Essendon,0,1,9,1,-1
Sydney Stack,Richmond,0,1,6,1,-1
Tarryn Thomas,North Melbourne,0,1,10,1,-1
Aaron Francis,Essendon,0,0,0,0,0
Aaron vandenBerg,Melbourne,0,0,0,0,0
Adam Kennedy,Greater Western Sydney,0,0,0,0,0
Adam Saad,Carlton,0,0,1,0,0
Adam Tomlinson,Melbourne,0,0,1,0,0
Aidan Corr,North Melbourne,0,0,0,0,0
Aiden Bonar,North Melbourne,0,0,0,0,0
Alec Waterman,Essendon,0,0,0,0,0
Alex Davies,Gold Coast,0,0,0,0,0
Alex Pearce,Fremantle,0,0,0,0,0
Alex Sexton,Gold Coast,0,0,0,0,0
Alex Witherden,West Coast,0,0,0,0,0
Andrew McPherson,Adelaide,0,0,0,0,0
Andrew Phillips,Essendon,0,0,0,0,0
Angus Brayshaw,Melbourne,0,0,3,0,0
Anthony Scott,Western Bulldogs,0,0,0,0,0
Anton Tohill,Collingwood,0,0,0,0,0
Archie Perkins,Essendon,0,0,5,0,0
Atu Bosenavulagi,North Melbourne,0,0,0,0,0
Bailey Banfield,Fremantle,0,0,0,0,0
Bailey J. Williams,West Coast,0,0,0,0,0
Bailey Scott,North Melbourne,0,0,1,0,0
Beau McCreery,Collingwood,0,0,0,0,0
Ben Brown,Melbourne,0,0,3,0,0
Ben Cavarra,Western Bulldogs,0,0,0,0,0
Ben Davis,Adelaide,0,0,0,0,0
Ben Long,St Kilda,0,0,0,0,0
Ben McEvoy,Hawthorn,0,0,8,0,0
Ben McKay,North Melbourne,0,0,5,0,0
Ben Miller,Richmond,0,0,0,0,0
Ben Ronke,Sydney,0,0,0,0,0
Billy Frampton,Adelaide,0,0,0,0,0
Blake Acres,Fremantle,0,0,0,0,0
Blake Hardwick,Hawthorn,0,0,8,0,0
Bobby Hill,Greater Western Sydney,0,0,0,0,0
Boyd Woodcock,Port Adelaide,0,0,0,0,0
Brad Close,Geelong,0,0,0,0,0
Brad Sheppard,West Coast,0,0,3,0,0
Brandon Starcevich,Brisbane Lions,0,0,3,0,0
Brandon Walker,Fremantle,0,0,0,0,0
Brandon Zerk-Thatcher,Essendon,0,0,0,0,0
Brayden Ainsworth,West Coast,0,0,0,0,0
Brayden Cook,Adelaide,0,0,0,0,0
Brayden Fiorini,Gold Coast,0,0,1,0,0
Brayden Ham,Essendon,0,0,0,0,0
Brayden Sier,Collingwood,0,0,0,0,0
Brendon Ah Chee,West Coast,0,0,0,0,0
Brennan Cox,Fremantle,0,0,0,0,0
Brent Daniels,Greater Western Sydney,0,0,3,0,0
Brett Bewley,Fremantle,0,0,0,0,0
Brodie Kemp,Carlton,0,0,0,0,0
Brodie Smith,Adelaide,0,0,8,0,0
Buku Khamis,Western Bulldogs,0,0,0,0,0
Cale Hooker,Essendon,0,0,8,0,0
Caleb Graham,Gold Coast,0,0,0,0,0
Caleb Poulter,Collingwood,0,0,0,0,0
Callum Ah Chee,Brisbane Lions,0,0,0,0,0
Callum Coleman-Jones,Richmond,0,0,2,0,0
Callum L. Brown,Collingwood,0,0,0,0,0
Callum M. Brown,Greater Western Sydney,0,0,0,0,0
Callum Sinclair,Sydney,0,0,0,0,0
Callum Wilkie,St Kilda,0,0,10,0,0
Chad Warner,Sydney,0,0,4,0,0
Charlie Comben,North Melbourne,0,0,0,0,0
Charlie Constable,Geelong,0,0,0,0,0
Charlie Curnow,Carlton,0,0,0,0,0
Charlie Lazzaro,North Melbourne,0,0,0,0,0
Charlie Spargo,Melbourne,0,0,0,0,0
Chayce Jones,Adelaide,0,0,4,0,0
Chris Mayne,Collingwood,0,0,2,0,0
Colin O'Riordan,Sydney,0,0,0,0,0
Connor Ballenden,Brisbane Lions,0,0,0,0,0
Connor Blakely,Fremantle,0,0,0,0,0
Connor Budarick,Gold Coast,0,0,0,0,0
Connor Downie,Hawthorn,0,0,0,0,0
Connor Idun,Greater Western Sydney,0,0,1,0,0
Connor Menadue,North Melbourne,0,0,0,0,0
Connor Rozee,Port Adelaide,0,0,10,0,0
Connor West,West Coast,0,0,0,0,0
Conor Nash,Hawthorn,0,0,0,0,0
Conor Stone,Greater Western Sydney,0,0,0,0,0
Corey Durdin,Carlton,0,0,0,0,0
Curtis Taylor,North Melbourne,0,0,0,0,0
Damon Greaves,Hawthorn,0,0,0,0,0
Dan Butler,St Kilda,0,0,2,0,0
Dan Hannebery,St Kilda,0,0,0,0,0
Dane Rampe,Sydney,0,0,6,0,0
Daniel Lloyd,Greater Western Sydney,0,0,0,0,0
Daniel McKenzie,St Kilda,0,0,0,0,0
Daniel Rioli,Richmond,0,0,0,0,0
Darcy Cameron,Collingwood,0,0,3,0,0
Darcy Fogarty,Adelaide,0,0,1,0,0
Darcy Gardiner,Brisbane Lions,0,0,0,0,0
Darcy MacPherson,Gold Coast,0,0,0,0,0
Darcy Tucker,Fremantle,0,0,0,0,0
Darragh Joyce,St Kilda,0,0,0,0,0
David Astbury,Richmond,0,0,0,0,0
David Cuningham,Carlton,0,0,0,0,0
David Mackay,Adelaide,0,0,0,0,0
David Swallow,Gold Coast,0,0,6,0,0
David Zaharakis,Essendon,0,0,0,0,0
Dean Kent,St Kilda,0,0,0,0,0
Denver Grainger-Barras,Hawthorn,0,0,0,0,0
Derek Eggmolesse-Smith,Richmond,0,0,0,0,0
Deven Robertson,Brisbane Lions,0,0,0,0,0
Dom Tyson,North Melbourne,0,0,0,0,0
Dougal Howard,St Kilda,0,0,4,0,0
Dylan Clarke,Essendon,0,0,0,0,0
Dylan Grimes,Richmond,0,0,5,0,0
Dylan Shiel,Essendon,0,0,0,0,0
Dylan Stephens,Sydney,0,0,0,0,0
Dylan Williams,Port Adelaide,0,0,0,0,0
Dyson Heppell,Essendon,0,0,8,0,0
Easton Wood,Western Bulldogs,0,0,0,0,0
Ed Langdon,Melbourne,0,0,6,0,0
Ed Richards,Western Bulldogs,0,0,0,0,0
Eddie Betts,Carlton,0,0,3,0,0
Eddie Ford,North Melbourne,0,0,0,0,0
