Feature,Gain,Cover,Frequency
coaches_votes,0.416682226328023,0.09588615764112864,0.03852039119153749
supercoach_score,0.0778577346495254,0.09822404275540149,0.06000931408422593
afl_fantasy_score,0.07024784029914692,0.0889053992273725,0.06100725167986162
num_games,0.033102285480195226,0.0554004696952439,0.06666223138846385
rating_points,0.03295972045605106,0.06913009091457502,0.06533164792761625
metres_gained,0.03079398099805439,0.05693400763171531,0.06153948506420065
match_margin,0.023171063636111572,0.021698198567409635,0.04577207105315681
disposal_efficiency_percentage,0.022694697724350774,0.030681020540605338,0.04344354999667354
pressure_acts,0.02070354960813265,0.03245602891273694,0.04025014969063934
team_score,0.02024901855808426,0.02795393190231449,0.039651387133257936
time_on_ground_percentage,0.018889715755241922,0.02891459141293262,0.04118155811323265
effective_disposals,0.017306494914119,0.027885935138773795,0.03599228261592708
clangers,0.01514791881155093,0.030992200421506147,0.02554720244827357
team_behinds,0.014895241749860092,0.020165318774519384,0.029805069522985828
def_half_pressure_acts,0.014673978619368892,0.024879263990224346,0.029672011176901072
effective_kicks,0.014622566243908376,0.023497481682222158,0.027143902601290668
ground_ball_gets,0.01366585391719241,0.016751684698270562,0.025879848313485464
score_involvements,0.011795196542144447,0.024385082716420786,0.024349677333510743
stoppage_clearances,0.01098505036053701,0.022003654696920793,0.021555452065730823
intercepts,0.010463291922082906,0.021867659567676917,0.021688510411815583
one_percenters,0.008361963809762708,0.012513580201589488,0.01516865145366243
team_goals,0.008278347125347264,0.006832352550206963,0.015767414011043843
score_launches,0.0075033176878934234,0.013779088463412057,0.014237243031069123
centre_clearances,0.007174663360380415,0.015393108800304386,0.01523518062670481
match_outcome_Loss,0.007090593297446569,0.013558465377215159,0.00725167986161932
free_kicks_against,0.006839764251190694,0.008156441570075784,0.013904597165857228
tackles_inside_fifty,0.006680995816307576,0.015179043078270782,0.01237442618588251
free_kicks_for,0.0062134786607714486,0.012139537362345564,0.013039717916306301
spoils,0.006138703698333952,0.010118121093044607,0.01150954693633158
player_position_final_C,0.006007070829061254,0.006762172170204283,0.006453329785110771
f50_ground_ball_gets,0.00554213293296826,0.009551991432689214,0.01091078437895017
intercept_marks,0.005109030677287478,0.012295740239889852,0.011110371898077306
bounces,0.004829496727873545,0.014667918738502385,0.009646730091144968
marks_on_lead,0.00478729108048474,0.004702341771809923,0.008449204976382144
aa_team,0.003775243695352515,0.003006534522334162,0.0046570421129665356
match_outcome_Win,0.003652550956772715,0.007380113364394674,0.004191337901669882
aa_squad,0.003163025304878201,0.004338438597704564,0.005521921362517464
player_position_final_HF,0.0015710721753150682,0.0017999589634194956,0.0033929878251613334
player_position_final_W,0.001491278821225624,0.001617251114688552,0.003060341959949438
captain,0.0014374001592420292,0.002371455027740158,0.0029272836138646797
player_position_final_HB,0.0014269676371744466,0.001628750937899453,0.0023285210564832678
player_position_final_F,0.0011127626930037982,0.0017773177397898505,0.0022619918834408887
player_position_final_RK,9.054220282449876e-4,0.0018180559944978533,0.001596700153017098
