player_team,actual_votes,predicted_votes,coaches_votes,prediction_sum,votes_accuracy
Melbourne,0,145,477,145,-145
Geelong,0,126,410,126,-126
Western Bulldogs,0,123,424,123,-123
Brisbane Lions,0,116,432,116,-116
Port Adelaide,0,115,429,115,-115
Essendon,0,100,362,100,-100
Sydney,0,98,394,98,-98
West Coast,0,92,300,92,-92
St Kilda,0,90,320,90,-90
Greater Western Sydney,0,86,351,86,-86
Gold Coast,0,79,234,79,-79
Fremantle,0,74,287,74,-74
Carlton,0,73,264,73,-73
Hawthorn,0,72,259,72,-72
North Melbourne,0,71,206,71,-71
Collingwood,0,66,198,66,-66
Adelaide,0,65,262,65,-65
Richmond,0,61,250,61,-61
